LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/9/2021;"24";"17";"28";"18";"71";"19";"14";"26";"0";"1018";"0";"0";""
Cosenza;2/9/2021;"25";"18";"29";"17";"66";"20";"12";"26";"0";"1019";"0";"0";""
Cosenza;3/9/2021;"24";"17";"30";"17";"67";"19";"12";"22";"0";"1018";"0";"0";""
Cosenza;4/9/2021;"23";"20";"26";"20";"81";"17";"10";"22";"0";"1015";"0";"0";"pioggia "
Cosenza;5/9/2021;"23";"19";"28";"19";"79";"19";"13";"26";"0";"1014";"0";"0";"pioggia "
Cosenza;6/9/2021;"22";"18";"28";"18";"78";"20";"12";"24";"0";"1017";"0";"0";"pioggia "
Cosenza;7/9/2021;"22";"18";"26";"17";"74";"19";"11";"26";"0";"1018";"0";"0";"pioggia "
Cosenza;8/9/2021;"21";"16";"25";"16";"75";"20";"12";"21";"0";"1018";"0";"0";""
Cosenza;9/9/2021;"21";"15";"27";"16";"72";"21";"12";"22";"0";"1017";"0";"0";""
Cosenza;10/9/2021;"23";"17";"28";"17";"70";"20";"21";"30";"0";"1016";"0";"0";""
Cosenza;11/9/2021;"22";"20";"24";"19";"86";"17";"17";"30";"0";"1014";"0";"0";"pioggia "
Cosenza;12/9/2021;"21";"18";"26";"17";"76";"20";"9";"21";"0";"1013";"0";"0";"pioggia "
Cosenza;13/9/2021;"21";"15";"27";"18";"84";"22";"11";"24";"0";"1016";"0";"0";""
Cosenza;14/9/2021;"23";"18";"27";"19";"80";"20";"13";"26";"0";"1018";"0";"0";""
Cosenza;15/9/2021;"23";"20";"27";"20";"81";"19";"9";"21";"0";"1019";"0";"0";""
Cosenza;16/9/2021;"24";"20";"29";"19";"77";"21";"6";"17";"0";"1019";"0";"0";""
Cosenza;17/9/2021;"24";"18";"31";"16";"64";"20";"7";"13";"0";"1015";"0";"0";""
Cosenza;18/9/2021;"24";"19";"31";"17";"66";"21";"9";"17";"0";"1014";"0";"0";"pioggia "
Cosenza;19/9/2021;"24";"17";"29";"19";"74";"20";"11";"21";"0";"1013";"0";"0";""
Cosenza;20/9/2021;"25";"22";"28";"20";"75";"19";"17";"24";"0";"1015";"0";"0";""
Cosenza;21/9/2021;"23";"16";"27";"18";"73";"22";"12";"24";"0";"1019";"0";"0";"pioggia "
Cosenza;22/9/2021;"24";"20";"28";"17";"66";"20";"16";"22";"0";"1018";"0";"0";""
Cosenza;23/9/2021;"22";"15";"26";"10";"50";"21";"16";"26";"0";"1019";"0";"0";""
Cosenza;24/9/2021;"19";"13";"26";"12";"65";"20";"11";"15";"0";"1020";"0";"0";""
Cosenza;25/9/2021;"21";"14";"30";"13";"62";"20";"12";"18";"0";"1020";"0";"0";""
Cosenza;26/9/2021;"23";"15";"30";"17";"71";"21";"10";"26";"0";"1021";"0";"0";""
Cosenza;27/9/2021;"23";"17";"27";"19";"80";"20";"9";"24";"0";"1018";"0";"0";""
Cosenza;28/9/2021;"23";"18";"28";"20";"83";"18";"9";"24";"0";"1016";"0";"0";""
Cosenza;29/9/2021;"22";"19";"26";"19";"85";"18";"11";"24";"0";"1017";"0";"0";""
Cosenza;30/9/2021;"20";"16";"26";"17";"86";"13";"10";"21";"0";"1019";"0";"0";""
