LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/12/2020;"4";"2";"6";"2";"70";"12";"7";"22";"0";"1017";"0";"0";"pioggia "
Verona;2/12/2020;"1";"-1";"5";"1";"92";"10";"11";"28";"0";"1011";"0";"0";"pioggia neve "
Verona;3/12/2020;"3";"1";"5";"2";"96";"5";"5";"9";"0";"1007";"0";"0";"pioggia "
Verona;4/12/2020;"5";"-1";"9";"4";"89";"10";"20";"35";"0";"1000";"0";"0";"pioggia nebbia "
Verona;5/12/2020;"9";"7";"11";"8";"95";"12";"13";"24";"0";"998";"0";"0";"pioggia "
Verona;6/12/2020;"7";"3";"12";"6";"96";"9";"12";"28";"0";"997";"0";"0";"pioggia "
Verona;7/12/2020;"5";"2";"8";"3";"88";"14";"11";"22";"0";"1003";"0";"0";"pioggia nebbia "
Verona;8/12/2020;"6";"5";"8";"4";"84";"13";"17";"33";"0";"1001";"0";"0";"pioggia "
Verona;9/12/2020;"6";"5";"7";"5";"94";"15";"9";"18";"0";"1001";"0";"0";"pioggia "
Verona;10/12/2020;"5";"3";"7";"5";"98";"9";"4";"9";"0";"1005";"0";"0";"nebbia "
Verona;11/12/2020;"4";"0";"7";"4";"94";"10";"4";"5";"0";"1005";"0";"0";"pioggia nebbia "
Verona;12/12/2020;"5";"2";"7";"4";"96";"5";"5";"11";"0";"1002";"0";"0";"pioggia nebbia "
Verona;13/12/2020;"2";"-2";"9";"3";"93";"17";"4";"9";"0";"1010";"0";"0";"nebbia "
Verona;14/12/2020;"0";"-4";"7";"3";"98";"6";"4";"9";"0";"1018";"0";"0";"nebbia "
Verona;15/12/2020;"3";"-2";"7";"5";"97";"8";"4";"8";"0";"1020";"0";"0";"nebbia "
Verona;16/12/2020;"6";"3";"8";"5";"98";"3";"5";"9";"0";"1023";"0";"0";"pioggia nebbia "
Verona;17/12/2020;"7";"5";"8";"6";"95";"3";"3";"8";"0";"1026";"0";"0";"nebbia "
Verona;18/12/2020;"6";"4";"10";"4";"84";"13";"5";"9";"0";"1027";"0";"0";"nebbia "
Verona;19/12/2020;"6";"2";"9";"5";"90";"13";"4";"9";"0";"1026";"0";"0";""
Verona;20/12/2020;"7";"6";"9";"6";"93";"13";"4";"8";"0";"1025";"0";"0";"pioggia "
Verona;21/12/2020;"6";"4";"8";"6";"95";"9";"3";"5";"0";"1026";"0";"0";"nebbia "
Verona;22/12/2020;"8";"6";"9";"7";"98";"2";"5";"9";"0";"1025";"0";"0";"nebbia "
Verona;23/12/2020;"8";"7";"9";"6";"90";"7";"3";"8";"0";"1024";"0";"0";"pioggia "
Verona;24/12/2020;"7";"7";"8";"7";"99";"2";"6";"11";"0";"1013";"0";"0";"pioggia nebbia "
Verona;25/12/2020;"6";"4";"8";"5";"92";"8";"11";"26";"0";"1009";"0";"0";"pioggia "
Verona;26/12/2020;"3";"-1";"9";"2";"81";"19";"7";"11";"0";"1017";"0";"0";"pioggia "
Verona;27/12/2020;"0";"-5";"5";"0";"78";"21";"7";"18";"0";"1010";"0";"0";""
Verona;28/12/2020;"1";"-1";"3";"2";"91";"12";"15";"30";"0";"990";"0";"0";"pioggia neve "
Verona;29/12/2020;"2";"-2";"6";"3";"95";"7";"7";"13";"0";"997";"0";"0";"pioggia nebbia "
Verona;30/12/2020;"2";"-1";"4";"2";"98";"2";"5";"11";"0";"1004";"0";"0";"nebbia "
Verona;31/12/2020;"0";"-5";"6";"2";"96";"6";"5";"9";"0";"1009";"0";"0";"nebbia "
