LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/5/2020;"16";"9";"20";"11";"77";"18";"6";"15";"0";"1007";"0";"0";"pioggia nebbia "
Verona;2/5/2020;"17";"9";"24";"10";"66";"20";"7";"22";"0";"1006";"0";"0";""
Verona;3/5/2020;"18";"11";"22";"8";"58";"20";"10";"17";"0";"1013";"0";"0";""
Verona;4/5/2020;"17";"10";"24";"5";"46";"19";"8";"13";"0";"1017";"0";"0";""
Verona;5/5/2020;"18";"10";"24";"8";"56";"20";"7";"18";"0";"1013";"0";"0";""
Verona;6/5/2020;"18";"15";"21";"10";"59";"18";"12";"26";"0";"1015";"0";"0";""
Verona;7/5/2020;"18";"10";"24";"6";"49";"20";"6";"13";"0";"1021";"0";"0";""
Verona;8/5/2020;"19";"10";"26";"7";"49";"19";"7";"13";"0";"1019";"0";"0";""
Verona;9/5/2020;"20";"12";"27";"8";"50";"20";"5";"15";"0";"1015";"0";"0";""
Verona;10/5/2020;"20";"17";"25";"11";"58";"21";"9";"21";"0";"1011";"0";"0";"pioggia "
Verona;11/5/2020;"17";"14";"20";"13";"75";"18";"12";"28";"0";"1005";"0";"0";"pioggia "
Verona;12/5/2020;"17";"14";"24";"13";"75";"19";"11";"22";"0";"1008";"0";"0";"pioggia "
Verona;13/5/2020;"16";"12";"19";"12";"80";"20";"8";"18";"0";"1011";"0";"0";"pioggia "
Verona;14/5/2020;"19";"12";"25";"13";"73";"18";"9";"28";"0";"1007";"0";"0";"pioggia "
Verona;15/5/2020;"18";"14";"21";"14";"80";"21";"10";"21";"0";"1009";"0";"0";"pioggia "
Verona;16/5/2020;"17";"13";"21";"13";"79";"18";"12";"22";"0";"1018";"0";"0";"pioggia "
Verona;17/5/2020;"19";"15";"25";"14";"76";"17";"7";"13";"0";"1017";"0";"0";"pioggia "
Verona;18/5/2020;"21";"16";"25";"14";"63";"21";"5";"13";"0";"1019";"0";"0";""
Verona;19/5/2020;"20";"17";"24";"15";"74";"20";"9";"22";"0";"1014";"0";"0";"pioggia temporale "
Verona;20/5/2020;"20";"16";"26";"14";"68";"20";"8";"15";"0";"1013";"0";"0";"pioggia "
Verona;21/5/2020;"20";"13";"26";"11";"57";"19";"7";"11";"0";"1018";"0";"0";""
Verona;22/5/2020;"21";"14";"26";"11";"56";"20";"7";"15";"0";"1022";"0";"0";""
Verona;23/5/2020;"22";"17";"27";"14";"60";"20";"8";"31";"0";"1021";"0";"0";"pioggia "
Verona;24/5/2020;"20";"15";"25";"12";"64";"15";"8";"17";"0";"1024";"0";"0";""
Verona;25/5/2020;"20";"12";"26";"8";"50";"21";"9";"17";"0";"1025";"0";"0";""
Verona;26/5/2020;"20";"15";"25";"10";"54";"20";"11";"22";"0";"1026";"0";"0";""
Verona;27/5/2020;"19";"12";"24";"8";"53";"18";"7";"15";"0";"1028";"0";"0";""
Verona;28/5/2020;"19";"13";"25";"8";"52";"19";"7";"18";"0";"1023";"0";"0";"pioggia "
Verona;29/5/2020;"17";"13";"22";"10";"63";"20";"11";"18";"0";"1021";"0";"0";"pioggia "
Verona;30/5/2020;"18";"12";"22";"10";"64";"20";"8";"18";"0";"1017";"0";"0";"pioggia "
Verona;31/5/2020;"18";"14";"23";"9";"56";"21";"8";"15";"0";"1016";"0";"0";"pioggia "
