LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/4/2021;"17";"9";"26";"6";"51";"14";"8";"18";"0";"1017";"0";"0";""
Verona;2/4/2021;"16";"8";"25";"6";"55";"12";"5";"9";"0";"1012";"0";"0";""
Verona;3/4/2021;"13";"7";"18";"5";"61";"19";"14";"35";"0";"1011";"0";"0";""
Verona;4/4/2021;"11";"5";"16";"2";"51";"20";"9";"15";"0";"1018";"0";"0";""
Verona;5/4/2021;"10";"2";"16";"1";"47";"20";"8";"15";"0";"1013";"0";"0";""
Verona;6/4/2021;"8";"2";"12";"4";"67";"20";"12";"33";"0";"1004";"0";"0";"pioggia "
Verona;7/4/2021;"6";"0";"12";"1";"47";"19";"11";"24";"0";"1014";"0";"0";""
Verona;8/4/2021;"7";"-3";"16";"0";"37";"20";"11";"26";"0";"1023";"0";"0";""
Verona;9/4/2021;"9";"1";"15";"2";"57";"20";"7";"15";"0";"1025";"0";"0";""
Verona;10/4/2021;"11";"5";"16";"3";"59";"20";"7";"18";"0";"1021";"0";"0";"pioggia "
Verona;11/4/2021;"9";"9";"11";"8";"93";"11";"11";"22";"0";"1018";"0";"0";"pioggia "
Verona;12/4/2021;"10";"8";"13";"9";"92";"10";"14";"37";"0";"1015";"0";"0";"pioggia "
Verona;13/4/2021;"8";"4";"11";"5";"78";"19";"10";"26";"0";"1019";"0";"0";"pioggia "
Verona;14/4/2021;"7";"0";"13";"2";"66";"20";"7";"13";"0";"1022";"0";"0";""
Verona;15/4/2021;"7";"2";"12";"1";"67";"21";"12";"28";"0";"1022";"0";"0";"pioggia "
Verona;16/4/2021;"8";"1";"15";"1";"61";"23";"9";"15";"0";"1020";"0";"0";""
Verona;17/4/2021;"9";"1";"15";"1";"55";"22";"9";"22";"0";"1016";"0";"0";""
Verona;18/4/2021;"10";"7";"13";"2";"58";"20";"8";"17";"0";"1016";"0";"0";"pioggia "
Verona;19/4/2021;"10";"6";"15";"4";"68";"18";"7";"13";"0";"1015";"0";"0";"pioggia "
Verona;20/4/2021;"12";"4";"19";"3";"59";"21";"8";"15";"0";"1014";"0";"0";""
Verona;21/4/2021;"13";"5";"19";"5";"65";"15";"7";"18";"0";"1017";"0";"0";"pioggia "
Verona;22/4/2021;"12";"5";"19";"6";"68";"15";"6";"11";"0";"1019";"0";"0";""
Verona;23/4/2021;"15";"9";"20";"7";"63";"19";"7";"11";"0";"1022";"0";"0";""
Verona;24/4/2021;"15";"7";"21";"6";"60";"21";"6";"11";"0";"1021";"0";"0";""
Verona;25/4/2021;"16";"8";"23";"6";"53";"19";"7";"13";"0";"1016";"0";"0";""
Verona;26/4/2021;"14";"11";"16";"6";"62";"19";"12";"28";"0";"1013";"0";"0";"pioggia "
Verona;27/4/2021;"12";"10";"14";"8";"74";"17";"7";"11";"0";"1009";"0";"0";"pioggia "
Verona;28/4/2021;"14";"10";"20";"8";"67";"17";"5";"9";"0";"1008";"0";"0";"pioggia "
Verona;29/4/2021;"14";"12";"16";"12";"90";"9";"7";"13";"0";"1009";"0";"0";"pioggia "
Verona;30/4/2021;"16";"12";"21";"13";"82";"16";"6";"17";"0";"1010";"0";"0";"pioggia temporale "
