LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/2/2021;"4";"1";"7";"2";"87";"19";"5";"18";"0";"1000";"0";"0";"nebbia "
Verona;2/2/2021;"2";"-2";"8";"3";"95";"6";"5";"11";"0";"1011";"0";"0";"nebbia "
Verona;3/2/2021;"4";"1";"6";"4";"100";"1";"5";"9";"0";"1014";"0";"0";"pioggia nebbia "
Verona;4/2/2021;"6";"4";"7";"6";"97";"2";"6";"15";"0";"1017";"0";"0";"pioggia nebbia "
Verona;5/2/2021;"8";"6";"11";"7";"92";"5";"5";"9";"0";"1018";"0";"0";""
Verona;6/2/2021;"8";"4";"11";"7";"93";"4";"4";"11";"0";"1014";"0";"0";""
Verona;7/2/2021;"10";"8";"13";"9";"91";"11";"12";"24";"0";"999";"0";"0";"pioggia "
Verona;8/2/2021;"8";"5";"12";"5";"82";"12";"9";"18";"0";"994";"0";"0";"pioggia nebbia "
Verona;9/2/2021;"8";"6";"10";"6";"88";"16";"9";"18";"0";"999";"0";"0";"pioggia "
Verona;10/2/2021;"7";"5";"9";"6";"94";"11";"11";"21";"0";"999";"0";"0";"pioggia "
Verona;11/2/2021;"5";"0";"12";"3";"83";"16";"12";"26";"0";"1011";"0";"0";"nebbia "
Verona;12/2/2021;"2";"0";"5";"0";"52";"18";"19";"24";"0";"1024";"0";"0";""
Verona;13/2/2021;"-1";"-5";"2";"0";"45";"22";"17";"28";"0";"1030";"0";"0";""
Verona;14/2/2021;"-1";"-7";"6";"0";"54";"19";"13";"100";"0";"1037";"0";"0";""
Verona;15/2/2021;"0";"-6";"6";"0";"62";"19";"7";"18";"0";"1036";"0";"0";""
Verona;16/2/2021;"1";"-4";"7";"0";"69";"17";"6";"13";"0";"1027";"0";"0";""
Verona;17/2/2021;"6";"3";"12";"3";"64";"10";"6";"13";"0";"1022";"0";"0";""
Verona;18/2/2021;"8";"3";"12";"3";"70";"5";"5";"11";"0";"1023";"0";"0";"pioggia "
Verona;19/2/2021;"8";"4";"11";"5";"84";"4";"5";"13";"0";"1024";"0";"0";"pioggia "
Verona;20/2/2021;"9";"7";"12";"6";"83";"4";"3";"8";"0";"1025";"0";"0";"pioggia "
Verona;21/2/2021;"9";"3";"13";"5";"79";"4";"4";"9";"0";"1027";"0";"0";""
Verona;22/2/2021;"8";"4";"13";"7";"90";"3";"5";"11";"0";"1031";"0";"0";"nebbia "
Verona;23/2/2021;"6";"1";"12";"5";"94";"1";"4";"11";"0";"1035";"0";"0";"nebbia "
Verona;24/2/2021;"9";"0";"21";"3";"69";"11";"6";"11";"0";"1035";"0";"0";"nebbia "
Verona;25/2/2021;"10";"5";"21";"2";"58";"20";"6";"9";"0";"1031";"0";"0";""
Verona;26/2/2021;"10";"2";"19";"3";"61";"18";"6";"11";"0";"1027";"0";"0";""
Verona;27/2/2021;"11";"4";"19";"3";"55";"19";"14";"33";"0";"1025";"0";"0";""
Verona;28/2/2021;"9";"2";"13";"0";"50";"20";"10";"24";"0";"1032";"0";"0";""
