LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/3/2021;"7";"0";"16";"1";"58";"18";"5";"9";"0";"1030";"0";"0";""
Verona;2/3/2021;"8";"0";"16";"0";"55";"20";"6";"9";"0";"1033";"0";"0";""
Verona;3/3/2021;"8";"0";"15";"2";"63";"20";"6";"17";"0";"1031";"0";"0";""
Verona;4/3/2021;"8";"1";"15";"2";"69";"11";"6";"13";"0";"1022";"0";"0";""
Verona;5/3/2021;"11";"5";"16";"5";"70";"13";"10";"21";"0";"1016";"0";"0";"pioggia temporale "
Verona;6/3/2021;"7";"1";"10";"4";"61";"20";"17";"33";"0";"1027";"0";"0";"pioggia "
Verona;7/3/2021;"5";"-1";"11";"0";"62";"18";"6";"9";"0";"1024";"0";"0";""
Verona;8/3/2021;"5";"-1";"11";"1";"68";"19";"8";"11";"0";"1017";"0";"0";""
Verona;9/3/2021;"7";"0";"13";"1";"60";"19";"8";"17";"0";"1015";"0";"0";""
Verona;10/3/2021;"7";"0";"13";"1";"62";"20";"8";"18";"0";"1017";"0";"0";""
Verona;11/3/2021;"7";"0";"11";"2";"68";"9";"5";"9";"0";"1018";"0";"0";"pioggia "
Verona;12/3/2021;"9";"5";"12";"6";"82";"4";"7";"15";"0";"1013";"0";"0";"pioggia "
Verona;13/3/2021;"9";"1";"16";"4";"73";"7";"7";"13";"0";"1012";"0";"0";""
Verona;14/3/2021;"7";"1";"15";"2";"67";"21";"13";"39";"0";"1007";"0";"0";""
Verona;15/3/2021;"9";"1";"16";"1";"54";"19";"11";"22";"0";"1009";"0";"0";""
Verona;16/3/2021;"10";"1";"15";"0";"31";"21";"13";"26";"0";"1014";"0";"0";""
Verona;17/3/2021;"7";"-3";"14";"0";"35";"19";"8";"21";"0";"1015";"0";"0";""
Verona;18/3/2021;"6";"1";"9";"0";"57";"19";"10";"28";"0";"1017";"0";"0";""
Verona;19/3/2021;"5";"-1";"10";"0";"60";"22";"11";"24";"0";"1016";"0";"0";""
Verona;20/3/2021;"5";"-3";"10";"0";"58";"19";"11";"24";"0";"1018";"0";"0";"pioggia "
Verona;21/3/2021;"4";"-3";"10";"0";"41";"19";"7";"15";"0";"1015";"0";"0";""
Verona;22/3/2021;"5";"-4";"14";"0";"50";"21";"7";"17";"0";"1012";"0";"0";""
Verona;23/3/2021;"7";"-1";"13";"0";"49";"18";"8";"15";"0";"1022";"0";"0";""
Verona;24/3/2021;"8";"0";"16";"0";"51";"20";"6";"9";"0";"1022";"0";"0";""
Verona;25/3/2021;"9";"2";"17";"1";"55";"19";"7";"9";"0";"1021";"0";"0";""
Verona;26/3/2021;"14";"2";"18";"2";"48";"18";"6";"9";"0";"1023";"0";"0";""
Verona;27/3/2021;"12";"7";"18";"6";"69";"12";"8";"24";"0";"1024";"0";"0";""
Verona;28/3/2021;"13";"7";"19";"6";"68";"12";"6";"13";"0";"1029";"0";"0";""
Verona;29/3/2021;"13";"5";"21";"7";"71";"13";"5";"8";"0";"1032";"0";"0";"nebbia "
Verona;30/3/2021;"15";"7";"23";"7";"61";"15";"6";"11";"0";"1030";"0";"0";""
Verona;31/3/2021;"16";"7";"25";"6";"55";"18";"5";"9";"0";"1024";"0";"0";""
