LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/11/2021;"11";"10";"13";"10";"95";"8";"13";"30";"0";"1005";"0";"0";"pioggia nebbia "
Verona;2/11/2021;"11";"8";"16";"9";"86";"20";"12";"26";"0";"1002";"0";"0";""
Verona;3/11/2021;"12";"8";"14";"10";"91";"15";"10";"17";"0";"1003";"0";"0";"pioggia "
Verona;4/11/2021;"9";"6";"13";"8";"90";"20";"10";"21";"0";"1005";"0";"0";"pioggia "
Verona;5/11/2021;"8";"2";"16";"4";"79";"19";"6";"9";"0";"1018";"0";"0";""
Verona;6/11/2021;"9";"3";"15";"2";"61";"21";"8";"11";"0";"1025";"0";"0";""
Verona;7/11/2021;"9";"5";"14";"4";"72";"20";"6";"13";"0";"1020";"0";"0";""
Verona;8/11/2021;"9";"5";"13";"8";"95";"17";"5";"13";"0";"1018";"0";"0";"pioggia nebbia "
Verona;9/11/2021;"8";"3";"13";"5";"80";"20";"7";"13";"0";"1025";"0";"0";""
Verona;10/11/2021;"10";"8";"15";"7";"79";"22";"5";"13";"0";"1027";"0";"0";""
Verona;11/11/2021;"11";"7";"15";"9";"85";"15";"7";"13";"0";"1023";"0";"0";"nebbia "
Verona;12/11/2021;"10";"5";"16";"8";"92";"7";"5";"9";"0";"1019";"0";"0";"nebbia "
Verona;13/11/2021;"9";"5";"11";"9";"100";"2";"4";"9";"0";"1017";"0";"0";"pioggia nebbia "
Verona;14/11/2021;"12";"11";"14";"11";"92";"10";"11";"18";"0";"1015";"0";"0";"pioggia temporale "
Verona;15/11/2021;"13";"8";"15";"9";"77";"20";"14";"26";"0";"1019";"0";"0";"pioggia "
Verona;16/11/2021;"9";"6";"13";"8";"91";"15";"7";"11";"0";"1020";"0";"0";"pioggia "
Verona;17/11/2021;"10";"9";"12";"10";"96";"3";"7";"13";"0";"1019";"0";"0";"pioggia "
Verona;18/11/2021;"9";"5";"14";"9";"95";"3";"5";"11";"0";"1025";"0";"0";"nebbia "
Verona;19/11/2021;"10";"7";"13";"10";"95";"3";"9";"18";"0";"1028";"0";"0";"nebbia "
Verona;20/11/2021;"9";"7";"13";"8";"96";"2";"7";"15";"0";"1024";"0";"0";"nebbia "
Verona;21/11/2021;"7";"6";"8";"7";"98";"3";"7";"15";"0";"1014";"0";"0";"pioggia nebbia "
Verona;22/11/2021;"9";"7";"11";"9";"95";"5";"5";"9";"0";"1013";"0";"0";"pioggia "
Verona;23/11/2021;"10";"4";"14";"4";"69";"19";"9";"17";"0";"1022";"0";"0";""
Verona;24/11/2021;"5";"1";"11";"3";"87";"20";"5";"9";"0";"1022";"0";"0";""
Verona;25/11/2021;"5";"1";"6";"4";"94";"11";"8";"15";"0";"1012";"0";"0";"pioggia "
Verona;26/11/2021;"7";"4";"10";"6";"95";"6";"11";"18";"0";"996";"0";"0";"pioggia nebbia "
Verona;27/11/2021;"8";"4";"12";"7";"91";"11";"8";"17";"0";"993";"0";"0";"pioggia nebbia "
Verona;28/11/2021;"6";"3";"8";"4";"93";"10";"8";"18";"0";"992";"0";"0";"pioggia temporale nebbia "
Verona;29/11/2021;"5";"0";"9";"2";"70";"20";"14";"22";"0";"1001";"0";"0";""
Verona;30/11/2021;"6";"-1";"9";"0";"42";"20";"17";"30";"0";"1014";"0";"0";""
