LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/8/2021;"27";"22";"31";"18";"62";"20";"15";"30";"0";"1007";"0";"0";"pioggia temporale "
Firenze;2/8/2021;"24";"19";"29";"14";"56";"21";"12";"24";"0";"1013";"0";"0";""
Firenze;3/8/2021;"24";"15";"31";"14";"58";"20";"10";"22";"0";"1015";"0";"0";""
Firenze;4/8/2021;"25";"19";"32";"15";"59";"21";"7";"17";"0";"1013";"0";"0";"pioggia "
Firenze;5/8/2021;"24";"20";"28";"17";"68";"21";"15";"28";"0";"1009";"0";"0";"pioggia "
Firenze;6/8/2021;"25";"20";"30";"17";"63";"21";"10";"21";"0";"1009";"0";"0";"pioggia "
Firenze;7/8/2021;"27";"17";"36";"16";"56";"22";"8";"22";"0";"1009";"0";"0";""
Firenze;8/8/2021;"27";"22";"33";"14";"48";"21";"11";"24";"0";"1012";"0";"0";""
Firenze;9/8/2021;"27";"16";"35";"14";"47";"20";"8";"18";"0";"1017";"0";"0";""
Firenze;10/8/2021;"29";"21";"37";"17";"51";"21";"7";"15";"0";"1016";"0";"0";""
Firenze;11/8/2021;"30";"23";"39";"19";"55";"20";"6";"13";"0";"1015";"0";"0";""
Firenze;12/8/2021;"30";"20";"40";"14";"45";"21";"6";"22";"0";"1017";"0";"0";""
Firenze;13/8/2021;"31";"21";"40";"15";"41";"20";"6";"15";"0";"1019";"0";"0";""
Firenze;14/8/2021;"31";"21";"41";"15";"41";"19";"6";"15";"0";"1018";"0";"0";""
Firenze;15/8/2021;"30";"21";"38";"16";"48";"19";"8";"22";"0";"1015";"0";"0";""
Firenze;16/8/2021;"28";"22";"36";"17";"52";"19";"10";"26";"0";"1011";"0";"0";""
Firenze;17/8/2021;"27";"21";"34";"16";"57";"20";"9";"21";"0";"1010";"0";"0";""
Firenze;18/8/2021;"27";"18";"33";"14";"48";"20";"10";"21";"0";"1012";"0";"0";""
Firenze;19/8/2021;"27";"17";"34";"12";"42";"21";"7";"13";"0";"1013";"0";"0";""
Firenze;20/8/2021;"27";"18";"34";"14";"49";"19";"6";"21";"0";"1014";"0";"0";"pioggia temporale "
Firenze;21/8/2021;"27";"18";"35";"16";"55";"19";"7";"17";"0";"1017";"0";"0";""
Firenze;22/8/2021;"26";"19";"32";"17";"60";"20";"10";"22";"0";"1017";"0";"0";""
Firenze;23/8/2021;"26";"21";"33";"17";"59";"19";"8";"22";"0";"1013";"0";"0";""
Firenze;24/8/2021;"27";"21";"32";"14";"48";"20";"14";"31";"0";"1013";"0";"0";""
Firenze;25/8/2021;"26";"22";"31";"13";"45";"22";"12";"26";"0";"1013";"0";"0";""
Firenze;26/8/2021;"24";"16";"32";"13";"53";"17";"9";"24";"0";"1010";"0";"0";""
Firenze;27/8/2021;"25";"20";"30";"17";"63";"19";"7";"21";"0";"1008";"0";"0";""
Firenze;28/8/2021;"21";"17";"26";"12";"60";"21";"10";"22";"0";"1010";"0";"0";"pioggia "
Firenze;29/8/2021;"21";"14";"28";"10";"52";"21";"7";"18";"0";"1012";"0";"0";""
Firenze;30/8/2021;"21";"13";"29";"12";"61";"19";"7";"22";"0";"1013";"0";"0";""
Firenze;31/8/2021;"21";"15";"30";"15";"70";"22";"6";"22";"0";"1016";"0";"0";"pioggia temporale "
