LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/4/2021;"17";"9";"24";"6";"51";"20";"7";"18";"0";"1019";"0";"0";""
Firenze;2/4/2021;"15";"8";"23";"6";"56";"23";"8";"21";"0";"1015";"0";"0";""
Firenze;3/4/2021;"14";"7";"21";"7";"60";"20";"10";"33";"0";"1011";"0";"0";""
Firenze;4/4/2021;"13";"9";"17";"2";"38";"20";"18";"28";"0";"1016";"0";"0";""
Firenze;5/4/2021;"12";"4";"19";"3";"38";"20";"11";"22";"0";"1013";"0";"0";""
Firenze;6/4/2021;"10";"7";"16";"4";"57";"20";"17";"48";"0";"1003";"0";"0";"pioggia "
Firenze;7/4/2021;"7";"2";"11";"0";"42";"20";"11";"37";"0";"1014";"0";"0";""
Firenze;8/4/2021;"8";"-2";"16";"1";"50";"20";"10";"26";"0";"1026";"0";"0";""
Firenze;9/4/2021;"12";"6";"18";"2";"51";"19";"8";"17";"0";"1027";"0";"0";"pioggia "
Firenze;10/4/2021;"11";"8";"14";"6";"75";"19";"6";"13";"0";"1023";"0";"0";"pioggia "
Firenze;11/4/2021;"14";"10";"18";"11";"83";"19";"13";"24";"0";"1018";"0";"0";"pioggia "
Firenze;12/4/2021;"13";"10";"15";"11";"90";"18";"13";"21";"0";"1016";"0";"0";"pioggia "
Firenze;13/4/2021;"10";"7";"13";"5";"72";"20";"11";"24";"0";"1017";"0";"0";"pioggia "
Firenze;14/4/2021;"9";"3";"14";"2";"58";"19";"7";"22";"0";"1021";"0";"0";""
Firenze;15/4/2021;"10";"5";"14";"2";"56";"20";"8";"18";"0";"1020";"0";"0";""
Firenze;16/4/2021;"11";"4";"16";"2";"53";"21";"13";"24";"0";"1017";"0";"0";""
Firenze;17/4/2021;"12";"8";"16";"1";"38";"20";"13";"28";"0";"1014";"0";"0";""
Firenze;18/4/2021;"12";"5";"16";"2";"49";"20";"12";"22";"0";"1014";"0";"0";""
Firenze;19/4/2021;"12";"6";"17";"2";"53";"19";"9";"22";"0";"1015";"0";"0";""
Firenze;20/4/2021;"12";"4";"19";"5";"63";"19";"9";"26";"0";"1016";"0";"0";""
Firenze;21/4/2021;"12";"5";"19";"5";"65";"19";"6";"22";"0";"1018";"0";"0";"pioggia "
Firenze;22/4/2021;"15";"11";"21";"7";"61";"19";"9";"41";"0";"1018";"0";"0";"pioggia "
Firenze;23/4/2021;"16";"6";"22";"5";"54";"21";"13";"22";"0";"1020";"0";"0";""
Firenze;24/4/2021;"17";"7";"24";"3";"44";"21";"9";"24";"0";"1020";"0";"0";""
Firenze;25/4/2021;"16";"7";"24";"4";"46";"21";"8";"22";"0";"1017";"0";"0";""
Firenze;26/4/2021;"16";"9";"23";"6";"54";"20";"6";"18";"0";"1013";"0";"0";"pioggia "
Firenze;27/4/2021;"15";"13";"18";"10";"74";"21";"8";"18";"0";"1007";"0";"0";"pioggia "
Firenze;28/4/2021;"14";"12";"18";"13";"89";"18";"5";"9";"0";"1008";"0";"0";"pioggia "
Firenze;29/4/2021;"16";"15";"19";"14";"87";"20";"7";"21";"0";"1010";"0";"0";"pioggia "
Firenze;30/4/2021;"18";"15";"23";"14";"78";"19";"7";"13";"0";"1011";"0";"0";"pioggia "
