LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/12/2021;"8";"6";"9";"5";"86";"14";"5";"8";"0";"1013";"0";"0";"pioggia "
Firenze;2/12/2021;"9";"5";"11";"8";"96";"15";"6";"15";"0";"1000";"0";"0";"pioggia "
Firenze;3/12/2021;"8";"5";"11";"3";"75";"19";"8";"13";"0";"1008";"0";"0";""
Firenze;4/12/2021;"4";"0";"9";"3";"95";"12";"4";"9";"0";"1011";"0";"0";"pioggia "
Firenze;5/12/2021;"9";"2";"13";"6";"80";"20";"8";"18";"0";"1002";"0";"0";"pioggia "
Firenze;6/12/2021;"6";"1";"11";"1";"67";"19";"8";"17";"0";"1007";"0";"0";""
Firenze;7/12/2021;"2";"-3";"10";"0";"81";"19";"4";"9";"0";"1013";"0";"0";""
Firenze;8/12/2021;"5";"0";"9";"5";"93";"12";"7";"26";"0";"1004";"0";"0";"pioggia "
Firenze;9/12/2021;"7";"3";"9";"4";"83";"18";"9";"13";"0";"1001";"0";"0";"pioggia "
Firenze;10/12/2021;"4";"-1";"7";"3";"91";"16";"7";"24";"0";"1001";"0";"0";"pioggia "
Firenze;11/12/2021;"8";"5";"10";"1";"57";"19";"17";"30";"0";"1005";"0";"0";""
Firenze;12/12/2021;"4";"-2";"12";"1";"77";"22";"3";"9";"0";"1021";"0";"0";""
Firenze;13/12/2021;"3";"-3";"11";"2";"84";"21";"3";"5";"0";"1026";"0";"0";""
Firenze;14/12/2021;"3";"-2";"11";"3";"93";"20";"3";"5";"0";"1025";"0";"0";""
Firenze;15/12/2021;"5";"-2";"13";"3";"80";"18";"4";"13";"0";"1026";"0";"0";"nebbia "
Firenze;16/12/2021;"10";"3";"16";"2";"60";"19";"10";"24";"0";"1028";"0";"0";""
Firenze;17/12/2021;"10";"4";"16";"3";"64";"21";"7";"9";"0";"1029";"0";"0";""
Firenze;18/12/2021;"6";"-2";"14";"2";"72";"19";"4";"9";"0";"1030";"0";"0";""
Firenze;19/12/2021;"4";"-3";"12";"2";"72";"21";"3";"8";"0";"1025";"0";"0";""
Firenze;20/12/2021;"8";"4";"12";"4";"80";"12";"3";"8";"0";"1019";"0";"0";""
Firenze;21/12/2021;"7";"4";"11";"6";"92";"7";"4";"8";"0";"1021";"0";"0";""
Firenze;22/12/2021;"8";"2";"12";"5";"80";"16";"4";"11";"0";"1023";"0";"0";""
Firenze;23/12/2021;"4";"1";"7";"4";"95";"15";"4";"8";"0";"1023";"0";"0";"pioggia "
Firenze;24/12/2021;"12";"7";"15";"11";"96";"11";"9";"24";"0";"1014";"0";"0";"pioggia "
Firenze;25/12/2021;"13";"12";"14";"12";"97";"16";"8";"17";"0";"1008";"0";"0";"pioggia "
Firenze;26/12/2021;"12";"11";"13";"11";"98";"18";"4";"11";"0";"1007";"0";"0";"pioggia grandine "
Firenze;27/12/2021;"12";"11";"14";"11";"95";"16";"4";"9";"0";"1008";"0";"0";"pioggia "
Firenze;28/12/2021;"12";"10";"14";"11";"96";"15";"4";"9";"0";"1008";"0";"0";"pioggia "
Firenze;29/12/2021;"12";"9";"15";"11";"95";"17";"4";"8";"0";"1010";"0";"0";""
Firenze;30/12/2021;"8";"7";"10";"8";"100";"2";"3";"5";"0";"1018";"0";"0";"nebbia "
Firenze;31/12/2021;"7";"6";"9";"7";"100";"1";"4";"8";"0";"1026";"0";"0";"nebbia "
