LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/2/2021;"7";"4";"9";"6";"97";"12";"4";"8";"0";"999";"0";"0";"pioggia "
Firenze;2/2/2021;"9";"6";"15";"7";"88";"16";"4";"11";"0";"1011";"0";"0";"nebbia "
Firenze;3/2/2021;"11";"9";"14";"10";"91";"14";"5";"11";"0";"1015";"0";"0";""
Firenze;4/2/2021;"14";"11";"16";"11";"85";"20";"4";"11";"0";"1017";"0";"0";""
Firenze;5/2/2021;"13";"8";"17";"10";"86";"20";"4";"9";"0";"1017";"0";"0";""
Firenze;6/2/2021;"10";"3";"17";"8";"88";"20";"3";"8";"0";"1011";"0";"0";"nebbia "
Firenze;7/2/2021;"11";"10";"13";"10";"92";"17";"9";"17";"0";"999";"0";"0";"pioggia "
Firenze;8/2/2021;"10";"9";"12";"7";"79";"16";"13";"31";"0";"997";"0";"0";"pioggia "
Firenze;9/2/2021;"11";"10";"13";"10";"91";"15";"9";"24";"0";"1001";"0";"0";"pioggia "
Firenze;10/2/2021;"12";"8";"15";"9";"83";"18";"10";"31";"0";"1000";"0";"0";"pioggia "
Firenze;11/2/2021;"9";"3";"15";"6";"84";"16";"6";"18";"0";"1010";"0";"0";"nebbia "
Firenze;12/2/2021;"7";"4";"9";"3";"74";"21";"7";"13";"0";"1020";"0";"0";"pioggia "
Firenze;13/2/2021;"2";"0";"4";"1";"53";"20";"20";"37";"0";"1024";"0";"0";"pioggia "
Firenze;14/2/2021;"3";"-1";"6";"0";"43";"20";"17";"30";"0";"1035";"0";"0";""
Firenze;15/2/2021;"2";"-6";"10";"0";"56";"21";"5";"13";"0";"1037";"0";"0";""
Firenze;16/2/2021;"4";"1";"7";"5";"84";"11";"5";"11";"0";"1029";"0";"0";"pioggia "
Firenze;17/2/2021;"9";"7";"11";"8";"96";"12";"8";"13";"0";"1023";"0";"0";"pioggia "
Firenze;18/2/2021;"11";"8";"14";"9";"87";"15";"3";"5";"0";"1024";"0";"0";"pioggia "
Firenze;19/2/2021;"11";"6";"15";"8";"85";"22";"5";"11";"0";"1025";"0";"0";""
Firenze;20/2/2021;"12";"7";"18";"7";"77";"20";"3";"9";"0";"1026";"0";"0";""
Firenze;21/2/2021;"10";"2";"19";"5";"76";"20";"3";"8";"0";"1025";"0";"0";"nebbia "
Firenze;22/2/2021;"11";"3";"20";"6";"78";"20";"4";"9";"0";"1029";"0";"0";""
Firenze;23/2/2021;"11";"4";"20";"7";"80";"19";"4";"8";"0";"1035";"0";"0";"nebbia "
Firenze;24/2/2021;"11";"4";"22";"6";"76";"19";"4";"8";"0";"1034";"0";"0";"nebbia "
Firenze;25/2/2021;"11";"3";"22";"5";"70";"19";"4";"11";"0";"1031";"0";"0";""
Firenze;26/2/2021;"11";"3";"21";"5";"73";"17";"4";"13";"0";"1028";"0";"0";"nebbia "
Firenze;27/2/2021;"11";"6";"19";"6";"73";"11";"12";"31";"0";"1024";"0";"0";"nebbia "
Firenze;28/2/2021;"12";"8";"16";"2";"45";"21";"11";"22";"0";"1029";"0";"0";""
