LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/1/2021;"7";"5";"10";"6";"90";"16";"11";"21";"0";"1009";"0";"0";"pioggia "
Firenze;2/1/2021;"10";"9";"11";"6";"78";"18";"15";"24";"0";"1004";"0";"0";"pioggia "
Firenze;3/1/2021;"9";"7";"11";"5";"78";"20";"13";"17";"0";"1008";"0";"0";"pioggia "
Firenze;4/1/2021;"8";"6";"10";"5";"82";"21";"8";"13";"0";"1010";"0";"0";"pioggia "
Firenze;5/1/2021;"6";"4";"8";"5";"90";"18";"9";"17";"0";"1007";"0";"0";"pioggia "
Firenze;6/1/2021;"4";"3";"5";"3";"93";"18";"7";"13";"0";"1011";"0";"0";"pioggia "
Firenze;7/1/2021;"5";"3";"9";"4";"93";"10";"3";"9";"0";"1014";"0";"0";"pioggia nebbia "
Firenze;8/1/2021;"6";"3";"10";"2";"72";"20";"6";"11";"0";"1012";"0";"0";""
Firenze;9/1/2021;"6";"4";"7";"0";"60";"20";"9";"17";"0";"1014";"0";"0";""
Firenze;10/1/2021;"6";"4";"7";"1";"65";"19";"11";"21";"0";"1013";"0";"0";"pioggia "
Firenze;11/1/2021;"5";"3";"6";"0";"54";"20";"11";"28";"0";"1016";"0";"0";""
Firenze;12/1/2021;"3";"-1";"9";"0";"64";"21";"5";"13";"0";"1016";"0";"0";""
Firenze;13/1/2021;"3";"-1";"12";"2";"84";"18";"3";"5";"0";"1015";"0";"0";""
Firenze;14/1/2021;;;;;;;;;;;;;
Firenze;15/1/2021;"8";"5";"11";"1";"55";"18";"14";"28";"0";"1014";"0";"0";""
Firenze;16/1/2021;"5";"0";"9";"0";"51";"21";"11";"21";"0";"1020";"0";"0";""
Firenze;17/1/2021;"3";"0";"7";"1";"78";"19";"5";"26";"0";"1016";"0";"0";"pioggia neve "
Firenze;18/1/2021;"3";"-3";"10";"0";"73";"19";"4";"8";"0";"1023";"0";"0";""
Firenze;19/1/2021;"3";"-1";"7";"3";"87";"16";"3";"8";"0";"1025";"0";"0";"pioggia "
Firenze;20/1/2021;"7";"4";"12";"6";"91";"10";"4";"11";"0";"1021";"0";"0";"pioggia "
Firenze;21/1/2021;"12";"8";"16";"8";"77";"20";"9";"15";"0";"1015";"0";"0";"pioggia "
Firenze;22/1/2021;"13";"10";"15";"10";"80";"20";"13";"22";"0";"1003";"0";"0";"pioggia "
Firenze;23/1/2021;"10";"8";"13";"6";"78";"17";"15";"26";"0";"997";"0";"0";"pioggia "
Firenze;24/1/2021;"8";"1";"12";"6";"79";"18";"10";"24";"0";"998";"0";"0";"pioggia "
Firenze;25/1/2021;"6";"0";"11";"4";"82";"16";"6";"17";"0";"1002";"0";"0";"pioggia "
Firenze;26/1/2021;"2";"-3";"11";"1";"73";"20";"4";"11";"0";"1015";"0";"0";""
Firenze;27/1/2021;"1";"-5";"9";"0";"73";"20";"3";"5";"0";"1017";"0";"0";""
Firenze;28/1/2021;"4";"2";"6";"2";"76";"15";"3";"5";"0";"1015";"0";"0";"pioggia "
Firenze;29/1/2021;"7";"5";"10";"7";"98";"5";"4";"8";"0";"1007";"0";"0";"pioggia nebbia "
Firenze;30/1/2021;"10";"6";"15";"8";"91";"10";"5";"17";"0";"1003";"0";"0";"pioggia nebbia "
Firenze;31/1/2021;"10";"4";"13";"7";"85";"19";"9";"26";"0";"995";"0";"0";"pioggia temporale "
