LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/6/2021;"19";"11";"27";"10";"56";"20";"7";"18";"0";"1016";"0";"0";""
Firenze;2/6/2021;"21";"13";"27";"10";"54";"22";"7";"15";"0";"1018";"0";"0";""
Firenze;3/6/2021;"23";"13";"29";"10";"51";"21";"7";"28";"0";"1022";"0";"0";"pioggia "
Firenze;4/6/2021;"21";"13";"30";"11";"54";"19";"6";"15";"0";"1023";"0";"0";"pioggia "
Firenze;5/6/2021;"21";"18";"26";"14";"66";"20";"8";"22";"0";"1021";"0";"0";"pioggia "
Firenze;6/6/2021;"23";"19";"30";"16";"65";"20";"8";"30";"0";"1017";"0";"0";""
Firenze;7/6/2021;"22";"17";"27";"16";"69";"21";"7";"15";"0";"1016";"0";"0";"pioggia "
Firenze;8/6/2021;"20";"18";"22";"18";"88";"18";"5";"13";"0";"1017";"0";"0";"pioggia "
Firenze;9/6/2021;"22";"13";"29";"15";"70";"20";"7";"18";"0";"1016";"0";"0";""
Firenze;10/6/2021;"23";"15";"30";"16";"67";"20";"7";"18";"0";"1016";"0";"0";"pioggia "
Firenze;11/6/2021;"23";"15";"29";"15";"65";"20";"6";"17";"0";"1016";"0";"0";""
Firenze;12/6/2021;"24";"15";"31";"14";"57";"20";"7";"18";"0";"1017";"0";"0";""
Firenze;13/6/2021;"24";"16";"31";"17";"66";"19";"8";"17";"0";"1018";"0";"0";""
Firenze;14/6/2021;"25";"21";"32";"20";"73";"20";"6";"15";"0";"1016";"0";"0";""
Firenze;15/6/2021;"26";"19";"33";"16";"58";"20";"7";"17";"0";"1016";"0";"0";""
Firenze;16/6/2021;"25";"19";"32";"19";"69";"19";"6";"11";"0";"1015";"0";"0";""
Firenze;17/6/2021;"26";"19";"33";"17";"61";"18";"7";"24";"0";"1016";"0";"0";""
Firenze;18/6/2021;"25";"18";"32";"16";"61";"19";"7";"21";"0";"1017";"0";"0";""
Firenze;19/6/2021;"25";"18";"31";"16";"59";"20";"6";"13";"0";"1017";"0";"0";""
Firenze;20/6/2021;"26";"19";"32";"18";"62";"20";"7";"13";"0";"1013";"0";"0";""
Firenze;21/6/2021;"26";"19";"32";"18";"61";"19";"8";"21";"0";"1010";"0";"0";""
Firenze;22/6/2021;"27";"21";"33";"17";"58";"20";"8";"17";"0";"1011";"0";"0";""
Firenze;23/6/2021;"26";"18";"34";"15";"54";"19";"7";"21";"0";"1014";"0";"0";""
Firenze;24/6/2021;"26";"19";"32";"16";"57";"20";"10";"22";"0";"1016";"0";"0";""
Firenze;25/6/2021;"25";"17";"31";"14";"55";"21";"10";"18";"0";"1016";"0";"0";""
Firenze;26/6/2021;"24";"15";"32";"13";"53";"19";"7";"18";"0";"1016";"0";"0";""
Firenze;27/6/2021;"26";"16";"35";"13";"51";"21";"6";"15";"0";"1014";"0";"0";""
Firenze;28/6/2021;"28";"18";"37";"14";"46";"22";"7";"22";"0";"1013";"0";"0";""
Firenze;29/6/2021;"26";"19";"33";"16";"53";"21";"10";"22";"0";"1013";"0";"0";""
Firenze;30/6/2021;"24";"20";"28";"14";"55";"20";"15";"33";"0";"1012";"0";"0";""
