LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/7/2021;"24";"18";"29";"15";"59";"19";"12";"24";"0";"1013";"0";"0";""
Firenze;2/7/2021;"24";"17";"31";"16";"61";"19";"9";"21";"0";"1014";"0";"0";""
Firenze;3/7/2021;"25";"18";"32";"17";"63";"21";"8";"17";"0";"1014";"0";"0";""
Firenze;4/7/2021;"24";"18";"29";"17";"66";"21";"8";"18";"0";"1011";"0";"0";""
Firenze;5/7/2021;"26";"20";"32";"17";"63";"21";"9";"21";"0";"1011";"0";"0";""
Firenze;6/7/2021;"26";"18";"35";"15";"53";"20";"7";"17";"0";"1013";"0";"0";""
Firenze;7/7/2021;"28";"19";"37";"16";"51";"21";"7";"21";"0";"1013";"0";"0";""
Firenze;8/7/2021;"27";"22";"34";"19";"64";"18";"11";"26";"0";"1015";"0";"0";""
Firenze;9/7/2021;"25";"20";"32";"14";"55";"21";"9";"17";"0";"1017";"0";"0";""
Firenze;10/7/2021;"25";"16";"33";"12";"48";"20";"9";"22";"0";"1015";"0";"0";""
Firenze;11/7/2021;"25";"20";"31";"18";"66";"20";"10";"18";"0";"1014";"0";"0";""
Firenze;12/7/2021;"26";"18";"33";"17";"59";"19";"8";"17";"0";"1013";"0";"0";""
Firenze;13/7/2021;"23";"19";"29";"17";"68";"20";"9";"21";"0";"1008";"0";"0";"pioggia temporale "
Firenze;14/7/2021;"22";"18";"26";"14";"60";"19";"14";"26";"0";"1013";"0";"0";""
Firenze;15/7/2021;"23";"15";"29";"14";"63";"19";"7";"13";"0";"1014";"0";"0";""
Firenze;16/7/2021;"23";"19";"29";"16";"66";"19";"8";"17";"0";"1013";"0";"0";"pioggia "
Firenze;17/7/2021;"23";"20";"28";"16";"65";"21";"7";"22";"0";"1011";"0";"0";"pioggia "
Firenze;18/7/2021;"26";"18";"32";"15";"56";"21";"12";"30";"0";"1009";"0";"0";""
Firenze;19/7/2021;"28";"23";"33";"15";"46";"21";"14";"33";"0";"1011";"0";"0";""
Firenze;20/7/2021;"27";"18";"35";"14";"49";"20";"7";"18";"0";"1013";"0";"0";""
Firenze;21/7/2021;"27";"19";"35";"16";"51";"21";"9";"21";"0";"1017";"0";"0";""
Firenze;22/7/2021;"27";"18";"34";"18";"62";"20";"7";"17";"0";"1017";"0";"0";""
Firenze;23/7/2021;"27";"22";"34";"20";"70";"18";"7";"21";"0";"1014";"0";"0";""
Firenze;24/7/2021;"27";"21";"33";"18";"61";"20";"7";"13";"0";"1013";"0";"0";""
Firenze;25/7/2021;"27";"19";"34";"16";"53";"18";"9";"24";"0";"1010";"0";"0";"pioggia temporale "
Firenze;26/7/2021;"28";"22";"35";"19";"60";"21";"9";"28";"0";"1012";"0";"0";"pioggia "
Firenze;27/7/2021;"28";"23";"35";"17";"54";"20";"8";"18";"0";"1015";"0";"0";"pioggia "
Firenze;28/7/2021;"28";"22";"34";"19";"61";"19";"8";"18";"0";"1014";"0";"0";""
Firenze;29/7/2021;"28";"19";"36";"17";"57";"20";"8";"21";"0";"1013";"0";"0";""
Firenze;30/7/2021;"28";"19";"35";"16";"52";"20";"9";"18";"0";"1012";"0";"0";""
Firenze;31/7/2021;"28";"20";"36";"17";"55";"20";"8";"18";"0";"1009";"0";"0";""
