LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/5/2021;"18";"13";"24";"15";"85";"17";"6";"18";"0";"1008";"0";"0";"pioggia nebbia "
Firenze;2/5/2021;"16";"12";"19";"8";"63";"18";"21";"33";"0";"1013";"0";"0";"pioggia "
Firenze;3/5/2021;"15";"9";"21";"6";"60";"19";"8";"18";"0";"1019";"0";"0";""
Firenze;4/5/2021;"14";"7";"20";"8";"69";"19";"8";"18";"0";"1018";"0";"0";""
Firenze;5/5/2021;"15";"12";"20";"10";"69";"21";"11";"26";"0";"1012";"0";"0";""
Firenze;6/5/2021;"17";"11";"21";"9";"60";"21";"15";"30";"0";"1013";"0";"0";""
Firenze;7/5/2021;"17";"12";"21";"11";"71";"20";"14";"30";"0";"1012";"0";"0";""
Firenze;8/5/2021;"18";"10";"25";"11";"66";"20";"5";"15";"0";"1017";"0";"0";""
Firenze;9/5/2021;"19";"11";"28";"12";"63";"22";"6";"17";"0";"1017";"0";"0";""
Firenze;10/5/2021;"20";"12";"28";"11";"59";"21";"8";"17";"0";"1016";"0";"0";""
Firenze;11/5/2021;"16";"14";"20";"12";"80";"19";"8";"22";"0";"1012";"0";"0";"pioggia "
Firenze;12/5/2021;"16";"14";"20";"11";"75";"19";"13";"28";"0";"1010";"0";"0";"pioggia "
Firenze;13/5/2021;"15";"12";"19";"11";"78";"19";"10";"26";"0";"1008";"0";"0";"pioggia "
Firenze;14/5/2021;"16";"13";"21";"10";"71";"20";"8";"15";"0";"1010";"0";"0";"pioggia "
Firenze;15/5/2021;"15";"10";"21";"10";"76";"18";"10";"26";"0";"1012";"0";"0";"pioggia "
Firenze;16/5/2021;"17";"14";"18";"14";"83";"21";"6";"13";"0";"1010";"0";"0";"pioggia "
Firenze;17/5/2021;"17";"14";"21";"12";"70";"21";"15";"26";"0";"1009";"0";"0";"pioggia "
Firenze;18/5/2021;"16";"11";"22";"10";"72";"21";"9";"24";"0";"1014";"0";"0";"pioggia "
Firenze;19/5/2021;"17";"12";"22";"10";"68";"17";"14";"22";"0";"1013";"0";"0";"pioggia temporale "
Firenze;20/5/2021;"16";"8";"23";"8";"63";"20";"7";"21";"0";"1018";"0";"0";""
Firenze;21/5/2021;"17";"10";"24";"10";"64";"21";"9";"26";"0";"1019";"0";"0";""
Firenze;22/5/2021;"17";"14";"21";"13";"77";"20";"6";"15";"0";"1014";"0";"0";"pioggia "
Firenze;23/5/2021;"21";"17";"25";"13";"65";"21";"9";"21";"0";"1015";"0";"0";""
Firenze;24/5/2021;"17";"15";"21";"15";"86";"17";"7";"17";"0";"1015";"0";"0";"pioggia temporale "
Firenze;25/5/2021;"18";"13";"21";"10";"65";"19";"16";"30";"0";"1019";"0";"0";""
Firenze;26/5/2021;"17";"9";"23";"9";"64";"19";"8";"18";"0";"1018";"0";"0";""
Firenze;27/5/2021;"17";"9";"24";"9";"63";"20";"8";"18";"0";"1016";"0";"0";""
Firenze;28/5/2021;"20";"11";"28";"11";"60";"19";"6";"15";"0";"1017";"0";"0";""
Firenze;29/5/2021;"20";"12";"28";"12";"62";"19";"7";"13";"0";"1016";"0";"0";"pioggia "
Firenze;30/5/2021;"21";"16";"25";"7";"42";"20";"16";"28";"0";"1017";"0";"0";""
Firenze;31/5/2021;"20";"14";"25";"7";"45";"19";"7";"13";"0";"1018";"0";"0";""
