LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/3/2021;"10";"2";"18";"0";"46";"20";"8";"17";"0";"1028";"0";"0";""
Firenze;2/3/2021;"5";"3";"10";"0";"63";"20";"7";"11";"0";"1031";"0";"0";""
Firenze;3/3/2021;;;;;;;;;;;;;
Firenze;4/3/2021;"14";"9";"17";"5";"58";"20";"8";"15";"0";"1022";"0";"0";""
Firenze;5/3/2021;"12";"7";"17";"6";"68";"18";"6";"15";"0";"1018";"0";"0";""
Firenze;6/3/2021;"9";"8";"11";"6";"86";"18";"5";"21";"0";"1022";"0";"0";""
Firenze;7/3/2021;;;;;;;;;;;;;
Firenze;8/3/2021;"14";"9";"18";"4";"50";"19";"8";"18";"0";"1013";"0";"0";""
Firenze;9/3/2021;"12";"8";"15";"3";"58";"20";"14";"26";"0";"1012";"0";"0";""
Firenze;10/3/2021;"11";"7";"16";"2";"47";"20";"10";"21";"0";"1016";"0";"0";""
Firenze;11/3/2021;"9";"3";"15";"3";"66";"19";"7";"22";"0";"1021";"0";"0";""
Firenze;12/3/2021;"13";"11";"18";"8";"72";"19";"9";"21";"0";"1015";"0";"0";""
Firenze;13/3/2021;"12";"8";"17";"7";"74";"20";"11";"24";"0";"1015";"0";"0";""
Firenze;14/3/2021;"11";"5";"14";"5";"65";"21";"16";"30";"0";"1009";"0";"0";"pioggia "
Firenze;15/3/2021;"8";"0";"16";"2";"66";"20";"7";"24";"0";"1011";"0";"0";""
Firenze;16/3/2021;"9";"2";"17";"3";"54";"20";"9";"22";"0";"1013";"0";"0";""
Firenze;17/3/2021;"8";"-1";"17";"0";"47";"19";"5";"13";"0";"1015";"0";"0";""
Firenze;18/3/2021;"8";"1";"14";"0";"46";"20";"11";"24";"0";"1016";"0";"0";""
Firenze;19/3/2021;"7";"-1";"13";"0";"46";"20";"11";"24";"0";"1014";"0";"0";""
Firenze;20/3/2021;"8";"5";"13";"0";"43";"20";"19";"35";"0";"1015";"0";"0";""
Firenze;21/3/2021;"7";"4";"10";"0";"39";"20";"20";"37";"0";"1012";"0";"0";""
Firenze;22/3/2021;"9";"7";"13";"0";"60";"21";"13";"26";"0";"1009";"0";"0";""
Firenze;23/3/2021;"11";"4";"15";"0";"44";"20";"11";"30";"0";"1022";"0";"0";""
Firenze;24/3/2021;"9";"0";"18";"4";"54";"20";"7";"18";"0";"1023";"0";"0";""
Firenze;25/3/2021;"11";"7";"18";"6";"71";"19";"6";"18";"0";"1023";"0";"0";""
Firenze;26/3/2021;"11";"5";"16";"8";"78";"19";"5";"15";"0";"1025";"0";"0";"pioggia "
Firenze;27/3/2021;"13";"8";"19";"8";"76";"20";"6";"15";"0";"1026";"0";"0";""
Firenze;28/3/2021;"15";"9";"21";"8";"65";"19";"6";"13";"0";"1030";"0";"0";""
Firenze;29/3/2021;"15";"7";"24";"7";"64";"21";"5";"13";"0";"1032";"0";"0";"nebbia "
Firenze;30/3/2021;"17";"7";"28";"5";"53";"19";"5";"15";"0";"1029";"0";"0";""
Firenze;31/3/2021;"17";"8";"28";"5";"48";"21";"5";"13";"0";"1024";"0";"0";""
