LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/11/2021;"15";"13";"17";"14";"93";"14";"7";"21";"0";"1004";"0";"0";"pioggia "
Firenze;2/11/2021;"16";"14";"18";"11";"77";"19";"12";"26";"0";"1004";"0";"0";""
Firenze;3/11/2021;"15";"12";"19";"12";"81";"20";"10";"17";"0";"1003";"0";"0";"pioggia "
Firenze;4/11/2021;"13";"9";"17";"9";"80";"19";"10";"21";"0";"1007";"0";"0";"pioggia "
Firenze;5/11/2021;"12";"5";"17";"6";"74";"20";"9";"26";"0";"1016";"0";"0";""
Firenze;6/11/2021;"14";"13";"16";"6";"60";"20";"16";"33";"0";"1021";"0";"0";""
Firenze;7/11/2021;"14";"10";"19";"9";"76";"19";"10";"33";"0";"1016";"0";"0";"pioggia temporale "
Firenze;8/11/2021;"14";"8";"19";"9";"73";"20";"9";"24";"0";"1014";"0";"0";"pioggia nebbia "
Firenze;9/11/2021;"15";"13";"17";"8";"63";"21";"12";"26";"0";"1020";"0";"0";"pioggia "
Firenze;10/11/2021;"17";"14";"22";"10";"65";"20";"8";"18";"0";"1023";"0";"0";"pioggia "
Firenze;11/11/2021;"16";"11";"21";"11";"77";"21";"5";"11";"0";"1021";"0";"0";""
Firenze;12/11/2021;"14";"9";"20";"11";"85";"20";"4";"8";"0";"1018";"0";"0";""
Firenze;13/11/2021;"13";"9";"19";"11";"89";"20";"4";"11";"0";"1017";"0";"0";""
Firenze;14/11/2021;"13";"12";"14";"12";"97";"15";"5";"11";"0";"1014";"0";"0";"pioggia "
Firenze;15/11/2021;"15";"12";"18";"12";"84";"20";"7";"17";"0";"1015";"0";"0";"pioggia "
Firenze;16/11/2021;"13";"11";"16";"9";"75";"19";"8";"15";"0";"1016";"0";"0";"pioggia "
Firenze;17/11/2021;"12";"7";"18";"9";"83";"20";"5";"11";"0";"1017";"0";"0";""
Firenze;18/11/2021;"13";"7";"19";"9";"79";"20";"7";"17";"0";"1023";"0";"0";""
Firenze;19/11/2021;"11";"6";"18";"8";"86";"18";"4";"8";"0";"1027";"0";"0";""
Firenze;20/11/2021;"7";"4";"11";"7";"100";"5";"3";"5";"0";"1024";"0";"0";"nebbia "
Firenze;21/11/2021;"12";"8";"16";"11";"93";"12";"3";"8";"0";"1014";"0";"0";"nebbia "
Firenze;22/11/2021;"14";"11";"17";"11";"84";"14";"5";"15";"0";"1010";"0";"0";"pioggia "
Firenze;23/11/2021;"13";"11";"15";"6";"63";"20";"12";"26";"0";"1019";"0";"0";""
Firenze;24/11/2021;"11";"5";"15";"3";"60";"21";"6";"17";"0";"1019";"0";"0";""
Firenze;25/11/2021;"10";"7";"13";"9";"94";"18";"4";"9";"0";"1008";"0";"0";"pioggia "
Firenze;26/11/2021;"10";"8";"13";"9";"94";"16";"5";"11";"0";"998";"0";"0";"pioggia nebbia "
Firenze;27/11/2021;"10";"8";"14";"7";"81";"20";"11";"31";"0";"995";"0";"0";"pioggia "
Firenze;28/11/2021;"8";"4";"11";"5";"84";"19";"9";"24";"0";"994";"0";"0";"pioggia temporale "
Firenze;29/11/2021;"6";"2";"10";"2";"68";"21";"8";"22";"0";"1001";"0";"0";""
Firenze;30/11/2021;"4";"-4";"11";"1";"70";"21";"4";"9";"0";"1017";"0";"0";""
