LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/10/2021;"21";"13";"28";"12";"59";"18";"5";"8";"0";"1021";"0";"0";""
Firenze;2/10/2021;"19";"13";"27";"14";"78";"17";"4";"15";"0";"1018";"0";"0";"pioggia "
Firenze;3/10/2021;"19";"12";"27";"15";"79";"20";"4";"13";"0";"1018";"0";"0";"nebbia "
Firenze;4/10/2021;"21";"16";"26";"18";"86";"17";"5";"9";"0";"1017";"0";"0";"pioggia temporale "
Firenze;5/10/2021;"19";"17";"23";"15";"77";"18";"12";"22";"0";"1015";"0";"0";"pioggia "
Firenze;6/10/2021;"18";"15";"22";"13";"74";"20";"11";"28";"0";"1012";"0";"0";"pioggia "
Firenze;7/10/2021;"16";"14";"17";"9";"65";"19";"19";"30";"0";"1013";"0";"0";"pioggia "
Firenze;8/10/2021;"17";"16";"19";"10";"61";"21";"14";"28";"0";"1017";"0";"0";""
Firenze;9/10/2021;"16";"14";"19";"8";"58";"20";"15";"21";"0";"1020";"0";"0";""
Firenze;10/10/2021;"14";"11";"17";"4";"54";"19";"13";"21";"0";"1020";"0";"0";""
Firenze;11/10/2021;"15";"11";"19";"6";"57";"20";"11";"22";"0";"1018";"0";"0";""
Firenze;12/10/2021;"13";"7";"21";"7";"71";"21";"5";"13";"0";"1016";"0";"0";""
Firenze;13/10/2021;"14";"6";"21";"6";"63";"21";"10";"26";"0";"1016";"0";"0";""
Firenze;14/10/2021;"13";"7";"17";"3";"50";"21";"13";"33";"0";"1022";"0";"0";""
Firenze;15/10/2021;"12";"4";"20";"3";"60";"20";"6";"17";"0";"1019";"0";"0";""
Firenze;16/10/2021;"15";"6";"21";"5";"56";"21";"11";"18";"0";"1017";"0";"0";""
Firenze;17/10/2021;"13";"6";"22";"6";"69";"21";"6";"15";"0";"1019";"0";"0";""
Firenze;18/10/2021;"12";"5";"22";"6";"73";"20";"4";"8";"0";"1023";"0";"0";""
Firenze;19/10/2021;"13";"5";"21";"8";"75";"19";"4";"9";"0";"1028";"0";"0";""
Firenze;20/10/2021;"16";"11";"21";"11";"75";"21";"6";"13";"0";"1026";"0";"0";""
Firenze;21/10/2021;"16";"12";"19";"14";"88";"20";"6";"11";"0";"1017";"0";"0";""
Firenze;22/10/2021;"16";"12";"22";"15";"91";"13";"4";"13";"0";"1015";"0";"0";"pioggia "
Firenze;23/10/2021;"15";"7";"23";"11";"80";"13";"6";"18";"0";"1020";"0";"0";"nebbia "
Firenze;24/10/2021;"16";"13";"20";"8";"58";"17";"10";"26";"0";"1024";"0";"0";""
Firenze;25/10/2021;"15";"12";"19";"5";"52";"19";"8";"17";"0";"1021";"0";"0";""
Firenze;26/10/2021;"13";"8";"20";"8";"72";"20";"5";"15";"0";"1020";"0";"0";""
Firenze;27/10/2021;"16";"13";"20";"6";"51";"20";"10";"21";"0";"1023";"0";"0";""
Firenze;28/10/2021;"15";"9";"21";"6";"58";"20";"10";"17";"0";"1021";"0";"0";""
Firenze;29/10/2021;"13";"5";"21";"7";"69";"22";"3";"8";"0";"1017";"0";"0";""
Firenze;30/10/2021;"12";"5";"21";"8";"79";"20";"3";"8";"0";"1017";"0";"0";""
Firenze;31/10/2021;"15";"8";"22";"10";"73";"19";"5";"17";"0";"1016";"0";"0";"pioggia "
