LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Firenze;1/9/2021;"24";"14";"32";"14";"60";"19";"8";"17";"0";"1019";"0";"0";""
Firenze;2/9/2021;"25";"15";"32";"11";"49";"20";"8";"21";"0";"1021";"0";"0";""
Firenze;3/9/2021;"23";"15";"31";"11";"49";"19";"5";"8";"0";"1018";"0";"0";""
Firenze;4/9/2021;"21";"17";"24";"15";"67";"21";"5";"9";"0";"1015";"0";"0";"pioggia "
Firenze;5/9/2021;"21";"13";"30";"13";"68";"22";"8";"18";"0";"1017";"0";"0";""
Firenze;6/9/2021;"24";"13";"30";"10";"46";"18";"12";"22";"0";"1020";"0";"0";""
Firenze;7/9/2021;"23";"12";"30";"10";"47";"20";"9";"21";"0";"1021";"0";"0";""
Firenze;8/9/2021;"24";"14";"31";"9";"43";"21";"9";"18";"0";"1018";"0";"0";""
Firenze;9/9/2021;"23";"13";"32";"10";"49";"21";"5";"18";"0";"1016";"0";"0";""
Firenze;10/9/2021;"24";"14";"32";"12";"50";"20";"6";"15";"0";"1016";"0";"0";""
Firenze;11/9/2021;"24";"14";"32";"12";"52";"22";"6";"15";"0";"1015";"0";"0";""
Firenze;12/9/2021;"22";"15";"32";"12";"58";"21";"5";"11";"0";"1015";"0";"0";""
Firenze;13/9/2021;"23";"15";"32";"14";"63";"19";"7";"17";"0";"1016";"0";"0";""
Firenze;14/9/2021;"24";"19";"30";"16";"65";"19";"7";"18";"0";"1018";"0";"0";""
Firenze;15/9/2021;"23";"18";"29";"15";"64";"21";"6";"15";"0";"1018";"0";"0";""
Firenze;16/9/2021;"22";"18";"26";"17";"74";"19";"6";"13";"0";"1016";"0";"0";"pioggia "
Firenze;17/9/2021;"23";"19";"27";"19";"82";"20";"9";"18";"0";"1012";"0";"0";"pioggia temporale "
Firenze;18/9/2021;"22";"19";"28";"18";"79";"20";"8";"18";"0";"1013";"0";"0";"pioggia "
Firenze;19/9/2021;"20";"17";"24";"17";"84";"20";"9";"26";"0";"1012";"0";"0";"pioggia temporale "
Firenze;20/9/2021;"19";"15";"25";"16";"86";"22";"5";"13";"0";"1013";"0";"0";"pioggia "
Firenze;21/9/2021;"21";"15";"26";"14";"71";"20";"9";"22";"0";"1020";"0";"0";""
Firenze;22/9/2021;"20";"11";"27";"11";"61";"19";"9";"21";"0";"1021";"0";"0";""
Firenze;23/9/2021;"20";"12";"28";"11";"57";"20";"6";"13";"0";"1021";"0";"0";""
Firenze;24/9/2021;"20";"10";"28";"14";"71";"21";"5";"13";"0";"1019";"0";"0";""
Firenze;25/9/2021;"22";"15";"29";"16";"72";"20";"4";"9";"0";"1020";"0";"0";"nebbia "
Firenze;26/9/2021;"22";"17";"29";"18";"78";"19";"10";"44";"0";"1019";"0";"0";"pioggia temporale "
Firenze;27/9/2021;"22";"18";"28";"18";"80";"20";"5";"15";"0";"1017";"0";"0";""
Firenze;28/9/2021;"22";"15";"30";"15";"71";"14";"6";"21";"0";"1018";"0";"0";"nebbia "
Firenze;29/9/2021;"20";"14";"28";"14";"70";"19";"5";"13";"0";"1017";"0";"0";""
Firenze;30/9/2021;"20";"15";"27";"15";"74";"19";"9";"26";"0";"1020";"0";"0";""
