LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/8/2021;"25";"24";"26";"21";"78";"18";"17";"33";"0";"1005";"0";"0";"pioggia temporale "
Genova;2/8/2021;"24";"22";"26";"18";"68";"21";"14";"24";"0";"1012";"0";"0";""
Genova;3/8/2021;"23";"21";"24";"19";"76";"19";"21";"31";"0";"1014";"0";"0";""
Genova;4/8/2021;"24";"23";"24";"21";"84";"20";"26";"33";"0";"1011";"0";"0";"pioggia "
Genova;5/8/2021;"23";"20";"24";"20";"85";"19";"14";"28";"0";"1008";"0";"0";"pioggia temporale "
Genova;6/8/2021;"23";"20";"24";"20";"81";"19";"16";"28";"0";"1008";"0";"0";""
Genova;7/8/2021;"24";"24";"25";"22";"89";"21";"22";"37";"0";"1008";"0";"0";""
Genova;8/8/2021;"24";"24";"25";"22";"87";"19";"23";"33";"0";"1011";"0";"0";""
Genova;9/8/2021;"24";"20";"26";"19";"72";"20";"7";"24";"0";"1017";"0";"0";""
Genova;10/8/2021;"26";"23";"29";"15";"52";"21";"6";"11";"0";"1016";"0";"0";""
Genova;11/8/2021;"26";"24";"28";"21";"71";"21";"7";"21";"0";"1016";"0";"0";""
Genova;12/8/2021;"27";"23";"31";"22";"74";"19";"7";"24";"0";"1017";"0";"0";""
Genova;13/8/2021;"29";"27";"32";"22";"67";"20";"12";"28";"0";"1019";"0";"0";""
Genova;14/8/2021;"28";"27";"30";"23";"73";"20";"7";"22";"0";"1018";"0";"0";""
Genova;15/8/2021;"27";"25";"29";"22";"78";"18";"6";"11";"0";"1015";"0";"0";""
Genova;16/8/2021;"26";"24";"27";"23";"84";"19";"16";"30";"0";"1010";"0";"0";"pioggia "
Genova;17/8/2021;"26";"23";"33";"15";"56";"21";"13";"26";"0";"1010";"0";"0";""
Genova;18/8/2021;"27";"24";"32";"15";"48";"20";"14";"26";"0";"1011";"0";"0";""
Genova;19/8/2021;"26";"24";"29";"18";"63";"21";"10";"21";"0";"1013";"0";"0";""
Genova;20/8/2021;"25";"23";"26";"19";"71";"20";"9";"15";"0";"1014";"0";"0";""
Genova;21/8/2021;"25";"22";"26";"20";"76";"19";"6";"11";"0";"1018";"0";"0";""
Genova;22/8/2021;"24";"22";"26";"21";"82";"20";"12";"24";"0";"1017";"0";"0";"pioggia "
Genova;23/8/2021;"25";"24";"26";"23";"88";"18";"12";"26";"0";"1013";"0";"0";"pioggia "
Genova;24/8/2021;"26";"22";"30";"16";"57";"20";"16";"28";"0";"1013";"0";"0";""
Genova;25/8/2021;"26";"23";"31";"14";"49";"22";"15";"24";"0";"1013";"0";"0";""
Genova;26/8/2021;"24";"23";"26";"17";"65";"20";"13";"26";"0";"1010";"0";"0";""
Genova;27/8/2021;"25";"23";"28";"18";"67";"21";"14";"26";"0";"1007";"0";"0";""
Genova;28/8/2021;"24";"20";"29";"12";"50";"20";"18";"28";"0";"1010";"0";"0";""
Genova;29/8/2021;"23";"20";"25";"13";"52";"19";"12";"22";"0";"1011";"0";"0";""
Genova;30/8/2021;"22";"20";"24";"17";"72";"22";"12";"30";"0";"1013";"0";"0";"pioggia temporale "
Genova;31/8/2021;"23";"21";"24";"17";"73";"20";"7";"11";"0";"1016";"0";"0";"pioggia "
