LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/4/2021;"15";"12";"16";"11";"80";"16";"6";"13";"0";"1019";"0";"0";"nebbia "
Genova;2/4/2021;"14";"12";"16";"12";"85";"19";"6";"9";"0";"1015";"0";"0";""
Genova;3/4/2021;"15";"12";"16";"11";"79";"20";"6";"17";"0";"1010";"0";"0";"pioggia temporale "
Genova;4/4/2021;"14";"11";"19";"6";"58";"21";"15";"28";"0";"1015";"0";"0";""
Genova;5/4/2021;"13";"10";"14";"6";"66";"20";"13";"31";"0";"1013";"0";"0";""
Genova;6/4/2021;"14";"10";"18";"9";"46";"21";"19";"39";"0";"1002";"0";"0";""
Genova;7/4/2021;"9";"6";"13";"0";"31";"21";"21";"39";"0";"1015";"0";"0";""
Genova;8/4/2021;"11";"6";"13";"5";"47";"21";"15";"30";"0";"1024";"0";"0";""
Genova;9/4/2021;"13";"12";"14";"6";"61";"20";"18";"24";"0";"1026";"0";"0";""
Genova;10/4/2021;"12";"10";"15";"8";"77";"16";"15";"31";"0";"1021";"0";"0";"pioggia "
Genova;11/4/2021;"11";"9";"14";"7";"78";"15";"21";"31";"0";"1016";"0";"0";"pioggia "
Genova;12/4/2021;"12";"11";"14";"9";"81";"19";"13";"24";"0";"1015";"0";"0";"pioggia "
Genova;13/4/2021;"13";"8";"17";"3";"44";"21";"14";"31";"0";"1017";"0";"0";""
Genova;14/4/2021;"11";"7";"13";"4";"58";"19";"9";"18";"0";"1021";"0";"0";"pioggia "
Genova;15/4/2021;"11";"9";"13";"4";"61";"21";"12";"26";"0";"1019";"0";"0";""
Genova;16/4/2021;"10";"8";"14";"3";"61";"20";"22";"31";"0";"1017";"0";"0";"pioggia "
Genova;17/4/2021;"14";"9";"19";"1";"42";"18";"20";"30";"0";"1014";"0";"0";""
Genova;18/4/2021;"13";"11";"17";"3";"48";"21";"12";"24";"0";"1015";"0";"0";"pioggia "
Genova;19/4/2021;"13";"10";"15";"4";"58";"21";"12";"21";"0";"1015";"0";"0";""
Genova;20/4/2021;"13";"9";"14";"7";"70";"20";"10";"15";"0";"1016";"0";"0";""
Genova;21/4/2021;"14";"12";"15";"9";"76";"19";"12";"21";"0";"1018";"0";"0";""
Genova;22/4/2021;"14";"10";"16";"7";"65";"20";"7";"13";"0";"1018";"0";"0";""
Genova;23/4/2021;"15";"11";"19";"9";"64";"22";"8";"21";"0";"1020";"0";"0";""
Genova;24/4/2021;"16";"14";"18";"8";"59";"20";"6";"11";"0";"1021";"0";"0";""
Genova;25/4/2021;"15";"12";"17";"9";"68";"20";"6";"17";"0";"1017";"0";"0";""
Genova;26/4/2021;"16";"13";"19";"7";"58";"18";"9";"26";"0";"1013";"0";"0";""
Genova;27/4/2021;"15";"13";"17";"9";"70";"21";"19";"26";"0";"1007";"0";"0";"pioggia "
Genova;28/4/2021;"15";"14";"18";"11";"75";"21";"17";"28";"0";"1007";"0";"0";"pioggia "
Genova;29/4/2021;"15";"14";"16";"13";"91";"17";"16";"31";"0";"1009";"0";"0";"pioggia "
Genova;30/4/2021;"15";"14";"16";"14";"92";"19";"9";"17";"0";"1011";"0";"0";"pioggia "
