LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/12/2021;"13";"11";"15";"7";"66";"19";"19";"39";"0";"1010";"0";"0";"pioggia "
Genova;2/12/2021;"9";"8";"11";"3";"66";"20";"22";"28";"0";"999";"0";"0";""
Genova;3/12/2021;"10";"8";"12";"2";"45";"20";"20";"39";"0";"1008";"0";"0";""
Genova;4/12/2021;"9";"8";"12";"2";"58";"22";"17";"26";"0";"1008";"0";"0";""
Genova;5/12/2021;"10";"7";"14";"0";"39";"21";"14";"28";"0";"1001";"0";"0";""
Genova;6/12/2021;"8";"5";"12";"0";"45";"19";"17";"26";"0";"1008";"0";"0";""
Genova;7/12/2021;"10";"6";"14";"4";"41";"21";"13";"26";"0";"1011";"0";"0";""
Genova;8/12/2021;"5";"2";"13";"3";"84";"14";"27";"46";"0";"1003";"0";"0";"pioggia "
Genova;9/12/2021;"7";"4";"11";"1";"58";"19";"10";"17";"0";"1001";"0";"0";""
Genova;10/12/2021;"6";"3";"12";"3";"71";"21";"19";"31";"0";"1000";"0";"0";"pioggia "
Genova;11/12/2021;"9";"5";"13";"1";"43";"19";"12";"17";"0";"1008";"0";"0";""
Genova;12/12/2021;"10";"6";"16";"0";"35";"19";"7";"21";"0";"1021";"0";"0";""
Genova;13/12/2021;"11";"7";"14";"7";"74";"20";"5";"15";"0";"1025";"0";"0";""
Genova;14/12/2021;"11";"8";"14";"7";"77";"21";"5";"11";"0";"1025";"0";"0";""
Genova;15/12/2021;"11";"7";"14";"2";"53";"18";"20";"35";"0";"1026";"0";"0";""
Genova;16/12/2021;"11";"8";"15";"4";"56";"20";"18";"37";"0";"1028";"0";"0";""
Genova;17/12/2021;"11";"7";"16";"6";"71";"20";"18";"42";"0";"1029";"0";"0";""
Genova;18/12/2021;"10";"7";"12";"3";"60";"18";"18";"30";"0";"1030";"0";"0";""
Genova;19/12/2021;"11";"6";"14";"7";"71";"20";"5";"13";"0";"1024";"0";"0";""
Genova;20/12/2021;"13";"10";"14";"8";"73";"20";"10";"21";"0";"1018";"0";"0";""
Genova;21/12/2021;"8";"6";"11";"3";"69";"19";"25";"31";"0";"1021";"0";"0";""
Genova;22/12/2021;"9";"7";"12";"2";"60";"20";"24";"28";"0";"1023";"0";"0";""
Genova;23/12/2021;"9";"6";"14";"4";"65";"21";"20";"30";"0";"1022";"0";"0";""
Genova;24/12/2021;"14";"13";"14";"12";"92";"20";"19";"24";"0";"1012";"0";"0";"pioggia "
Genova;25/12/2021;"10";"8";"14";"9";"91";"18";"17";"30";"0";"1007";"0";"0";"pioggia "
Genova;26/12/2021;"11";"9";"13";"6";"75";"19";"17";"26";"0";"1006";"0";"0";"pioggia "
Genova;27/12/2021;"10";"9";"11";"8";"84";"18";"15";"28";"0";"1007";"0";"0";"pioggia "
Genova;28/12/2021;"10";"9";"12";"7";"80";"17";"15";"30";"0";"1008";"0";"0";""
Genova;29/12/2021;"12";"9";"15";"10";"91";"20";"6";"17";"0";"1010";"0";"0";""
Genova;30/12/2021;"11";"9";"16";"10";"91";"23";"4";"8";"0";"1018";"0";"0";""
Genova;31/12/2021;"12";"8";"14";"11";"97";"21";"3";"8";"0";"1025";"0";"0";""
