LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/2/2021;"10";"8";"13";"6";"76";"20";"18";"30";"0";"998";"0";"0";"pioggia "
Genova;2/2/2021;"11";"8";"13";"7";"75";"20";"14";"28";"0";"1010";"0";"0";""
Genova;3/2/2021;"13";"11";"14";"11";"91";"17";"13";"30";"0";"1013";"0";"0";"pioggia "
Genova;4/2/2021;"13";"12";"14";"12";"93";"13";"12";"18";"0";"1016";"0";"0";"pioggia "
Genova;5/2/2021;"13";"12";"14";"9";"77";"21";"16";"26";"0";"1016";"0";"0";""
Genova;6/2/2021;"12";"11";"13";"7";"74";"19";"25";"35";"0";"1011";"0";"0";""
Genova;7/2/2021;"11";"9";"13";"8";"80";"18";"23";"37";"0";"997";"0";"0";"pioggia temporale "
Genova;8/2/2021;"11";"6";"13";"6";"72";"20";"19";"31";"0";"994";"0";"0";"pioggia "
Genova;9/2/2021;"12";"9";"14";"8";"77";"21";"21";"44";"0";"999";"0";"0";"pioggia "
Genova;10/2/2021;"10";"8";"13";"7";"78";"18";"15";"28";"0";"999";"0";"0";"pioggia "
Genova;11/2/2021;"10";"6";"14";"6";"75";"22";"8";"18";"0";"1010";"0";"0";""
Genova;12/2/2021;"7";"4";"9";"3";"67";"19";"22";"30";"0";"1019";"0";"0";""
Genova;13/2/2021;"3";"1";"6";"0";"48";"19";"22";"35";"0";"1026";"0";"0";""
Genova;14/2/2021;"3";"0";"8";"0";"35";"21";"17";"28";"0";"1037";"0";"0";""
Genova;15/2/2021;"7";"1";"9";"0";"44";"22";"12";"21";"0";"1037";"0";"0";""
Genova;16/2/2021;"10";"8";"12";"8";"82";"15";"25";"31";"0";"1027";"0";"0";"pioggia "
Genova;17/2/2021;"12";"11";"13";"11";"90";"18";"13";"26";"0";"1022";"0";"0";"pioggia "
Genova;18/2/2021;"12";"10";"13";"10";"85";"20";"13";"24";"0";"1023";"0";"0";"pioggia "
Genova;19/2/2021;"13";"12";"14";"10";"84";"20";"20";"39";"0";"1023";"0";"0";"pioggia "
Genova;20/2/2021;"13";"12";"14";"10";"83";"20";"14";"26";"0";"1025";"0";"0";""
Genova;21/2/2021;"13";"10";"16";"7";"70";"18";"17";"31";"0";"1025";"0";"0";""
Genova;22/2/2021;"12";"11";"15";"7";"68";"16";"26";"35";"0";"1029";"0";"0";""
Genova;23/2/2021;"13";"11";"15";"7";"66";"20";"8";"22";"0";"1035";"0";"0";""
Genova;24/2/2021;"13";"10";"16";"9";"82";"14";"7";"18";"0";"1034";"0";"0";"nebbia "
Genova;25/2/2021;"12";"10";"16";"9";"86";"13";"7";"18";"0";"1031";"0";"0";"nebbia "
Genova;26/2/2021;"10";"8";"12";"9";"91";"4";"5";"8";"0";"1028";"0";"0";"nebbia "
Genova;27/2/2021;"12";"10";"16";"7";"73";"14";"8";"21";"0";"1024";"0";"0";""
Genova;28/2/2021;"14";"11";"17";"2";"44";"21";"22";"37";"0";"1028";"0";"0";""
