LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/1/2021;"4";"3";"7";"2";"80";"16";"25";"37";"0";"1007";"0";"0";"pioggia "
Genova;2/1/2021;"4";"3";"5";"2";"83";"17";"31";"37";"0";"1003";"0";"0";"pioggia neve "
Genova;3/1/2021;"7";"5";"10";"5";"84";"16";"12";"28";"0";"1007";"0";"0";"pioggia "
Genova;4/1/2021;"6";"6";"7";"4";"83";"18";"14";"26";"0";"1009";"0";"0";"pioggia "
Genova;5/1/2021;"5";"4";"7";"2";"82";"21";"20";"31";"0";"1006";"0";"0";"pioggia "
Genova;6/1/2021;"6";"4";"9";"2";"80";"19";"15";"24";"0";"1009";"0";"0";"pioggia "
Genova;7/1/2021;"6";"5";"7";"1";"71";"21";"21";"30";"0";"1013";"0";"0";"pioggia "
Genova;8/1/2021;"5";"4";"7";"1";"62";"19";"25";"35";"0";"1012";"0";"0";""
Genova;9/1/2021;"5";"3";"6";"0";"56";"20";"30";"35";"0";"1015";"0";"0";""
Genova;10/1/2021;"6";"5";"7";"0";"46";"20";"22";"31";"0";"1014";"0";"0";""
Genova;11/1/2021;"3";"1";"7";"0";"58";"20";"25";"35";"0";"1017";"0";"0";""
Genova;12/1/2021;"6";"2";"10";"2";"56";"20";"15";"33";"0";"1016";"0";"0";""
Genova;13/1/2021;"8";"5";"13";"4";"77";"20";"5";"11";"0";"1014";"0";"0";""
Genova;14/1/2021;;;;;;;;;;;;;
Genova;15/1/2021;"6";"5";"8";"1";"66";"14";"22";"42";"0";"1015";"0";"0";""
Genova;16/1/2021;"6";"3";"10";"1";"59";"20";"19";"33";"0";"1020";"0";"0";""
Genova;17/1/2021;"9";"6";"11";"4";"73";"20";"14";"35";"0";"1014";"0";"0";"pioggia "
Genova;18/1/2021;"8";"6";"11";"4";"63";"19";"12";"33";"0";"1022";"0";"0";""
Genova;19/1/2021;"10";"6";"12";"6";"75";"21";"19";"39";"0";"1023";"0";"0";"pioggia "
Genova;20/1/2021;"10";"8";"13";"6";"78";"14";"12";"31";"0";"1019";"0";"0";"pioggia "
Genova;21/1/2021;"7";"6";"9";"4";"82";"17";"19";"35";"0";"1013";"0";"0";"pioggia "
Genova;22/1/2021;"10";"5";"13";"9";"92";"7";"12";"33";"0";"999";"0";"0";"pioggia "
Genova;23/1/2021;"8";"5";"12";"4";"74";"20";"15";"31";"0";"994";"0";"0";"pioggia "
Genova;24/1/2021;"8";"6";"12";"4";"57";"19";"14";"28";"0";"998";"0";"0";""
Genova;25/1/2021;"9";"5";"12";"1";"38";"20";"17";"35";"0";"1002";"0";"0";""
Genova;26/1/2021;"8";"4";"12";"0";"29";"20";"12";"26";"0";"1016";"0";"0";""
Genova;27/1/2021;"8";"5";"12";"2";"39";"19";"11";"21";"0";"1016";"0";"0";""
Genova;28/1/2021;"9";"4";"12";"6";"74";"19";"14";"30";"0";"1014";"0";"0";""
Genova;29/1/2021;"11";"8";"14";"9";"85";"20";"6";"13";"0";"1006";"0";"0";""
Genova;30/1/2021;"10";"7";"13";"8";"82";"16";"18";"46";"0";"1000";"0";"0";"pioggia "
Genova;31/1/2021;"10";"8";"13";"5";"73";"19";"18";"31";"0";"995";"0";"0";""
