LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/6/2021;"19";"16";"21";"11";"62";"20";"6";"17";"0";"1016";"0";"0";""
Genova;2/6/2021;"20";"17";"21";"13";"66";"20";"6";"13";"0";"1019";"0";"0";""
Genova;3/6/2021;"20";"18";"22";"13";"62";"21";"7";"11";"0";"1022";"0";"0";""
Genova;4/6/2021;"21";"18";"22";"11";"56";"21";"6";"11";"0";"1023";"0";"0";""
Genova;5/6/2021;"20";"20";"21";"17";"83";"19";"17";"37";"0";"1021";"0";"0";"pioggia "
Genova;6/6/2021;"21";"20";"22";"18";"87";"19";"7";"18";"0";"1017";"0";"0";""
Genova;7/6/2021;"21";"19";"23";"17";"78";"20";"8";"17";"0";"1017";"0";"0";""
Genova;8/6/2021;"22";"20";"26";"18";"77";"20";"14";"22";"0";"1017";"0";"0";"pioggia temporale "
Genova;9/6/2021;"23";"20";"28";"17";"70";"19";"16";"28";"0";"1016";"0";"0";"pioggia temporale "
Genova;10/6/2021;"23";"21";"26";"18";"73";"20";"11";"24";"0";"1016";"0";"0";"pioggia temporale "
Genova;11/6/2021;"22";"19";"24";"18";"80";"20";"6";"13";"0";"1016";"0";"0";"pioggia temporale "
Genova;12/6/2021;"23";"20";"24";"19";"80";"21";"6";"11";"0";"1018";"0";"0";""
Genova;13/6/2021;"23";"20";"24";"19";"82";"20";"5";"9";"0";"1018";"0";"0";""
Genova;14/6/2021;"23";"21";"25";"22";"92";"18";"6";"13";"0";"1016";"0";"0";""
Genova;15/6/2021;"25";"22";"26";"21";"84";"16";"6";"11";"0";"1016";"0";"0";""
Genova;16/6/2021;"24";"23";"26";"21";"82";"20";"6";"11";"0";"1016";"0";"0";""
Genova;17/6/2021;"25";"23";"26";"19";"71";"21";"6";"11";"0";"1016";"0";"0";""
Genova;18/6/2021;"24";"22";"26";"17";"62";"19";"6";"15";"0";"1017";"0";"0";""
Genova;19/6/2021;"24";"21";"25";"17";"65";"19";"6";"11";"0";"1017";"0";"0";""
Genova;20/6/2021;"24";"22";"27";"20";"76";"21";"13";"37";"0";"1012";"0";"0";""
Genova;21/6/2021;"24";"23";"25";"23";"95";"18";"17";"31";"0";"1010";"0";"0";""
Genova;22/6/2021;"24";"23";"24";"21";"86";"21";"13";"22";"0";"1012";"0";"0";""
Genova;23/6/2021;"24";"22";"29";"20";"79";"20";"10";"18";"0";"1014";"0";"0";""
Genova;24/6/2021;"23";"21";"25";"17";"70";"19";"12";"21";"0";"1016";"0";"0";""
Genova;25/6/2021;"23";"22";"24";"19";"75";"20";"17";"28";"0";"1016";"0";"0";""
Genova;26/6/2021;"23";"20";"24";"18";"75";"21";"7";"9";"0";"1016";"0";"0";""
Genova;27/6/2021;"24";"20";"26";"16";"64";"20";"6";"11";"0";"1015";"0";"0";""
Genova;28/6/2021;"26";"23";"30";"17";"60";"18";"8";"15";"0";"1013";"0";"0";""
Genova;29/6/2021;"24";"23";"24";"20";"81";"21";"20";"37";"0";"1012";"0";"0";""
Genova;30/6/2021;"23";"23";"24";"17";"71";"20";"28";"42";"0";"1010";"0";"0";""
