LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/7/2021;"23";"20";"24";"18";"74";"19";"8";"15";"0";"1012";"0";"0";""
Genova;2/7/2021;"23";"21";"24";"19";"78";"20";"8";"15";"0";"1014";"0";"0";""
Genova;3/7/2021;"23";"22";"25";"20";"82";"20";"8";"18";"0";"1014";"0";"0";"pioggia "
Genova;4/7/2021;"23";"22";"23";"21";"91";"18";"7";"13";"0";"1011";"0";"0";"pioggia "
Genova;5/7/2021;"23";"20";"26";"20";"83";"19";"8";"21";"0";"1011";"0";"0";""
Genova;6/7/2021;"24";"21";"25";"20";"81";"19";"7";"15";"0";"1013";"0";"0";""
Genova;7/7/2021;"25";"22";"26";"21";"79";"20";"11";"30";"0";"1013";"0";"0";""
Genova;8/7/2021;"24";"23";"26";"21";"81";"20";"14";"33";"0";"1015";"0";"0";"pioggia "
Genova;9/7/2021;"23";"20";"25";"16";"66";"20";"10";"21";"0";"1017";"0";"0";""
Genova;10/7/2021;"23";"19";"24";"18";"76";"20";"7";"9";"0";"1016";"0";"0";""
Genova;11/7/2021;"23";"21";"25";"20";"80";"20";"8";"15";"0";"1013";"0";"0";""
Genova;12/7/2021;"24";"22";"26";"19";"75";"19";"9";"18";"0";"1013";"0";"0";""
Genova;13/7/2021;"24";"22";"27";"20";"78";"17";"22";"42";"0";"1006";"0";"0";""
Genova;14/7/2021;"22";"19";"23";"14";"61";"19";"16";"28";"0";"1011";"0";"0";""
Genova;15/7/2021;"22";"21";"23";"17";"73";"21";"14";"31";"0";"1013";"0";"0";""
Genova;16/7/2021;"22";"20";"23";"16";"70";"20";"8";"18";"0";"1013";"0";"0";"pioggia temporale "
Genova;17/7/2021;"25";"22";"27";"17";"65";"21";"13";"26";"0";"1012";"0";"0";""
Genova;18/7/2021;"27";"24";"34";"18";"59";"19";"12";"22";"0";"1009";"0";"0";""
Genova;19/7/2021;"28";"26";"30";"18";"57";"21";"7";"17";"0";"1011";"0";"0";""
Genova;20/7/2021;"26";"23";"27";"19";"68";"19";"5";"13";"0";"1013";"0";"0";""
Genova;21/7/2021;"25";"23";"26";"20";"77";"18";"6";"11";"0";"1017";"0";"0";""
Genova;22/7/2021;"25";"22";"26";"22";"87";"20";"7";"13";"0";"1017";"0";"0";""
Genova;23/7/2021;"25";"24";"26";"22";"85";"20";"7";"11";"0";"1015";"0";"0";""
Genova;24/7/2021;"25";"24";"27";"22";"84";"23";"8";"21";"0";"1012";"0";"0";""
Genova;25/7/2021;"26";"26";"27";"24";"86";"19";"25";"39";"0";"1009";"0";"0";""
Genova;26/7/2021;"26";"25";"27";"25";"96";"11";"10";"22";"0";"1011";"0";"0";"pioggia temporale "
Genova;27/7/2021;"26";"25";"26";"24";"93";"15";"19";"33";"0";"1014";"0";"0";"pioggia temporale "
Genova;28/7/2021;"25";"24";"26";"25";"97";"20";"15";"37";"0";"1014";"0";"0";"pioggia "
Genova;29/7/2021;"25";"23";"26";"23";"87";"19";"6";"9";"0";"1013";"0";"0";""
Genova;30/7/2021;"25";"23";"26";"23";"88";"20";"9";"18";"0";"1012";"0";"0";""
Genova;31/7/2021;"25";"23";"26";"23";"86";"20";"10";"17";"0";"1009";"0";"0";""
