LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/5/2021;"15";"12";"17";"13";"87";"20";"7";"17";"0";"1007";"0";"0";"pioggia "
Genova;2/5/2021;"15";"14";"16";"12";"80";"19";"26";"39";"0";"1010";"0";"0";"pioggia "
Genova;3/5/2021;"15";"11";"17";"10";"71";"19";"13";"28";"0";"1019";"0";"0";""
Genova;4/5/2021;"14";"11";"15";"9";"73";"20";"9";"17";"0";"1017";"0";"0";""
Genova;5/5/2021;"16";"15";"18";"13";"84";"19";"30";"39";"0";"1009";"0";"0";"pioggia "
Genova;6/5/2021;"15";"13";"17";"12";"82";"17";"25";"42";"0";"1011";"0";"0";"pioggia "
Genova;7/5/2021;"17";"16";"17";"14";"86";"17";"26";"35";"0";"1009";"0";"0";""
Genova;8/5/2021;"17";"13";"20";"12";"72";"20";"9";"21";"0";"1017";"0";"0";""
Genova;9/5/2021;"18";"14";"21";"12";"68";"21";"7";"21";"0";"1018";"0";"0";""
Genova;10/5/2021;"18";"16";"20";"12";"69";"19";"11";"37";"0";"1015";"0";"0";"pioggia "
Genova;11/5/2021;"16";"15";"18";"15";"93";"11";"26";"44";"0";"1010";"0";"0";"pioggia temporale "
Genova;12/5/2021;"16";"12";"18";"12";"77";"21";"15";"39";"0";"1009";"0";"0";"pioggia "
Genova;13/5/2021;"16";"14";"17";"12";"77";"19";"12";"30";"0";"1006";"0";"0";"pioggia "
Genova;14/5/2021;"14";"12";"16";"11";"81";"17";"14";"30";"0";"1008";"0";"0";"pioggia temporale "
Genova;15/5/2021;"14";"11";"17";"11";"83";"19";"15";"35";"0";"1011";"0";"0";""
Genova;16/5/2021;"16";"16";"17";"15";"93";"9";"27";"37";"0";"1007";"0";"0";"pioggia "
Genova;17/5/2021;"17";"14";"18";"14";"84";"18";"12";"33";"0";"1008";"0";"0";""
Genova;18/5/2021;"15";"12";"17";"11";"76";"20";"14";"39";"0";"1013";"0";"0";"pioggia "
Genova;19/5/2021;"17";"13";"20";"11";"69";"19";"13";"28";"0";"1012";"0";"0";""
Genova;20/5/2021;"17";"12";"23";"10";"64";"20";"11";"31";"0";"1018";"0";"0";""
Genova;21/5/2021;"16";"14";"17";"13";"80";"20";"20";"31";"0";"1018";"0";"0";""
Genova;22/5/2021;"17";"16";"18";"15";"85";"21";"24";"33";"0";"1013";"0";"0";""
Genova;23/5/2021;"17";"16";"18";"15";"86";"16";"16";"28";"0";"1015";"0";"0";""
Genova;24/5/2021;"15";"14";"16";"13";"86";"14";"11";"22";"0";"1015";"0";"0";"pioggia "
Genova;25/5/2021;"17";"14";"18";"14";"83";"20";"14";"26";"0";"1018";"0";"0";"pioggia "
Genova;26/5/2021;"16";"14";"18";"12";"76";"21";"8";"21";"0";"1019";"0";"0";""
Genova;27/5/2021;"17";"14";"18";"13";"81";"20";"7";"13";"0";"1016";"0";"0";""
Genova;28/5/2021;"17";"14";"20";"14";"79";"21";"7";"11";"0";"1017";"0";"0";""
Genova;29/5/2021;"18";"15";"20";"15";"80";"21";"6";"9";"0";"1016";"0";"0";""
Genova;30/5/2021;"21";"18";"26";"14";"68";"21";"12";"22";"0";"1017";"0";"0";""
Genova;31/5/2021;"19";"17";"21";"10";"57";"21";"6";"15";"0";"1018";"0";"0";""
