LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/3/2021;"13";"9";"17";"4";"39";"21";"21";"30";"0";"1029";"0";"0";""
Genova;2/3/2021;"13";"10";"19";"6";"48";"19";"20";"33";"0";"1031";"0";"0";""
Genova;3/3/2021;"13";"9";"14";"6";"62";"20";"8";"22";"0";"1031";"0";"0";""
Genova;4/3/2021;"12";"9";"13";"8";"78";"19";"16";"26";"0";"1023";"0";"0";"pioggia "
Genova;5/3/2021;"12";"10";"13";"10";"85";"15";"16";"24";"0";"1017";"0";"0";"pioggia "
Genova;6/3/2021;"11";"8";"15";"6";"73";"19";"12";"28";"0";"1024";"0";"0";"pioggia "
Genova;7/3/2021;"10";"7";"14";"3";"60";"20";"18";"28";"0";"1022";"0";"0";""
Genova;8/3/2021;"12";"9";"16";"2";"50";"20";"19";"26";"0";"1015";"0";"0";""
Genova;9/3/2021;"11";"8";"14";"3";"56";"19";"22";"37";"0";"1013";"0";"0";""
Genova;10/3/2021;"13";"8";"18";"4";"49";"21";"15";"26";"0";"1017";"0";"0";""
Genova;11/3/2021;"14";"13";"14";"10";"79";"17";"20";"31";"0";"1018";"0";"0";"pioggia "
Genova;12/3/2021;"13";"10";"15";"10";"81";"18";"19";"35";"0";"1012";"0";"0";""
Genova;13/3/2021;"12";"9";"15";"8";"75";"20";"17";"37";"0";"1013";"0";"0";""
Genova;14/3/2021;"13";"9";"18";"6";"40";"19";"19";"41";"0";"1008";"0";"0";""
Genova;15/3/2021;"12";"6";"14";"5";"46";"19";"10";"18";"0";"1011";"0";"0";""
Genova;16/3/2021;"14";"10";"17";"0";"18";"22";"25";"46";"0";"1015";"0";"0";""
Genova;17/3/2021;"12";"9";"17";"3";"32";"21";"15";"30";"0";"1015";"0";"0";""
Genova;18/3/2021;"9";"7";"13";"3";"47";"20";"17";"37";"0";"1015";"0";"0";"pioggia temporale "
Genova;19/3/2021;"9";"6";"12";"1";"51";"19";"14";"24";"0";"1013";"0";"0";"pioggia "
Genova;20/3/2021;"10";"6";"14";"0";"36";"18";"19";"31";"0";"1016";"0";"0";""
Genova;21/3/2021;"8";"4";"13";"0";"37";"18";"17";"24";"0";"1014";"0";"0";""
Genova;22/3/2021;"11";"7";"16";"2";"39";"20";"17";"31";"0";"1012";"0";"0";""
Genova;23/3/2021;"11";"8";"13";"4";"62";"18";"7";"11";"0";"1021";"0";"0";""
Genova;24/3/2021;"12";"9";"14";"7";"72";"21";"7";"11";"0";"1023";"0";"0";""
Genova;25/3/2021;"13";"12";"14";"8";"73";"19";"9";"17";"0";"1022";"0";"0";""
Genova;26/3/2021;"14";"13";"14";"11";"82";"20";"15";"24";"0";"1024";"0";"0";"pioggia "
Genova;27/3/2021;"14";"12";"14";"11";"84";"17";"14";"22";"0";"1025";"0";"0";"pioggia "
Genova;28/3/2021;"14";"12";"15";"11";"86";"19";"7";"17";"0";"1030";"0";"0";""
Genova;29/3/2021;"13";"10";"16";"10";"78";"20";"5";"11";"0";"1032";"0";"0";""
Genova;30/3/2021;"15";"12";"17";"11";"79";"20";"6";"13";"0";"1029";"0";"0";""
Genova;31/3/2021;"15";"12";"18";"11";"75";"21";"5";"9";"0";"1025";"0";"0";""
