LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/11/2021;"12";"11";"14";"10";"84";"14";"22";"31";"0";"1004";"0";"0";"pioggia "
Genova;2/11/2021;"15";"11";"19";"10";"73";"19";"8";"17";"0";"1002";"0";"0";""
Genova;3/11/2021;"15";"12";"18";"12";"85";"18";"14";"31";"0";"1000";"0";"0";"pioggia "
Genova;4/11/2021;"13";"11";"17";"9";"75";"18";"12";"26";"0";"1004";"0";"0";"pioggia temporale "
Genova;5/11/2021;"13";"10";"16";"5";"60";"19";"24";"31";"0";"1017";"0";"0";""
Genova;6/11/2021;"14";"12";"16";"2";"46";"19";"25";"35";"0";"1021";"0";"0";""
Genova;7/11/2021;"13";"10";"16";"3";"51";"20";"33";"41";"0";"1016";"0";"0";"pioggia "
Genova;8/11/2021;"12";"11";"14";"6";"66";"20";"25";"37";"0";"1014";"0";"0";"pioggia temporale "
Genova;9/11/2021;"14";"12";"16";"6";"60";"19";"23";"30";"0";"1021";"0";"0";"pioggia "
Genova;10/11/2021;"12";"11";"14";"9";"79";"17";"28";"35";"0";"1023";"0";"0";"pioggia "
Genova;11/11/2021;"14";"12";"16";"9";"75";"21";"31";"39";"0";"1021";"0";"0";"pioggia "
Genova;12/11/2021;"17";"15";"20";"11";"68";"21";"15";"28";"0";"1017";"0";"0";""
Genova;13/11/2021;"15";"14";"16";"14";"93";"16";"9";"15";"0";"1016";"0";"0";"pioggia temporale "
Genova;14/11/2021;"13";"12";"14";"12";"91";"20";"16";"26";"0";"1013";"0";"0";"pioggia temporale "
Genova;15/11/2021;"14";"13";"18";"10";"77";"21";"22";"30";"0";"1015";"0";"0";"pioggia "
Genova;16/11/2021;"15";"13";"17";"7";"63";"20";"19";"30";"0";"1017";"0";"0";"pioggia "
Genova;17/11/2021;"13";"12";"14";"9";"76";"20";"28";"33";"0";"1017";"0";"0";"pioggia "
Genova;18/11/2021;"14";"12";"17";"9";"74";"18";"26";"33";"0";"1023";"0";"0";""
Genova;19/11/2021;"14";"12";"18";"9";"73";"21";"13";"28";"0";"1027";"0";"0";""
Genova;20/11/2021;"14";"11";"17";"11";"82";"19";"6";"13";"0";"1023";"0";"0";""
Genova;21/11/2021;"16";"13";"17";"13";"82";"19";"17";"28";"0";"1012";"0";"0";"pioggia "
Genova;22/11/2021;"11";"10";"13";"9";"87";"18";"25";"31";"0";"1011";"0";"0";"pioggia "
Genova;23/11/2021;"13";"11";"16";"6";"66";"19";"20";"30";"0";"1019";"0";"0";""
Genova;24/11/2021;"11";"10";"15";"3";"59";"19";"28";"31";"0";"1018";"0";"0";""
Genova;25/11/2021;"7";"6";"10";"3";"74";"17";"28";"35";"0";"1009";"0";"0";"pioggia "
Genova;26/11/2021;"11";"7";"15";"6";"73";"20";"19";"33";"0";"997";"0";"0";""
Genova;27/11/2021;"13";"8";"15";"7";"68";"21";"18";"41";"0";"992";"0";"0";"pioggia temporale "
Genova;28/11/2021;"9";"7";"13";"5";"60";"20";"13";"21";"0";"992";"0";"0";""
Genova;29/11/2021;"9";"6";"12";"0";"32";"19";"18";"28";"0";"1002";"0";"0";""
Genova;30/11/2021;"10";"5";"14";"5";"42";"20";"15";"24";"0";"1017";"0";"0";""
