LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/10/2021;"21";"18";"24";"14";"65";"19";"21";"26";"0";"1020";"0";"0";""
Genova;2/10/2021;"22";"18";"25";"15";"66";"20";"13";"26";"0";"1017";"0";"0";""
Genova;3/10/2021;"21";"18";"23";"20";"91";"15";"23";"37";"0";"1016";"0";"0";"pioggia "
Genova;4/10/2021;"23";"20";"24";"21";"89";"17";"39";"52";"0";"1014";"0";"0";"pioggia temporale "
Genova;5/10/2021;"21";"18";"22";"17";"79";"17";"25";"39";"0";"1012";"0";"0";"pioggia "
Genova;6/10/2021;"19";"17";"22";"11";"62";"18";"18";"30";"0";"1012";"0";"0";"pioggia "
Genova;7/10/2021;"18";"15";"23";"5";"41";"20";"17";"26";"0";"1015";"0";"0";""
Genova;8/10/2021;"19";"17";"22";"8";"48";"19";"13";"21";"0";"1018";"0";"0";""
Genova;9/10/2021;"18";"16";"22";"7";"48";"18";"16";"26";"0";"1020";"0";"0";""
Genova;10/10/2021;"16";"13";"20";"5";"47";"21";"18";"26";"0";"1020";"0";"0";""
Genova;11/10/2021;"17";"14";"21";"7";"52";"20";"16";"28";"0";"1018";"0";"0";""
Genova;12/10/2021;"17";"14";"20";"11";"66";"19";"9";"18";"0";"1015";"0";"0";""
Genova;13/10/2021;"18";"14";"22";"7";"52";"20";"18";"30";"0";"1015";"0";"0";""
Genova;14/10/2021;"16";"13";"20";"5";"49";"21";"14";"24";"0";"1022";"0";"0";""
Genova;15/10/2021;"16";"13";"20";"5";"48";"18";"15";"22";"0";"1018";"0";"0";""
Genova;16/10/2021;"17";"13";"22";"6";"49";"20";"19";"31";"0";"1017";"0";"0";""
Genova;17/10/2021;"17";"14";"20";"8";"58";"18";"16";"26";"0";"1019";"0";"0";""
Genova;18/10/2021;"16";"13";"20";"10";"68";"20";"7";"13";"0";"1023";"0";"0";""
Genova;19/10/2021;"18";"13";"20";"13";"74";"21";"7";"13";"0";"1027";"0";"0";""
Genova;20/10/2021;"20";"18";"20";"15";"76";"18";"24";"33";"0";"1024";"0";"0";"pioggia "
Genova;21/10/2021;"20";"19";"21";"17";"84";"17";"23";"39";"0";"1014";"0";"0";"pioggia "
Genova;22/10/2021;"18";"16";"20";"14";"78";"20";"15";"28";"0";"1014";"0";"0";""
Genova;23/10/2021;"16";"15";"18";"11";"73";"20";"25";"33";"0";"1020";"0";"0";""
Genova;24/10/2021;"16";"14";"20";"8";"61";"20";"25";"33";"0";"1024";"0";"0";""
Genova;25/10/2021;"15";"13";"19";"4";"49";"20";"23";"30";"0";"1021";"0";"0";""
Genova;26/10/2021;"14";"11";"19";"5";"55";"19";"27";"35";"0";"1020";"0";"0";""
Genova;27/10/2021;"16";"12";"20";"6";"51";"18";"28";"33";"0";"1023";"0";"0";""
Genova;28/10/2021;"16";"14";"20";"5";"49";"21";"25";"33";"0";"1021";"0";"0";""
Genova;29/10/2021;"16";"13";"19";"7";"55";"20";"23";"30";"0";"1017";"0";"0";""
Genova;30/10/2021;"13";"12";"15";"8";"72";"13";"25";"31";"0";"1017";"0";"0";"pioggia "
Genova;31/10/2021;"13";"12";"14";"9";"80";"19";"28";"35";"0";"1016";"0";"0";"pioggia "
