LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Genova;1/9/2021;"23";"20";"26";"17";"67";"20";"9";"21";"0";"1019";"0";"0";""
Genova;2/9/2021;"25";"22";"27";"15";"56";"20";"10";"18";"0";"1020";"0";"0";""
Genova;3/9/2021;"25";"23";"28";"14";"53";"19";"13";"21";"0";"1018";"0";"0";""
Genova;4/9/2021;"24";"21";"29";"14";"54";"19";"15";"28";"0";"1014";"0";"0";""
Genova;5/9/2021;"24";"22";"27";"15";"57";"21";"12";"21";"0";"1016";"0";"0";""
Genova;6/9/2021;"26";"23";"29";"15";"51";"21";"14";"26";"0";"1020";"0";"0";""
Genova;7/9/2021;"25";"22";"28";"15";"56";"19";"10";"21";"0";"1021";"0";"0";""
Genova;8/9/2021;"24";"22";"26";"15";"58";"19";"10";"24";"0";"1018";"0";"0";""
Genova;9/9/2021;"24";"23";"25";"15";"56";"20";"12";"22";"0";"1016";"0";"0";""
Genova;10/9/2021;"24";"21";"25";"15";"57";"21";"6";"13";"0";"1016";"0";"0";""
Genova;11/9/2021;"24";"22";"26";"15";"58";"19";"8";"17";"0";"1016";"0";"0";""
Genova;12/9/2021;"23";"21";"26";"14";"57";"20";"7";"17";"0";"1015";"0";"0";""
Genova;13/9/2021;"23";"20";"25";"18";"75";"21";"6";"9";"0";"1016";"0";"0";""
Genova;14/9/2021;"24";"22";"25";"22";"89";"19";"10";"17";"0";"1018";"0";"0";""
Genova;15/9/2021;"24";"22";"25";"22";"91";"19";"21";"37";"0";"1017";"0";"0";""
Genova;16/9/2021;"24";"22";"25";"23";"91";"18";"22";"52";"0";"1014";"0";"0";"pioggia temporale "
Genova;17/9/2021;"23";"21";"25";"21";"84";"20";"10";"21";"0";"1011";"0";"0";"pioggia temporale "
Genova;18/9/2021;"23";"22";"25";"20";"82";"19";"14";"26";"0";"1012";"0";"0";"pioggia temporale "
Genova;19/9/2021;"23";"20";"24";"19";"76";"19";"22";"37";"0";"1009";"0";"0";"pioggia "
Genova;20/9/2021;"21";"18";"24";"15";"68";"18";"12";"21";"0";"1012";"0";"0";"pioggia "
Genova;21/9/2021;"22";"18";"26";"13";"58";"19";"21";"30";"0";"1020";"0";"0";""
Genova;22/9/2021;"22";"19";"26";"13";"56";"20";"15";"31";"0";"1021";"0";"0";""
Genova;23/9/2021;"21";"18";"24";"13";"60";"21";"16";"30";"0";"1021";"0";"0";""
Genova;24/9/2021;"22";"18";"24";"17";"76";"20";"11";"21";"0";"1018";"0";"0";""
Genova;25/9/2021;"23";"21";"24";"18";"74";"21";"7";"24";"0";"1020";"0";"0";""
Genova;26/9/2021;"21";"19";"24";"19";"85";"17";"17";"42";"0";"1018";"0";"0";"pioggia temporale "
Genova;27/9/2021;"21";"19";"24";"17";"77";"20";"10";"18";"0";"1017";"0";"0";""
Genova;28/9/2021;"22";"19";"27";"17";"73";"20";"10";"21";"0";"1018";"0";"0";""
Genova;29/9/2021;"21";"19";"23";"19";"84";"19";"6";"17";"0";"1017";"0";"0";""
Genova;30/9/2021;"22";"19";"27";"14";"62";"19";"13";"26";"0";"1020";"0";"0";""
