LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/8/2020;"29";"23";"34";"21";"64";"18";"15";"30";"0";"1012";"0";"0";""
Matera;2/8/2020;"28";"24";"33";"15";"49";"18";"17";"24";"0";"1010";"0";"0";""
Matera;3/8/2020;"26";"20";"32";"19";"68";"17";"22";"39";"0";"1009";"0";"0";""
Matera;4/8/2020;"25";"21";"29";"20";"76";"10";"17";"31";"0";"1007";"0";"0";"pioggia temporale "
Matera;5/8/2020;"21";"16";"27";"12";"60";"20";"11";"28";"0";"1008";"0";"0";"pioggia temporale "
Matera;6/8/2020;"21";"17";"24";"16";"76";"19";"14";"24";"0";"1011";"0";"0";"pioggia temporale "
Matera;7/8/2020;"22";"19";"27";"17";"76";"20";"15";"24";"0";"1013";"0";"0";""
Matera;8/8/2020;"24";"21";"28";"16";"65";"20";"17";"24";"0";"1013";"0";"0";""
Matera;9/8/2020;"25";"21";"29";"16";"60";"19";"19";"28";"0";"1012";"0";"0";""
Matera;10/8/2020;"27";"21";"32";"15";"52";"21";"13";"21";"0";"1014";"0";"0";""
Matera;11/8/2020;"26";"19";"33";"15";"56";"17";"7";"21";"0";"1015";"0";"0";""
Matera;12/8/2020;"26";"18";"34";"13";"50";"19";"8";"18";"0";"1016";"0";"0";""
Matera;13/8/2020;"27";"19";"33";"14";"49";"20";"9";"22";"0";"1016";"0";"0";""
Matera;14/8/2020;"28";"21";"35";"17";"57";"21";"12";"33";"0";"1013";"0";"0";""
Matera;15/8/2020;"27";"22";"33";"17";"56";"20";"13";"26";"0";"1011";"0";"0";""
Matera;16/8/2020;"27";"22";"32";"18";"61";"19";"11";"17";"0";"1012";"0";"0";""
Matera;17/8/2020;"26";"20";"33";"21";"76";"17";"12";"28";"0";"1011";"0";"0";"pioggia temporale "
Matera;18/8/2020;"26";"21";"32";"18";"66";"16";"11";"28";"0";"1010";"0";"0";"pioggia nebbia "
Matera;19/8/2020;"24";"20";"29";"17";"66";"14";"13";"30";"0";"1010";"0";"0";""
Matera;20/8/2020;"24";"17";"30";"12";"54";"21";"14";"26";"0";"1013";"0";"0";""
Matera;21/8/2020;"25";"17";"32";"10";"45";"21";"11";"21";"0";"1016";"0";"0";""
Matera;22/8/2020;"26";"17";"34";"9";"39";"20";"8";"17";"0";"1016";"0";"0";""
Matera;23/8/2020;"27";"19";"34";"13";"44";"19";"8";"18";"0";"1011";"0";"0";""
Matera;24/8/2020;"26";"21";"33";"18";"64";"21";"9";"21";"0";"1011";"0";"0";""
Matera;25/8/2020;"25";"22";"29";"19";"72";"20";"19";"28";"0";"1011";"0";"0";""
Matera;26/8/2020;"27";"22";"30";"10";"35";"22";"13";"21";"0";"1015";"0";"0";""
Matera;27/8/2020;"25";"18";"32";"14";"53";"20";"10";"17";"0";"1013";"0";"0";""
Matera;28/8/2020;"26";"19";"33";"17";"64";"22";"13";"33";"0";"1010";"0";"0";""
Matera;29/8/2020;"26";"21";"31";"20";"75";"17";"23";"33";"0";"1009";"0";"0";""
Matera;30/8/2020;"25";"22";"29";"22";"84";"11";"26";"37";"0";"1012";"0";"0";""
Matera;31/8/2020;"27";"22";"36";"21";"78";"12";"12";"21";"0";"1011";"0";"0";"nebbia "
