LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/4/2020;"5";"2";"8";"2";"69";"11";"25";"39";"0";"1012";"0";"0";"pioggia neve "
Matera;2/4/2020;"6";"2";"10";"2";"62";"19";"12";"21";"0";"1012";"0";"0";""
Matera;3/4/2020;"7";"2";"12";"3";"75";"21";"7";"17";"0";"1011";"0";"0";""
Matera;4/4/2020;"10";"6";"14";"4";"60";"17";"25";"35";"0";"1011";"0";"0";""
Matera;5/4/2020;"11";"8";"14";"6";"71";"16";"18";"28";"0";"1014";"0";"0";""
Matera;6/4/2020;"12";"8";"16";"5";"66";"15";"15";"22";"0";"1021";"0";"0";""
Matera;7/4/2020;"11";"7";"15";"4";"57";"21";"16";"26";"0";"1024";"0";"0";""
Matera;8/4/2020;"11";"5";"16";"7";"66";"14";"13";"22";"0";"1023";"0";"0";"nebbia "
Matera;9/4/2020;"11";"5";"17";"2";"49";"22";"10";"18";"0";"1020";"0";"0";""
Matera;10/4/2020;"12";"3";"19";"0";"39";"19";"12";"24";"0";"1019";"0";"0";""
Matera;11/4/2020;"13";"5";"20";"5";"49";"20";"9";"18";"0";"1020";"0";"0";""
Matera;12/4/2020;"13";"4";"23";"5";"61";"19";"9";"22";"0";"1019";"0";"0";""
Matera;13/4/2020;"13";"6";"20";"7";"71";"17";"17";"30";"0";"1017";"0";"0";""
Matera;14/4/2020;"12";"9";"15";"10";"90";"7";"18";"26";"0";"1010";"0";"0";"pioggia "
Matera;15/4/2020;"8";"4";"11";"4";"62";"15";"28";"39";"0";"1018";"0";"0";""
Matera;16/4/2020;"10";"2";"18";"2";"59";"21";"10";"21";"0";"1021";"0";"0";""
Matera;17/4/2020;"12";"4";"20";"3";"59";"19";"7";"15";"0";"1018";"0";"0";""
Matera;18/4/2020;"13";"4";"23";"4";"58";"20";"7";"18";"0";"1017";"0";"0";""
Matera;19/4/2020;"16";"11";"23";"7";"59";"19";"11";"24";"0";"1013";"0";"0";""
Matera;20/4/2020;"15";"12";"17";"13";"88";"5";"9";"22";"0";"1009";"0";"0";"pioggia "
Matera;21/4/2020;"13";"10";"18";"11";"87";"5";"14";"24";"0";"1007";"0";"0";"pioggia "
Matera;22/4/2020;"12";"11";"13";"12";"98";"3";"9";"22";"0";"1011";"0";"0";"pioggia "
Matera;23/4/2020;"11";"10";"12";"8";"84";"13";"17";"28";"0";"1014";"0";"0";"pioggia "
Matera;24/4/2020;"13";"9";"18";"6";"67";"14";"9";"13";"0";"1014";"0";"0";""
Matera;25/4/2020;"14";"7";"21";"6";"63";"22";"9";"18";"0";"1011";"0";"0";""
Matera;26/4/2020;"14";"8";"21";"8";"70";"18";"9";"18";"0";"1009";"0";"0";""
Matera;27/4/2020;"15";"9";"22";"7";"63";"20";"8";"21";"0";"1012";"0";"0";""
Matera;28/4/2020;"15";"10";"22";"9";"71";"20";"9";"21";"0";"1013";"0";"0";"pioggia "
Matera;29/4/2020;"16";"10";"22";"8";"62";"18";"18";"30";"0";"1011";"0";"0";""
Matera;30/4/2020;"16";"11";"20";"8";"60";"19";"14";"24";"0";"1011";"0";"0";""
