LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/12/2020;"9";"5";"12";"5";"79";"19";"9";"18";"0";"1015";"0";"0";"pioggia "
Matera;2/12/2020;"13";"10";"15";"11";"92";"7";"25";"42";"0";"1011";"0";"0";"nebbia "
Matera;3/12/2020;"14";"12";"16";"13";"92";"5";"27";"42";"0";"1005";"0";"0";"pioggia temporale "
Matera;4/12/2020;"11";"9";"14";"8";"87";"12";"11";"17";"0";"1004";"0";"0";"pioggia "
Matera;5/12/2020;"12";"7";"15";"11";"91";"13";"26";"48";"0";"1009";"0";"0";"pioggia "
Matera;6/12/2020;"13";"10";"16";"12";"92";"7";"39";"67";"0";"1003";"0";"0";"pioggia temporale "
Matera;7/12/2020;"10";"7";"14";"7";"83";"20";"10";"18";"0";"1007";"0";"0";"pioggia "
Matera;8/12/2020;"10";"6";"14";"8";"84";"19";"20";"37";"0";"1006";"0";"0";""
Matera;9/12/2020;"10";"8";"11";"9";"92";"16";"14";"21";"0";"1002";"0";"0";"pioggia "
Matera;10/12/2020;"8";"5";"12";"5";"82";"22";"9";"15";"0";"1005";"0";"0";""
Matera;11/12/2020;"8";"5";"10";"7";"93";"13";"14";"100";"0";"1004";"0";"0";""
Matera;12/12/2020;"9";"5";"12";"7";"88";"13";"4";"9";"0";"999";"0";"0";""
Matera;13/12/2020;"8";"3";"12";"7";"96";"6";"15";"30";"0";"1002";"0";"0";"pioggia "
Matera;14/12/2020;"10";"8";"12";"6";"81";"14";"26";"35";"0";"1011";"0";"0";""
Matera;15/12/2020;"9";"5";"13";"7";"86";"16";"11";"18";"0";"1018";"0";"0";""
Matera;16/12/2020;"6";"2";"13";"5";"94";"6";"4";"13";"0";"1022";"0";"0";"nebbia "
Matera;17/12/2020;"8";"2";"14";"5";"85";"8";"3";"8";"0";"1024";"0";"0";"nebbia "
Matera;18/12/2020;"8";"4";"13";"7";"97";"5";"4";"11";"0";"1025";"0";"0";"nebbia "
Matera;19/12/2020;"10";"7";"13";"8";"91";"8";"5";"11";"0";"1024";"0";"0";"nebbia "
Matera;20/12/2020;"10";"7";"14";"9";"94";"4";"4";"9";"0";"1023";"0";"0";"nebbia "
Matera;21/12/2020;"10";"8";"13";"10";"98";"4";"4";"8";"0";"1024";"0";"0";"nebbia "
Matera;22/12/2020;;;;;;;;;;;;;
Matera;23/12/2020;"10";"4";"15";"6";"81";"8";"5";"11";"0";"1025";"0";"0";""
Matera;24/12/2020;"12";"10";"15";"11";"93";"7";"15";"26";"0";"1019";"0";"0";"nebbia "
Matera;25/12/2020;"12";"10";"15";"10";"88";"19";"16";"24";"0";"1012";"0";"0";"nebbia "
Matera;26/12/2020;"9";"8";"11";"9";"94";"10";"12";"26";"0";"1008";"0";"0";"pioggia "
Matera;27/12/2020;"7";"6";"9";"6";"94";"11";"17";"35";"0";"1003";"0";"0";"pioggia "
Matera;28/12/2020;"9";"6";"13";"5";"78";"16";"28";"50";"0";"1001";"0";"0";""
Matera;29/12/2020;"12";"9";"15";"9";"81";"15";"19";"39";"0";"1005";"0";"0";""
Matera;30/12/2020;"10";"7";"11";"8";"89";"16";"15";"26";"0";"1006";"0";"0";"pioggia "
Matera;31/12/2020;"8";"4";"12";"3";"75";"21";"11";"24";"0";"1009";"0";"0";""
