LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/2/2020;"10";"3";"16";"6";"81";"16";"8";"15";"0";"1019";"0";"0";""
Matera;2/2/2020;"12";"7";"17";"8";"81";"14";"8";"13";"0";"1019";"0";"0";"nebbia "
Matera;3/2/2020;"11";"5";"18";"9";"86";"16";"10";"18";"0";"1017";"0";"0";"nebbia "
Matera;4/2/2020;"11";"7";"17";"8";"83";"9";"26";"48";"0";"1006";"0";"0";"pioggia nebbia "
Matera;5/2/2020;"6";"5";"7";"3";"64";"10";"41";"55";"0";"1002";"0";"0";"pioggia "
Matera;6/2/2020;"5";"3";"7";"0";"54";"14";"34";"57";"0";"1016";"0";"0";""
Matera;7/2/2020;"7";"3";"11";"2";"63";"21";"20";"33";"0";"1023";"0";"0";""
Matera;8/2/2020;"8";"4";"12";"3";"75";"20";"9";"18";"0";"1026";"0";"0";""
Matera;9/2/2020;"7";"1";"13";"4";"81";"17";"9";"18";"0";"1029";"0";"0";""
Matera;10/2/2020;"9";"4";"14";"6";"77";"9";"13";"26";"0";"1022";"0";"0";"nebbia "
Matera;11/2/2020;"13";"7";"20";"6";"65";"19";"22";"42";"0";"1011";"0";"0";""
Matera;12/2/2020;"12";"5";"16";"7";"72";"20";"13";"22";"0";"1015";"0";"0";""
Matera;13/2/2020;"9";"2";"14";"4";"72";"19";"13";"30";"0";"1020";"0";"0";""
Matera;14/2/2020;"10";"8";"12";"8";"88";"6";"22";"37";"0";"1014";"0";"0";"pioggia temporale "
Matera;15/2/2020;"9";"6";"12";"4";"72";"16";"21";"33";"0";"1023";"0";"0";""
Matera;16/2/2020;"8";"3";"13";"3";"77";"19";"6";"13";"0";"1027";"0";"0";""
Matera;17/2/2020;"8";"0";"17";"5";"82";"12";"6";"11";"0";"1025";"0";"0";"nebbia "
Matera;18/2/2020;"8";"2";"14";"3";"71";"18";"11";"24";"0";"1021";"0";"0";""
Matera;19/2/2020;"10";"7";"14";"7";"82";"14";"12";"33";"0";"1017";"0";"0";"pioggia "
Matera;20/2/2020;"8";"6";"10";"4";"70";"17";"28";"37";"0";"1018";"0";"0";""
Matera;21/2/2020;"8";"5";"12";"2";"63";"21";"14";"18";"0";"1022";"0";"0";""
Matera;22/2/2020;"7";"3";"10";"3";"60";"22";"20";"31";"0";"1027";"0";"0";""
Matera;23/2/2020;"9";"2";"17";"4";"55";"22";"8";"15";"0";"1026";"0";"0";""
Matera;24/2/2020;"11";"4";"17";"6";"74";"19";"10";"21";"0";"1019";"0";"0";""
Matera;25/2/2020;"11";"5";"17";"9";"86";"16";"16";"30";"0";"1013";"0";"0";""
Matera;26/2/2020;"11";"9";"16";"7";"62";"13";"23";"42";"0";"1004";"0";"0";""
Matera;27/2/2020;"7";"3";"10";"1";"56";"21";"29";"48";"0";"1009";"0";"0";""
Matera;28/2/2020;"8";"6";"11";"5";"71";"19";"22";"41";"0";"1012";"0";"0";"pioggia "
Matera;29/2/2020;"7";"1";"13";"2";"66";"19";"10";"22";"0";"1018";"0";"0";""
