LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/7/2020;"27";"19";"34";"16";"55";"22";"9";"17";"0";"1012";"0";"0";""
Matera;2/7/2020;"26";"20";"34";"18";"63";"18";"8";"17";"0";"1011";"0";"0";"pioggia "
Matera;3/7/2020;"25";"19";"33";"17";"66";"19";"10";"31";"0";"1010";"0";"0";"pioggia temporale "
Matera;4/7/2020;"22";"19";"27";"17";"78";"14";"15";"28";"0";"1013";"0";"0";"pioggia temporale "
Matera;5/7/2020;"22";"18";"25";"16";"69";"21";"20";"26";"0";"1012";"0";"0";""
Matera;6/7/2020;"23";"19";"28";"16";"63";"22";"17";"24";"0";"1008";"0";"0";""
Matera;7/7/2020;"22";"17";"26";"14";"65";"22";"20";"35";"0";"1009";"0";"0";""
Matera;8/7/2020;"20";"17";"24";"12";"63";"18";"19";"31";"0";"1015";"0";"0";""
Matera;9/7/2020;"21";"15";"27";"8";"47";"19";"12";"21";"0";"1016";"0";"0";""
Matera;10/7/2020;"22";"13";"30";"8";"46";"22";"7";"18";"0";"1015";"0";"0";""
Matera;11/7/2020;"24";"15";"32";"11";"50";"18";"7";"21";"0";"1014";"0";"0";""
Matera;12/7/2020;"23";"17";"29";"14";"59";"21";"19";"37";"0";"1015";"0";"0";""
Matera;13/7/2020;"20";"18";"24";"13";"65";"21";"22";"31";"0";"1015";"0";"0";""
Matera;14/7/2020;"20";"13";"25";"13";"66";"22";"11";"18";"0";"1013";"0";"0";""
Matera;15/7/2020;"21";"15";"27";"15";"74";"19";"16";"33";"0";"1014";"0";"0";"pioggia temporale "
Matera;16/7/2020;"21";"15";"26";"14";"70";"20";"9";"22";"0";"1014";"0";"0";""
Matera;17/7/2020;"21";"17";"28";"15";"73";"16";"10";"22";"0";"1011";"0";"0";"pioggia temporale "
Matera;18/7/2020;"19";"16";"23";"12";"67";"15";"14";"22";"0";"1010";"0";"0";""
Matera;19/7/2020;"19";"15";"23";"13";"68";"20";"15";"22";"0";"1014";"0";"0";""
Matera;20/7/2020;"20";"13";"26";"12";"62";"21";"11";"18";"0";"1016";"0";"0";""
Matera;21/7/2020;"22";"15";"28";"12";"54";"21";"15";"24";"0";"1018";"0";"0";""
Matera;22/7/2020;"24";"18";"29";"14";"54";"21";"15";"26";"0";"1016";"0";"0";""
Matera;23/7/2020;"25";"17";"32";"14";"55";"21";"10";"22";"0";"1013";"0";"0";""
Matera;24/7/2020;"26";"20";"34";"17";"62";"16";"9";"35";"0";"1010";"0";"0";""
Matera;25/7/2020;"24";"20";"29";"19";"76";"21";"13";"26";"0";"1011";"0";"0";""
Matera;26/7/2020;"23";"19";"28";"14";"60";"21";"18";"33";"0";"1014";"0";"0";""
Matera;27/7/2020;"25";"18";"31";"12";"47";"18";"16";"26";"0";"1016";"0";"0";""
Matera;28/7/2020;"27";"19";"33";"11";"40";"21";"11";"18";"0";"1015";"0";"0";""
Matera;29/7/2020;"27";"19";"34";"14";"46";"20";"8";"17";"0";"1015";"0";"0";""
Matera;30/7/2020;"28";"19";"36";"13";"45";"22";"6";"17";"0";"1017";"0";"0";""
Matera;31/7/2020;"30";"21";"36";"17";"48";"22";"7";"21";"0";"1015";"0";"0";""
