LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/1/2021;"8";"2";"12";"5";"83";"20";"15";"30";"0";"1013";"0";"0";""
Matera;2/1/2021;"10";"8";"12";"9";"94";"7";"31";"46";"0";"1011";"0";"0";"pioggia "
Matera;3/1/2021;"8";"4";"13";"6";"86";"13";"10";"26";"0";"1011";"0";"0";"pioggia temporale "
Matera;4/1/2021;"6";"4";"11";"3";"79";"20";"7";"18";"0";"1009";"0";"0";""
Matera;5/1/2021;"7";"2";"11";"4";"78";"18";"15";"26";"0";"1011";"0";"0";""
Matera;6/1/2021;"10";"7";"13";"6";"77";"20";"15";"30";"0";"1012";"0";"0";""
Matera;7/1/2021;"9";"8";"10";"7";"91";"12";"6";"11";"0";"1012";"0";"0";"pioggia nebbia "
Matera;8/1/2021;"9";"8";"9";"9";"100";"0";"3";"5";"0";"1007";"0";"0";"nebbia "
Matera;9/1/2021;"7";"6";"8";"5";"90";"8";"10";"17";"0";"1012";"0";"0";"pioggia "
Matera;10/1/2021;"8";"6";"9";"8";"100";"2";"10";"17";"0";"1009";"0";"0";"pioggia nebbia "
Matera;11/1/2021;"7";"6";"8";"5";"88";"16";"13";"18";"0";"1011";"0";"0";""
Matera;12/1/2021;"6";"4";"8";"4";"84";"13";"14";"24";"0";"1011";"0";"0";""
Matera;13/1/2021;"6";"2";"10";"2";"70";"18";"13";"22";"0";"1011";"0";"0";""
Matera;14/1/2021;;;;;;;;;;;;;
Matera;15/1/2021;"5";"2";"7";"3";"72";"23";"9";"15";"0";"1011";"0";"0";"pioggia "
Matera;16/1/2021;"3";"1";"5";"1";"70";"14";"25";"37";"0";"1013";"0";"0";"neve "
Matera;17/1/2021;"3";"0";"5";"2";"69";"13";"13";"24";"0";"1014";"0";"0";""
Matera;18/1/2021;"2";"1";"4";"2";"81";"13";"16";"26";"0";"1018";"0";"0";"neve "
Matera;19/1/2021;"4";"1";"10";"1";"77";"16";"9";"24";"0";"1024";"0";"0";"pioggia "
Matera;20/1/2021;"6";"-2";"11";"4";"79";"18";"13";"24";"0";"1024";"0";"0";""
Matera;21/1/2021;;;;;;;;;;;;;
Matera;22/1/2021;;;;;;;;;;;;;
Matera;23/1/2021;;;;;;;;;;;;;
Matera;24/1/2021;;;;;;;;;;;;;
Matera;25/1/2021;;;;;;;;;;;;;
Matera;26/1/2021;"6";"3";"8";"5";"86";"12";"22";"42";"0";"1005";"0";"0";"pioggia "
Matera;27/1/2021;;;;;;;;;;;;;
Matera;28/1/2021;"4";"-2";"10";"3";"60";"17";"8";"18";"0";"1014";"0";"0";""
Matera;29/1/2021;"9";"2";"13";"6";"84";"19";"17";"31";"0";"1007";"0";"0";""
Matera;30/1/2021;"11";"6";"16";"6";"62";"19";"17";"26";"0";"1003";"0";"0";""
Matera;31/1/2021;"9";"6";"11";"8";"94";"9";"19";"31";"0";"997";"0";"0";"pioggia "
