LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/6/2021;"16";"10";"21";"6";"51";"17";"17";"30";"0";"1016";"0";"0";""
Matera;2/6/2021;"18";"8";"25";"4";"39";"18";"7";"18";"0";"1019";"0";"0";""
Matera;3/6/2021;"20";"9";"26";"3";"37";"21";"9";"18";"0";"1022";"0";"0";""
Matera;4/6/2021;"20";"12";"27";"7";"46";"21";"9";"22";"0";"1022";"0";"0";""
Matera;5/6/2021;"22";"13";"29";"9";"47";"21";"8";"22";"0";"1021";"0";"0";""
Matera;6/6/2021;"23";"17";"28";"11";"48";"20";"8";"17";"0";"1017";"0";"0";""
Matera;7/6/2021;"21";"17";"27";"14";"68";"17";"11";"24";"0";"1015";"0";"0";"pioggia "
Matera;8/6/2021;"19";"16";"23";"15";"77";"14";"15";"22";"0";"1014";"0";"0";"pioggia "
Matera;9/6/2021;"22";"18";"27";"11";"56";"18";"17";"26";"0";"1013";"0";"0";""
Matera;10/6/2021;"22";"15";"28";"10";"50";"21";"14";"21";"0";"1014";"0";"0";""
Matera;11/6/2021;"22";"16";"27";"12";"56";"20";"15";"28";"0";"1014";"0";"0";""
Matera;12/6/2021;"22";"15";"26";"10";"49";"21";"15";"26";"0";"1016";"0";"0";""
Matera;13/6/2021;"23";"15";"29";"9";"46";"20";"14";"26";"0";"1016";"0";"0";""
Matera;14/6/2021;"21";"16";"25";"9";"49";"22";"20";"30";"0";"1016";"0";"0";""
Matera;15/6/2021;"19";"13";"23";"9";"54";"20";"18";"28";"0";"1016";"0";"0";""
Matera;16/6/2021;"21";"13";"26";"9";"50";"21";"11";"21";"0";"1016";"0";"0";""
Matera;17/6/2021;"21";"12";"28";"9";"48";"20";"8";"22";"0";"1017";"0";"0";""
Matera;18/6/2021;"23";"14";"30";"10";"48";"19";"7";"18";"0";"1017";"0";"0";""
Matera;19/6/2021;"25";"17";"31";"12";"47";"22";"14";"26";"0";"1016";"0";"0";""
Matera;20/6/2021;"27";"20";"33";"14";"48";"20";"16";"26";"0";"1013";"0";"0";""
Matera;21/6/2021;"30";"22";"37";"14";"43";"11";"12";"24";"0";"1012";"0";"0";""
Matera;22/6/2021;"30";"22";"37";"15";"43";"7";"14";"28";"0";"1012";"0";"0";""
Matera;23/6/2021;"30";"21";"38";"16";"49";"8";"9";"21";"0";"1014";"0";"0";""
Matera;24/6/2021;"32";"23";"39";"10";"33";"16";"16";"30";"0";"1017";"0";"0";""
Matera;25/6/2021;"30";"24";"36";"11";"34";"22";"12";"30";"0";"1016";"0";"0";""
Matera;26/6/2021;"26";"21";"32";"15";"52";"18";"13";"24";"0";"1014";"0";"0";""
Matera;27/6/2021;"27";"18";"33";"14";"47";"19";"9";"21";"0";"1015";"0";"0";""
Matera;28/6/2021;"27";"20";"33";"13";"45";"21";"14";"33";"0";"1016";"0";"0";""
Matera;29/6/2021;"29";"18";"38";"14";"44";"20";"15";"28";"0";"1014";"0";"0";""
Matera;30/6/2021;"29";"21";"35";"15";"48";"11";"13";"24";"0";"1012";"0";"0";""
