LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/5/2021;"17";"13";"22";"13";"77";"6";"21";"30";"0";"1012";"0";"0";"nebbia "
Matera;2/5/2021;"20";"15";"24";"9";"47";"15";"17";"33";"0";"1013";"0";"0";""
Matera;3/5/2021;"15";"12";"19";"3";"44";"23";"17";"30";"0";"1017";"0";"0";""
Matera;4/5/2021;"14";"6";"21";"3";"53";"21";"8";"18";"0";"1017";"0";"0";""
Matera;5/5/2021;"17";"10";"22";"9";"64";"20";"10";"24";"0";"1012";"0";"0";""
Matera;6/5/2021;"18";"12";"24";"7";"54";"19";"27";"100";"0";"1014";"0";"0";""
Matera;7/5/2021;"17";"11";"24";"9";"64";"20";"13";"24";"0";"1013";"0";"0";""
Matera;8/5/2021;"17";"12";"21";"8";"57";"21";"20";"26";"0";"1015";"0";"0";""
Matera;9/5/2021;"16";"10";"24";"6";"52";"22";"11";"18";"0";"1018";"0";"0";""
Matera;10/5/2021;"16";"9";"25";"7";"62";"20";"10";"21";"0";"1017";"0";"0";""
Matera;11/5/2021;"17";"10";"24";"11";"72";"16";"16";"28";"0";"1013";"0";"0";"nebbia "
Matera;12/5/2021;"18";"13";"22";"6";"49";"18";"16";"24";"0";"1010";"0";"0";""
Matera;13/5/2021;"17";"13";"21";"7";"52";"18";"19";"28";"0";"1009";"0";"0";""
Matera;14/5/2021;"17";"12";"22";"6";"49";"22";"19";"30";"0";"1010";"0";"0";""
Matera;15/5/2021;"15";"11";"18";"9";"72";"16";"13";"24";"0";"1009";"0";"0";"pioggia temporale "
Matera;16/5/2021;"18";"10";"24";"7";"52";"22";"14";"22";"0";"1012";"0";"0";""
Matera;17/5/2021;"18";"12";"26";"8";"58";"17";"19";"33";"0";"1008";"0";"0";""
Matera;18/5/2021;"16";"11";"22";"7";"61";"19";"9";"15";"0";"1012";"0";"0";""
Matera;19/5/2021;"19";"12";"24";"7";"48";"17";"20";"30";"0";"1011";"0";"0";""
Matera;20/5/2021;"14";"10";"18";"4";"53";"19";"25";"35";"0";"1014";"0";"0";""
Matera;21/5/2021;"16";"11";"22";"5";"48";"20";"18";"26";"0";"1019";"0";"0";""
Matera;22/5/2021;"16";"9";"22";"8";"61";"18";"19";"30";"0";"1016";"0";"0";""
Matera;23/5/2021;"18";"14";"25";"13";"77";"10";"19";"30";"0";"1017";"0";"0";""
Matera;24/5/2021;"19";"13";"25";"14";"77";"12";"17";"35";"0";"1017";"0";"0";"nebbia "
Matera;25/5/2021;"21";"14";"27";"10";"53";"20";"12";"22";"0";"1017";"0";"0";""
Matera;26/5/2021;"20";"15";"25";"9";"53";"22";"12";"22";"0";"1016";"0";"0";""
Matera;27/5/2021;"18";"11";"25";"6";"47";"20";"7";"17";"0";"1014";"0";"0";""
Matera;28/5/2021;"20";"14";"25";"7";"47";"19";"16";"26";"0";"1016";"0";"0";""
Matera;29/5/2021;"19";"12";"25";"6";"45";"20";"12";"24";"0";"1015";"0";"0";""
Matera;30/5/2021;"17";"14";"20";"12";"73";"20";"15";"24";"0";"1015";"0";"0";"pioggia "
Matera;31/5/2021;"16";"12";"20";"6";"56";"19";"20";"28";"0";"1015";"0";"0";""
