LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/3/2021;"9";"3";"13";"4";"70";"20";"15";"24";"0";"1026";"0";"0";""
Matera;2/3/2021;"8";"4";"13";"3";"67";"18";"14";"22";"0";"1030";"0";"0";""
Matera;3/3/2021;"9";"4";"14";"3";"71";"15";"11";"17";"0";"1029";"0";"0";""
Matera;4/3/2021;"9";"1";"16";"4";"72";"13";"10";"24";"0";"1023";"0";"0";"nebbia "
Matera;5/3/2021;"10";"4";"15";"4";"71";"13";"9";"18";"0";"1016";"0";"0";"nebbia "
Matera;6/3/2021;"8";"3";"13";"5";"79";"13";"15";"28";"0";"1021";"0";"0";""
Matera;7/3/2021;"9";"6";"12";"5";"76";"19";"10";"17";"0";"1022";"0";"0";""
Matera;8/3/2021;"9";"5";"12";"7";"86";"12";"11";"17";"0";"1015";"0";"0";""
Matera;9/3/2021;"11";"8";"13";"9";"88";"6";"16";"33";"0";"1010";"0";"0";""
Matera;10/3/2021;"8";"6";"10";"5";"81";"11";"18";"28";"0";"1011";"0";"0";"pioggia "
Matera;11/3/2021;"7";"3";"11";"1";"61";"17";"19";"30";"0";"1019";"0";"0";""
Matera;12/3/2021;"9";"3";"15";"5";"74";"16";"15";"28";"0";"1017";"0";"0";""
Matera;13/3/2021;"11";"8";"16";"8";"80";"10";"12";"22";"0";"1015";"0";"0";"pioggia "
Matera;14/3/2021;"11";"5";"17";"5";"69";"14";"14";"28";"0";"1009";"0";"0";"nebbia "
Matera;15/3/2021;"7";"5";"9";"3";"74";"16";"33";"46";"0";"1005";"0";"0";"pioggia "
Matera;16/3/2021;"7";"3";"11";"2";"63";"18";"25";"37";"0";"1009";"0";"0";"pioggia "
Matera;17/3/2021;"6";"3";"9";"1";"59";"19";"30";"44";"0";"1012";"0";"0";""
Matera;18/3/2021;"5";"1";"9";"3";"74";"20";"9";"15";"0";"1013";"0";"0";""
Matera;19/3/2021;"5";"-1";"10";"4";"81";"15";"7";"17";"0";"1012";"0";"0";"pioggia "
Matera;20/3/2021;"5";"4";"6";"5";"97";"5";"13";"18";"0";"1011";"0";"0";"pioggia "
Matera;21/3/2021;"6";"4";"7";"4";"85";"10";"20";"31";"0";"1004";"0";"0";"pioggia "
Matera;22/3/2021;"6";"4";"8";"2";"72";"19";"28";"35";"0";"1003";"0";"0";"pioggia "
Matera;23/3/2021;"5";"3";"7";"1";"66";"19";"23";"33";"0";"1010";"0";"0";"pioggia neve "
Matera;24/3/2021;"7";"2";"10";"1";"63";"18";"21";"31";"0";"1017";"0";"0";""
Matera;25/3/2021;"7";"1";"11";"3";"72";"18";"13";"24";"0";"1019";"0";"0";""
Matera;26/3/2021;"9";"-2";"16";"4";"69";"21";"8";"15";"0";"1024";"0";"0";""
Matera;27/3/2021;"10";"2";"16";"5";"76";"19";"12";"28";"0";"1025";"0";"0";"nebbia "
Matera;28/3/2021;"12";"5";"19";"6";"72";"12";"6";"15";"0";"1028";"0";"0";"nebbia "
Matera;29/3/2021;"12";"7";"16";"7";"77";"14";"14";"22";"0";"1029";"0";"0";"nebbia "
Matera;30/3/2021;"12";"9";"16";"4";"57";"20";"19";"28";"0";"1027";"0";"0";""
Matera;31/3/2021;"12";"8";"16";"5";"65";"20";"15";"22";"0";"1023";"0";"0";""
