LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/11/2021;"15";"11";"17";"14";"94";"4";"29";"39";"0";"1008";"0";"0";"pioggia "
Matera;2/11/2021;"17";"14";"22";"12";"72";"15";"21";"31";"0";"1006";"0";"0";"pioggia "
Matera;3/11/2021;"15";"12";"17";"13";"87";"13";"25";"39";"0";"1011";"0";"0";"pioggia "
Matera;4/11/2021;"19";"17";"19";"19";"100";"2";"37";"52";"0";"1010";"0";"0";"pioggia nebbia "
Matera;5/11/2021;"16";"15";"18";"16";"95";"5";"11";"18";"0";"1014";"0";"0";"pioggia "
Matera;6/11/2021;"15";"14";"18";"14";"92";"5";"11";"18";"0";"1019";"0";"0";"pioggia nebbia "
Matera;7/11/2021;"16";"13";"20";"15";"94";"5";"9";"18";"0";"1017";"0";"0";"nebbia "
Matera;8/11/2021;"18";"17";"18";"16";"91";"4";"26";"33";"0";"1013";"0";"0";"pioggia "
Matera;9/11/2021;"18";"15";"20";"17";"97";"4";"15";"30";"0";"1019";"0";"0";"pioggia "
Matera;10/11/2021;"15";"15";"15";"13";"90";"2";"10";"15";"0";"1023";"0";"0";"nebbia "
Matera;11/11/2021;;;;;;;;;;;;;
Matera;12/11/2021;"15";"11";"18";"13";"89";"4";"6";"11";"0";"1018";"0";"0";"nebbia "
Matera;13/11/2021;"16";"13";"18";"14";"93";"4";"14";"22";"0";"1018";"0";"0";"nebbia "
Matera;14/11/2021;"15";"13";"19";"13";"87";"7";"11";"17";"0";"1014";"0";"0";"nebbia "
Matera;15/11/2021;"14";"11";"15";"13";"100";"3";"7";"18";"0";"1014";"0";"0";"nebbia "
Matera;16/11/2021;"15";"14";"18";"13";"89";"9";"26";"37";"0";"1014";"0";"0";"pioggia "
Matera;17/11/2021;"14";"12";"17";"12";"90";"9";"11";"24";"0";"1016";"0";"0";"pioggia temporale "
Matera;18/11/2021;"14";"12";"16";"12";"92";"5";"9";"17";"0";"1020";"0";"0";"pioggia nebbia "
Matera;19/11/2021;"13";"11";"15";"11";"86";"12";"20";"31";"0";"1023";"0";"0";"nebbia "
Matera;20/11/2021;"13";"9";"17";"10";"83";"16";"16";"22";"0";"1020";"0";"0";""
Matera;21/11/2021;"12";"6";"17";"8";"78";"16";"23";"100";"0";"1014";"0";"0";"nebbia "
Matera;22/11/2021;"13";"11";"17";"11";"89";"8";"9";"15";"0";"1010";"0";"0";"nebbia "
Matera;23/11/2021;"12";"8";"16";"11";"93";"3";"8";"15";"0";"1014";"0";"0";"nebbia "
Matera;24/11/2021;"12";"9";"15";"9";"86";"4";"10";"21";"0";"1017";"0";"0";"nebbia "
Matera;25/11/2021;"13";"8";"16";"12";"93";"10";"23";"44";"0";"1011";"0";"0";"pioggia "
Matera;26/11/2021;"13";"11";"16";"11";"89";"8";"16";"31";"0";"1000";"0";"0";"pioggia temporale nebbia "
Matera;27/11/2021;"11";"10";"13";"8";"83";"14";"20";"26";"0";"1001";"0";"0";"pioggia "
Matera;28/11/2021;"12";"10";"16";"7";"73";"23";"20";"30";"0";"999";"0";"0";""
Matera;29/11/2021;"8";"6";"10";"6";"85";"18";"16";"22";"0";"997";"0";"0";"pioggia "
Matera;30/11/2021;"6";"3";"9";"2";"68";"19";"23";"35";"0";"1012";"0";"0";""
