LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/10/2021;"19";"17";"22";"14";"74";"14";"15";"22";"0";"1020";"0";"0";""
Matera;2/10/2021;"18";"12";"24";"12";"74";"15";"5";"11";"0";"1019";"0";"0";"nebbia "
Matera;3/10/2021;"19";"12";"25";"14";"75";"15";"11";"22";"0";"1020";"0";"0";""
Matera;4/10/2021;"20";"15";"24";"15";"74";"17";"19";"24";"0";"1020";"0";"0";""
Matera;5/10/2021;"19";"16";"25";"15";"81";"11";"16";"39";"0";"1019";"0";"0";""
Matera;6/10/2021;"19";"13";"25";"12";"69";"14";"12";"22";"0";"1015";"0";"0";""
Matera;7/10/2021;"17";"14";"22";"10";"66";"18";"9";"21";"0";"1007";"0";"0";"pioggia "
Matera;8/10/2021;"15";"11";"20";"13";"87";"16";"9";"15";"0";"1010";"0";"0";"pioggia temporale "
Matera;9/10/2021;"14";"13";"17";"14";"99";"5";"14";"21";"0";"1013";"0";"0";"pioggia "
Matera;10/10/2021;"13";"11";"14";"12";"95";"5";"12";"17";"0";"1013";"0";"0";"pioggia "
Matera;11/10/2021;"11";"9";"14";"8";"86";"20";"9";"15";"0";"1012";"0";"0";"pioggia "
Matera;12/10/2021;"12";"11";"15";"9";"83";"20";"19";"33";"0";"1012";"0";"0";"pioggia "
Matera;13/10/2021;"12";"10";"17";"9";"81";"21";"12";"21";"0";"1012";"0";"0";""
Matera;14/10/2021;"12";"11";"14";"7";"73";"24";"21";"37";"0";"1014";"0";"0";"pioggia "
Matera;15/10/2021;"11";"10";"13";"4";"60";"17";"25";"33";"0";"1010";"0";"0";"pioggia "
Matera;16/10/2021;"13";"11";"15";"9";"74";"18";"14";"24";"0";"1013";"0";"0";""
Matera;17/10/2021;"14";"10";"17";"11";"83";"19";"7";"15";"0";"1017";"0";"0";""
Matera;18/10/2021;"15";"13";"18";"11";"78";"20";"14";"21";"0";"1021";"0";"0";""
Matera;19/10/2021;"15";"11";"19";"9";"73";"21";"11";"18";"0";"1026";"0";"0";""
Matera;20/10/2021;"14";"7";"22";"8";"72";"13";"7";"17";"0";"1025";"0";"0";""
Matera;21/10/2021;"16";"11";"23";"11";"80";"11";"14";"26";"0";"1020";"0";"0";"nebbia "
Matera;22/10/2021;"16";"12";"20";"13";"86";"17";"14";"18";"0";"1018";"0";"0";""
Matera;23/10/2021;"17";"15";"23";"15";"86";"6";"9";"15";"0";"1019";"0";"0";"nebbia "
Matera;24/10/2021;"16";"15";"18";"13";"82";"11";"17";"22";"0";"1022";"0";"0";""
Matera;25/10/2021;"16";"14";"18";"12";"78";"18";"13";"18";"0";"1020";"0";"0";"pioggia "
Matera;26/10/2021;"14";"12";"18";"10";"79";"11";"6";"11";"0";"1019";"0";"0";"nebbia "
Matera;27/10/2021;"15";"12";"18";"9";"72";"24";"16";"24";"0";"1021";"0";"0";""
Matera;28/10/2021;"14";"11";"17";"10";"81";"17";"14";"18";"0";"1020";"0";"0";""
Matera;29/10/2021;"15";"10";"19";"12";"82";"6";"11";"15";"0";"1017";"0";"0";"nebbia "
Matera;30/10/2021;"15";"12";"21";"11";"79";"8";"7";"15";"0";"1017";"0";"0";"nebbia "
Matera;31/10/2021;"14";"9";"20";"11";"85";"6";"7";"13";"0";"1016";"0";"0";"nebbia "
