LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Matera;1/9/2021;"22";"19";"25";"15";"69";"18";"17";"28";"0";"1018";"0";"0";"pioggia temporale "
Matera;2/9/2021;"21";"18";"24";"13";"60";"19";"19";"26";"0";"1020";"0";"0";""
Matera;3/9/2021;"21";"15";"26";"13";"64";"21";"9";"15";"0";"1018";"0";"0";""
Matera;4/9/2021;"21";"17";"25";"15";"68";"20";"7";"15";"0";"1015";"0";"0";""
Matera;5/9/2021;"22";"20";"23";"17";"77";"18";"12";"17";"0";"1015";"0";"0";"pioggia "
Matera;6/9/2021;"22";"19";"27";"16";"68";"18";"15";"24";"0";"1018";"0";"0";""
Matera;7/9/2021;"22";"17";"26";"15";"66";"18";"15";"22";"0";"1019";"0";"0";""
Matera;8/9/2021;"20";"15";"24";"13";"67";"19";"10";"21";"0";"1018";"0";"0";""
Matera;9/9/2021;"21";"16";"24";"12";"61";"19";"6";"11";"0";"1017";"0";"0";""
Matera;10/9/2021;"21";"14";"27";"12";"58";"21";"10";"18";"0";"1017";"0";"0";""
Matera;11/9/2021;"20";"15";"24";"17";"85";"16";"8";"22";"0";"1015";"0";"0";"pioggia "
Matera;12/9/2021;"20";"17";"24";"17";"85";"15";"8";"18";"0";"1014";"0";"0";"pioggia temporale "
Matera;13/9/2021;"20";"15";"27";"15";"75";"20";"10";"22";"0";"1015";"0";"0";""
Matera;14/9/2021;"22";"14";"28";"10";"54";"19";"8";"18";"0";"1017";"0";"0";""
Matera;15/9/2021;"22";"15";"28";"11";"59";"19";"5";"11";"0";"1018";"0";"0";""
Matera;16/9/2021;"24";"19";"30";"13";"54";"19";"10";"22";"0";"1018";"0";"0";""
Matera;17/9/2021;"23";"19";"28";"18";"74";"18";"10";"22";"0";"1015";"0";"0";"pioggia nebbia "
Matera;18/9/2021;"23";"21";"28";"17";"74";"18";"9";"17";"0";"1013";"0";"0";"pioggia temporale "
Matera;19/9/2021;"25";"20";"30";"17";"65";"17";"9";"18";"0";"1013";"0";"0";""
Matera;20/9/2021;"22";"18";"28";"13";"59";"19";"14";"28";"0";"1013";"0";"0";""
Matera;21/9/2021;"21";"17";"26";"15";"69";"19";"13";"24";"0";"1019";"0";"0";""
Matera;22/9/2021;"19";"17";"22";"12";"64";"17";"22";"28";"0";"1019";"0";"0";""
Matera;23/9/2021;"18";"15";"21";"9";"58";"21";"19";"28";"0";"1020";"0";"0";""
Matera;24/9/2021;"17";"9";"26";"9";"60";"21";"7";"15";"0";"1019";"0";"0";""
Matera;25/9/2021;"19";"12";"28";"11";"66";"20";"5";"15";"0";"1020";"0";"0";""
Matera;26/9/2021;"21";"13";"29";"13";"66";"21";"7";"17";"0";"1020";"0";"0";""
Matera;27/9/2021;"23";"16";"29";"15";"69";"20";"9";"15";"0";"1017";"0";"0";"pioggia "
Matera;28/9/2021;"22";"19";"26";"19";"87";"10";"17";"26";"0";"1016";"0";"0";""
Matera;29/9/2021;"20";"15";"26";"14";"70";"16";"8";"18";"0";"1017";"0";"0";""
Matera;30/9/2021;"19";"14";"25";"15";"81";"17";"9";"18";"0";"1019";"0";"0";""
