LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/8/2021;"29";"24";"33";"20";"61";"21";"12";"24";"0";"1011";"0";"0";"pioggia "
Napoli;2/8/2021;"27";"24";"31";"15";"51";"19";"13";"21";"0";"1014";"0";"0";""
Napoli;3/8/2021;"25";"21";"29";"18";"63";"19";"10";"21";"0";"1016";"0";"0";"pioggia "
Napoli;4/8/2021;"28";"21";"35";"16";"54";"20";"10";"22";"0";"1014";"0";"0";""
Napoli;5/8/2021;"27";"23";"29";"20";"67";"19";"17";"28";"0";"1011";"0";"0";"pioggia "
Napoli;6/8/2021;"26";"22";"29";"18";"62";"21";"11";"21";"0";"1011";"0";"0";""
Napoli;7/8/2021;"27";"22";"31";"18";"62";"21";"8";"18";"0";"1012";"0";"0";""
Napoli;8/8/2021;"28";"22";"34";"18";"56";"20";"9";"26";"0";"1014";"0";"0";""
Napoli;9/8/2021;"29";"23";"35";"19";"59";"21";"8";"18";"0";"1018";"0";"0";""
Napoli;10/8/2021;"30";"23";"37";"14";"42";"19";"8";"17";"0";"1017";"0";"0";""
Napoli;11/8/2021;"31";"25";"37";"15";"40";"20";"7";"18";"0";"1015";"0";"0";""
Napoli;12/8/2021;"31";"24";"38";"15";"40";"21";"7";"18";"0";"1017";"0";"0";""
Napoli;13/8/2021;"31";"24";"37";"16";"41";"19";"7";"18";"0";"1019";"0";"0";""
Napoli;14/8/2021;"31";"25";"37";"16";"41";"19";"7";"22";"0";"1018";"0";"0";""
Napoli;15/8/2021;"29";"23";"35";"16";"45";"19";"7";"17";"0";"1016";"0";"0";""
Napoli;16/8/2021;"29";"25";"32";"22";"68";"19";"9";"17";"0";"1014";"0";"0";""
Napoli;17/8/2021;"28";"25";"32";"19";"59";"18";"11";"21";"0";"1011";"0";"0";""
Napoli;18/8/2021;"26";"22";"30";"19";"65";"22";"10";"21";"0";"1012";"0";"0";""
Napoli;19/8/2021;"27";"23";"31";"16";"53";"20";"9";"21";"0";"1013";"0";"0";""
Napoli;20/8/2021;"27";"23";"31";"18";"59";"21";"9";"22";"0";"1014";"0";"0";""
Napoli;21/8/2021;"27";"21";"32";"16";"53";"19";"9";"21";"0";"1017";"0";"0";""
Napoli;22/8/2021;"28";"22";"32";"19";"59";"20";"8";"17";"0";"1017";"0";"0";""
Napoli;23/8/2021;"26";"22";"29";"20";"70";"19";"8";"18";"0";"1015";"0";"0";""
Napoli;24/8/2021;"26";"21";"31";"18";"64";"22";"9";"18";"0";"1013";"0";"0";""
Napoli;25/8/2021;"25";"21";"30";"19";"70";"19";"8";"17";"0";"1012";"0";"0";""
Napoli;26/8/2021;"25";"22";"28";"18";"66";"20";"9";"18";"0";"1011";"0";"0";"pioggia "
Napoli;27/8/2021;"25";"21";"29";"18";"63";"20";"10";"21";"0";"1011";"0";"0";""
Napoli;28/8/2021;"25";"21";"28";"17";"65";"17";"11";"28";"0";"1009";"0";"0";"pioggia temporale "
Napoli;29/8/2021;"24";"20";"29";"14";"58";"19";"10";"21";"0";"1009";"0";"0";""
Napoli;30/8/2021;"23";"19";"28";"12";"49";"20";"9";"17";"0";"1013";"0";"0";""
Napoli;31/8/2021;"24";"18";"28";"15";"59";"21";"8";"18";"0";"1016";"0";"0";""
