LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/4/2021;"15";"9";"19";"10";"75";"16";"8";"18";"0";"1020";"0";"0";""
Napoli;2/4/2021;"15";"12";"18";"11";"78";"14";"8";"17";"0";"1017";"0";"0";""
Napoli;3/4/2021;"14";"9";"18";"9";"73";"16";"6";"15";"0";"1011";"0";"0";"pioggia "
Napoli;4/4/2021;"13";"9";"17";"4";"46";"20";"19";"35";"0";"1012";"0";"0";""
Napoli;5/4/2021;"12";"6";"17";"4";"47";"19";"11";"18";"0";"1013";"0";"0";""
Napoli;6/4/2021;"13";"8";"17";"7";"69";"20";"14";"30";"0";"1006";"0";"0";"pioggia "
Napoli;7/4/2021;"10";"5";"14";"4";"63";"20";"14";"37";"0";"1009";"0";"0";"pioggia "
Napoli;8/4/2021;"9";"3";"14";"0";"45";"21";"13";"24";"0";"1025";"0";"0";""
Napoli;9/4/2021;"10";"4";"16";"2";"48";"20";"7";"15";"0";"1028";"0";"0";""
Napoli;10/4/2021;"12";"5";"16";"3";"53";"18";"7";"15";"0";"1025";"0";"0";""
Napoli;11/4/2021;"14";"9";"18";"6";"63";"20";"6";"15";"0";"1021";"0";"0";""
Napoli;12/4/2021;"13";"8";"17";"9";"79";"19";"7";"17";"0";"1020";"0";"0";"pioggia "
Napoli;13/4/2021;"13";"11";"15";"8";"72";"19";"15";"24";"0";"1017";"0";"0";"pioggia "
Napoli;14/4/2021;"12";"8";"16";"3";"56";"20";"11";"21";"0";"1019";"0";"0";""
Napoli;15/4/2021;"12";"7";"17";"2";"48";"19";"10";"15";"0";"1019";"0";"0";""
Napoli;16/4/2021;"11";"9";"13";"1";"49";"19";"14";"22";"0";"1015";"0";"0";""
Napoli;17/4/2021;"12";"10";"15";"2";"45";"19";"14";"18";"0";"1011";"0";"0";""
Napoli;18/4/2021;"12";"6";"16";"5";"53";"19";"8";"17";"0";"1014";"0";"0";""
Napoli;19/4/2021;"11";"9";"15";"6";"75";"19";"8";"17";"0";"1014";"0";"0";"pioggia "
Napoli;20/4/2021;"11";"5";"16";"7";"76";"20";"9";"22";"0";"1017";"0";"0";""
Napoli;21/4/2021;"13";"6";"17";"6";"68";"18";"6";"15";"0";"1019";"0";"0";""
Napoli;22/4/2021;"13";"10";"16";"11";"89";"13";"7";"15";"0";"1017";"0";"0";"pioggia "
Napoli;23/4/2021;"16";"13";"19";"9";"64";"22";"17";"33";"0";"1018";"0";"0";""
Napoli;24/4/2021;"17";"13";"21";"5";"47";"20";"18";"31";"0";"1018";"0";"0";""
Napoli;25/4/2021;"15";"8";"20";"5";"47";"20";"8";"17";"0";"1018";"0";"0";""
Napoli;26/4/2021;"16";"9";"22";"7";"58";"20";"7";"15";"0";"1014";"0";"0";""
Napoli;27/4/2021;"17";"14";"20";"12";"73";"14";"10";"26";"0";"1007";"0";"0";"pioggia "
Napoli;28/4/2021;"17";"15";"19";"14";"83";"15";"11";"24";"0";"1009";"0";"0";""
Napoli;29/4/2021;"17";"13";"22";"12";"75";"19";"7";"17";"0";"1012";"0";"0";"pioggia "
Napoli;30/4/2021;"21";"14";"28";"10";"53";"21";"7";"15";"0";"1011";"0";"0";""
