LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/12/2021;"9";"1";"15";"7";"76";"17";"9";"22";"0";"1018";"0";"0";"pioggia "
Napoli;2/12/2021;"14";"11";"17";"9";"71";"17";"23";"46";"0";"1005";"0";"0";"pioggia "
Napoli;3/12/2021;"11";"9";"12";"8";"85";"15";"9";"18";"0";"1005";"0";"0";"pioggia "
Napoli;4/12/2021;"10";"4";"14";"3";"65";"19";"8";"18";"0";"1012";"0";"0";"pioggia "
Napoli;5/12/2021;"12";"9";"15";"9";"81";"17";"10";"21";"0";"1005";"0";"0";"pioggia "
Napoli;6/12/2021;"8";"6";"10";"5";"80";"19";"10";"17";"0";"1002";"0";"0";"pioggia "
Napoli;7/12/2021;"6";"2";"12";"1";"64";"21";"8";"13";"0";"1010";"0";"0";""
Napoli;8/12/2021;"8";"1";"16";"10";"73";"18";"12";"31";"0";"1010";"0";"0";"pioggia "
Napoli;9/12/2021;"10";"7";"14";"7";"82";"15";"10";"31";"0";"1004";"0";"0";"pioggia temporale "
Napoli;10/12/2021;"8";"2";"12";"5";"80";"19";"8";"22";"0";"1004";"0";"0";"pioggia "
Napoli;11/12/2021;"9";"7";"11";"5";"76";"15";"14";"37";"0";"997";"0";"0";"pioggia "
Napoli;12/12/2021;"8";"6";"12";"2";"63";"19";"10";"18";"0";"1015";"0";"0";""
Napoli;13/12/2021;"8";"1";"13";"2";"56";"20";"7";"13";"0";"1023";"0";"0";""
Napoli;14/12/2021;"10";"3";"17";"3";"60";"20";"7";"15";"0";"1022";"0";"0";""
Napoli;15/12/2021;"11";"6";"15";"3";"58";"17";"12";"24";"0";"1024";"0";"0";""
Napoli;16/12/2021;"11";"7";"14";"3";"61";"21";"8";"21";"0";"1026";"0";"0";""
Napoli;17/12/2021;"11";"7";"15";"3";"59";"19";"11";"21";"0";"1027";"0";"0";""
Napoli;18/12/2021;"10";"6";"12";"2";"46";"21";"19";"41";"0";"1027";"0";"0";""
Napoli;19/12/2021;"8";"2";"14";"3";"61";"19";"6";"13";"0";"1023";"0";"0";""
Napoli;20/12/2021;"9";"2";"14";"4";"73";"18";"7";"17";"0";"1018";"0";"0";""
Napoli;21/12/2021;"9";"3";"12";"3";"70";"19";"7";"11";"0";"1021";"0";"0";""
Napoli;22/12/2021;"9";"3";"13";"2";"63";"19";"6";"9";"0";"1023";"0";"0";""
Napoli;23/12/2021;"10";"5";"15";"4";"69";"15";"6";"11";"0";"1024";"0";"0";"pioggia "
Napoli;24/12/2021;"12";"8";"14";"9";"84";"19";"7";"11";"0";"1020";"0";"0";"pioggia "
Napoli;25/12/2021;"14";"12";"15";"9";"70";"20";"11";"21";"0";"1014";"0";"0";"pioggia "
Napoli;26/12/2021;"15";"13";"16";"12";"87";"16";"15";"22";"0";"1010";"0";"0";"pioggia "
Napoli;27/12/2021;"13";"11";"16";"11";"84";"21";"7";"13";"0";"1010";"0";"0";"pioggia "
Napoli;28/12/2021;"13";"10";"16";"10";"84";"19";"8";"15";"0";"1008";"0";"0";"pioggia "
Napoli;29/12/2021;"13";"9";"17";"11";"86";"18";"5";"15";"0";"1010";"0";"0";""
Napoli;30/12/2021;"12";"6";"18";"7";"76";"17";"7";"13";"0";"1016";"0";"0";""
Napoli;31/12/2021;"14";"8";"21";"6";"61";"19";"6";"13";"0";"1024";"0";"0";""
