LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/2/2021;"11";"7";"15";"9";"89";"12";"5";"17";"0";"1000";"0";"0";"pioggia nebbia "
Napoli;2/2/2021;"12";"7";"17";"8";"81";"17";"5";"9";"0";"1010";"0";"0";"pioggia "
Napoli;3/2/2021;"11";"6";"16";"8";"85";"19";"6";"13";"0";"1019";"0";"0";""
Napoli;4/2/2021;"13";"9";"17";"10";"82";"21";"4";"9";"0";"1019";"0";"0";""
Napoli;5/2/2021;"13";"6";"20";"7";"74";"16";"5";"11";"0";"1017";"0";"0";""
Napoli;6/2/2021;"13";"5";"20";"5";"62";"19";"6";"15";"0";"1014";"0";"0";""
Napoli;7/2/2021;"14";"10";"18";"9";"73";"13";"9";"24";"0";"1004";"0";"0";"pioggia "
Napoli;8/2/2021;"12";"10";"14";"8";"76";"20";"18";"33";"0";"1002";"0";"0";"pioggia "
Napoli;9/2/2021;"14";"13";"16";"10";"78";"15";"22";"37";"0";"1006";"0";"0";"pioggia "
Napoli;10/2/2021;"14";"11";"15";"11";"86";"10";"17";"28";"0";"1006";"0";"0";"pioggia temporale "
Napoli;11/2/2021;"11";"5";"15";"8";"81";"15";"8";"22";"0";"1010";"0";"0";"pioggia nebbia "
Napoli;12/2/2021;"9";"6";"12";"5";"77";"17";"10";"13";"0";"1018";"0";"0";"pioggia "
Napoli;13/2/2021;"5";"3";"8";"3";"77";"15";"22";"37";"0";"1016";"0";"0";"pioggia "
Napoli;14/2/2021;"3";"0";"6";"0";"53";"21";"24";"42";"0";"1027";"0";"0";""
Napoli;15/2/2021;"5";"-2";"8";"0";"47";"20";"17";"35";"0";"1034";"0";"0";""
Napoli;16/2/2021;"5";"-3";"11";"1";"57";"21";"7";"17";"0";"1029";"0";"0";""
Napoli;17/2/2021;"8";"4";"11";"4";"74";"19";"4";"13";"0";"1024";"0";"0";""
Napoli;18/2/2021;"9";"1";"16";"4";"72";"18";"6";"11";"0";"1024";"0";"0";""
Napoli;19/2/2021;"9";"3";"15";"5";"80";"19";"5";"11";"0";"1026";"0";"0";""
Napoli;20/2/2021;"9";"2";"16";"5";"79";"17";"6";"11";"0";"1026";"0";"0";""
Napoli;21/2/2021;"11";"4";"18";"5";"72";"16";"5";"13";"0";"1026";"0";"0";"nebbia "
Napoli;22/2/2021;"11";"5";"18";"6";"74";"18";"6";"15";"0";"1029";"0";"0";""
Napoli;23/2/2021;"11";"5";"18";"5";"70";"19";"6";"15";"0";"1034";"0";"0";""
Napoli;24/2/2021;"11";"5";"16";"8";"85";"9";"6";"17";"0";"1033";"0";"0";"nebbia "
Napoli;25/2/2021;"11";"7";"17";"9";"86";"4";"5";"15";"0";"1031";"0";"0";"nebbia "
Napoli;26/2/2021;"11";"9";"15";"10";"91";"2";"5";"15";"0";"1028";"0";"0";"nebbia "
Napoli;27/2/2021;"12";"9";"15";"8";"80";"3";"6";"9";"0";"1023";"0";"0";""
Napoli;28/2/2021;"13";"7";"18";"3";"54";"15";"13";"21";"0";"1025";"0";"0";""
