LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/1/2021;"9";"3";"14";"5";"79";"16";"6";"15";"0";"1013";"0";"0";"pioggia "
Napoli;2/1/2021;"13";"11";"16";"7";"67";"18";"16";"28";"0";"1009";"0";"0";"pioggia temporale "
Napoli;3/1/2021;"9";"7";"12";"5";"74";"20";"12";"42";"0";"1012";"0";"0";"pioggia temporale "
Napoli;4/1/2021;"7";"3";"12";"4";"81";"19";"6";"13";"0";"1011";"0";"0";"pioggia "
Napoli;5/1/2021;"9";"3";"13";"6";"79";"16";"15";"31";"0";"1011";"0";"0";"pioggia temporale "
Napoli;6/1/2021;"10";"7";"11";"6";"80";"17";"8";"21";"0";"1013";"0";"0";"pioggia "
Napoli;7/1/2021;"8";"6";"10";"6";"84";"18";"9";"17";"0";"1012";"0";"0";"pioggia "
Napoli;8/1/2021;"9";"6";"12";"7";"86";"17";"8";"15";"0";"1008";"0";"0";"pioggia "
Napoli;9/1/2021;"8";"5";"9";"5";"81";"17";"14";"21";"0";"1010";"0";"0";"pioggia "
Napoli;10/1/2021;"10";"8";"12";"7";"83";"17";"14";"26";"0";"1007";"0";"0";"pioggia temporale "
Napoli;11/1/2021;"9";"5";"12";"5";"77";"18";"9";"11";"0";"1012";"0";"0";"pioggia "
Napoli;12/1/2021;"8";"4";"12";"4";"72";"21";"9";"15";"0";"1013";"0";"0";"pioggia "
Napoli;13/1/2021;"8";"4";"13";"3";"69";"20";"6";"15";"0";"1014";"0";"0";""
Napoli;14/1/2021;;;;;;;;;;;;;
Napoli;15/1/2021;"7";"5";"9";"2";"66";"17";"18";"30";"0";"1010";"0";"0";"pioggia "
Napoli;16/1/2021;"5";"3";"9";"0";"53";"20";"21";"35";"0";"1016";"0";"0";""
Napoli;17/1/2021;"3";"-1";"7";"3";"74";"16";"9";"22";"0";"1016";"0";"0";"pioggia "
Napoli;18/1/2021;"6";"1";"10";"0";"59";"21";"16";"31";"0";"1021";"0";"0";""
Napoli;19/1/2021;"6";"-1";"13";"5";"73";"18";"6";"24";"0";"1027";"0";"0";"pioggia "
Napoli;20/1/2021;"11";"6";"14";"7";"79";"21";"6";"13";"0";"1024";"0";"0";"pioggia "
Napoli;21/1/2021;"14";"13";"16";"9";"71";"19";"14";"21";"0";"1020";"0";"0";""
Napoli;22/1/2021;"15";"14";"15";"11";"77";"18";"19";"28";"0";"1013";"0";"0";"pioggia "
Napoli;23/1/2021;"13";"10";"15";"7";"66";"20";"24";"42";"0";"1005";"0";"0";"pioggia temporale "
Napoli;24/1/2021;"12";"11";"14";"8";"77";"14";"19";"42";"0";"1001";"0";"0";"pioggia "
Napoli;25/1/2021;"11";"5";"14";"7";"73";"16";"19";"39";"0";"1005";"0";"0";"pioggia "
Napoli;26/1/2021;"7";"3";"11";"4";"60";"20";"12";"28";"0";"1011";"0";"0";"pioggia "
Napoli;27/1/2021;"5";"-2";"11";"0";"53";"19";"5";"9";"0";"1017";"0";"0";""
Napoli;28/1/2021;"8";"1";"12";"4";"59";"19";"7";"15";"0";"1016";"0";"0";"pioggia "
Napoli;29/1/2021;"12";"8";"15";"10";"87";"17";"11";"31";"0";"1010";"0";"0";"pioggia "
Napoli;30/1/2021;"13";"8";"16";"9";"78";"19";"9";"28";"0";"1006";"0";"0";""
Napoli;31/1/2021;"13";"10";"15";"9";"81";"15";"14";"26";"0";"997";"0";"0";"pioggia "
