LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/6/2021;"20";"16";"25";"8";"47";"20";"8";"17";"0";"1017";"0";"0";""
Napoli;2/6/2021;"21";"16";"26";"9";"47";"19";"9";"17";"0";"1019";"0";"0";""
Napoli;3/6/2021;"23";"16";"28";"11";"50";"19";"7";"17";"0";"1022";"0";"0";""
Napoli;4/6/2021;"22";"16";"26";"13";"57";"20";"7";"15";"0";"1023";"0";"0";""
Napoli;5/6/2021;"22";"18";"25";"13";"59";"21";"6";"21";"0";"1022";"0";"0";""
Napoli;6/6/2021;"22";"18";"26";"12";"55";"20";"6";"13";"0";"1018";"0";"0";"pioggia "
Napoli;7/6/2021;"21";"18";"25";"15";"66";"22";"9";"18";"0";"1016";"0";"0";"pioggia "
Napoli;8/6/2021;"21";"18";"25";"16";"75";"17";"8";"22";"0";"1016";"0";"0";"pioggia temporale "
Napoli;9/6/2021;"22";"19";"27";"16";"69";"20";"8";"22";"0";"1015";"0";"0";"pioggia "
Napoli;10/6/2021;"23";"19";"30";"15";"66";"21";"7";"15";"0";"1015";"0";"0";"pioggia temporale "
Napoli;11/6/2021;"22";"17";"27";"16";"69";"19";"7";"15";"0";"1015";"0";"0";""
Napoli;12/6/2021;"25";"19";"28";"14";"53";"18";"9";"21";"0";"1017";"0";"0";""
Napoli;13/6/2021;"23";"19";"26";"18";"76";"20";"8";"17";"0";"1018";"0";"0";""
Napoli;14/6/2021;"25";"21";"28";"18";"69";"20";"8";"17";"0";"1016";"0";"0";""
Napoli;15/6/2021;"23";"19";"28";"10";"44";"21";"15";"28";"0";"1017";"0";"0";""
Napoli;16/6/2021;"23";"18";"28";"15";"60";"20";"7";"15";"0";"1016";"0";"0";""
Napoli;17/6/2021;"24";"19";"29";"17";"67";"19";"7";"18";"0";"1018";"0";"0";""
Napoli;18/6/2021;"25";"20";"29";"17";"63";"21";"8";"18";"0";"1018";"0";"0";""
Napoli;19/6/2021;"25";"21";"29";"16";"60";"20";"8";"17";"0";"1017";"0";"0";""
Napoli;20/6/2021;"25";"21";"28";"17";"61";"20";"7";"18";"0";"1015";"0";"0";""
Napoli;21/6/2021;"27";"22";"34";"15";"51";"20";"8";"21";"0";"1012";"0";"0";""
Napoli;22/6/2021;"29";"23";"34";"16";"48";"19";"7";"13";"0";"1012";"0";"0";""
Napoli;23/6/2021;"29";"22";"35";"18";"53";"11";"9";"22";"0";"1014";"0";"0";""
Napoli;24/6/2021;"29";"25";"34";"19";"55";"13";"8";"18";"0";"1017";"0";"0";""
Napoli;25/6/2021;"27";"24";"32";"20";"66";"16";"9";"18";"0";"1016";"0";"0";""
Napoli;26/6/2021;"27";"22";"33";"17";"56";"20";"8";"17";"0";"1015";"0";"0";""
Napoli;27/6/2021;"28";"21";"32";"15";"49";"19";"7";"15";"0";"1014";"0";"0";""
Napoli;28/6/2021;"29";"22";"37";"15";"45";"20";"8";"22";"0";"1014";"0";"0";""
Napoli;29/6/2021;"28";"22";"34";"20";"65";"19";"8";"24";"0";"1014";"0";"0";""
Napoli;30/6/2021;"27";"23";"31";"20";"66";"16";"9";"17";"0";"1013";"0";"0";""
