LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/7/2021;"25";"22";"28";"17";"60";"21";"10";"18";"0";"1014";"0";"0";""
Napoli;2/7/2021;"25";"22";"29";"19";"67";"21";"11";"21";"0";"1014";"0";"0";""
Napoli;3/7/2021;"25";"21";"29";"19";"68";"19";"8";"18";"0";"1015";"0";"0";""
Napoli;4/7/2021;"26";"22";"29";"17";"60";"21";"9";"18";"0";"1013";"0";"0";""
Napoli;5/7/2021;"26";"22";"30";"19";"65";"19";"10";"22";"0";"1011";"0";"0";""
Napoli;6/7/2021;"27";"22";"30";"20";"68";"19";"8";"18";"0";"1013";"0";"0";""
Napoli;7/7/2021;"28";"23";"32";"21";"66";"20";"7";"17";"0";"1015";"0";"0";""
Napoli;8/7/2021;"28";"23";"34";"20";"62";"20";"8";"22";"0";"1017";"0";"0";""
Napoli;9/7/2021;"28";"24";"33";"19";"59";"21";"8";"17";"0";"1017";"0";"0";""
Napoli;10/7/2021;"26";"21";"29";"17";"60";"19";"8";"15";"0";"1015";"0";"0";""
Napoli;11/7/2021;"26";"23";"30";"18";"64";"19";"10";"21";"0";"1014";"0";"0";""
Napoli;12/7/2021;"26";"22";"29";"19";"65";"19";"8";"17";"0";"1015";"0";"0";""
Napoli;13/7/2021;"27";"22";"33";"17";"56";"19";"9";"22";"0";"1012";"0";"0";""
Napoli;14/7/2021;"25";"22";"28";"16";"58";"20";"15";"28";"0";"1015";"0";"0";"pioggia "
Napoli;15/7/2021;"24";"20";"27";"15";"60";"20";"12";"22";"0";"1015";"0";"0";""
Napoli;16/7/2021;"24";"21";"27";"16";"63";"20";"10";"18";"0";"1013";"0";"0";""
Napoli;17/7/2021;"23";"20";"27";"17";"67";"20";"9";"22";"0";"1008";"0";"0";"pioggia "
Napoli;18/7/2021;"24";"21";"28";"16";"61";"20";"10";"18";"0";"1006";"0";"0";"pioggia temporale "
Napoli;19/7/2021;"24";"20";"29";"18";"71";"20";"6";"18";"0";"1009";"0";"0";"pioggia temporale "
Napoli;20/7/2021;"26";"19";"31";"17";"63";"21";"7";"17";"0";"1013";"0";"0";""
Napoli;21/7/2021;"27";"22";"33";"17";"58";"19";"8";"17";"0";"1016";"0";"0";""
Napoli;22/7/2021;"27";"22";"31";"19";"61";"22";"7";"18";"0";"1016";"0";"0";""
Napoli;23/7/2021;"26";"23";"29";"20";"71";"18";"9";"18";"0";"1015";"0";"0";""
Napoli;24/7/2021;"27";"22";"31";"20";"67";"20";"7";"17";"0";"1015";"0";"0";""
Napoli;25/7/2021;"28";"23";"33";"18";"58";"19";"8";"21";"0";"1014";"0";"0";""
Napoli;26/7/2021;"30";"23";"35";"14";"43";"19";"7";"17";"0";"1015";"0";"0";""
Napoli;27/7/2021;"29";"23";"34";"15";"44";"22";"7";"15";"0";"1017";"0";"0";""
Napoli;28/7/2021;"30";"23";"36";"15";"44";"21";"6";"15";"0";"1016";"0";"0";""
Napoli;29/7/2021;"29";"23";"35";"13";"40";"21";"8";"17";"0";"1015";"0";"0";""
Napoli;30/7/2021;"29";"23";"34";"15";"43";"19";"8";"18";"0";"1013";"0";"0";""
Napoli;31/7/2021;"29";"23";"33";"18";"56";"20";"9";"21";"0";"1011";"0";"0";""
