LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/5/2021;"19";"16";"20";"14";"76";"16";"7";"15";"0";"1012";"0";"0";"pioggia "
Napoli;2/5/2021;"17";"14";"19";"11";"66";"21";"17";"26";"0";"1017";"0";"0";""
Napoli;3/5/2021;"16";"12";"19";"9";"67";"20";"7";"13";"0";"1020";"0";"0";""
Napoli;4/5/2021;"15";"10";"20";"8";"64";"19";"7";"18";"0";"1019";"0";"0";"pioggia "
Napoli;5/5/2021;"16";"13";"20";"11";"72";"19";"7";"17";"0";"1014";"0";"0";""
Napoli;6/5/2021;"17";"12";"19";"12";"76";"21";"10";"21";"0";"1017";"0";"0";""
Napoli;7/5/2021;"18";"13";"21";"13";"76";"19";"9";"18";"0";"1016";"0";"0";""
Napoli;8/5/2021;"19";"13";"24";"12";"64";"20";"8";"15";"0";"1017";"0";"0";""
Napoli;9/5/2021;"19";"14";"24";"11";"61";"21";"7";"17";"0";"1019";"0";"0";""
Napoli;10/5/2021;"20";"14";"26";"11";"57";"19";"7";"15";"0";"1017";"0";"0";""
Napoli;11/5/2021;"20";"15";"25";"12";"60";"20";"11";"28";"0";"1013";"0";"0";""
Napoli;12/5/2021;"17";"15";"20";"11";"70";"20";"13";"24";"0";"1013";"0";"0";"pioggia "
Napoli;13/5/2021;"18";"14";"21";"10";"63";"21";"16";"30";"0";"1011";"0";"0";"pioggia "
Napoli;14/5/2021;"17";"13";"19";"10";"63";"18";"11";"18";"0";"1012";"0";"0";"pioggia "
Napoli;15/5/2021;"16";"12";"20";"11";"74";"19";"12";"24";"0";"1012";"0";"0";"pioggia "
Napoli;16/5/2021;"18";"15";"21";"12";"71";"20";"12";"21";"0";"1014";"0";"0";""
Napoli;17/5/2021;"18";"14";"21";"11";"67";"20";"12";"24";"0";"1011";"0";"0";""
Napoli;18/5/2021;"17";"13";"21";"11";"69";"21";"8";"17";"0";"1016";"0";"0";""
Napoli;19/5/2021;"17";"12";"21";"10";"64";"18";"14";"26";"0";"1015";"0";"0";""
Napoli;20/5/2021;"18";"13";"22";"7";"50";"18";"8";"22";"0";"1017";"0";"0";"pioggia "
Napoli;21/5/2021;"18";"12";"23";"6";"48";"21";"9";"17";"0";"1021";"0";"0";""
Napoli;22/5/2021;"19";"12";"24";"7";"49";"19";"7";"17";"0";"1018";"0";"0";""
Napoli;23/5/2021;"21";"14";"25";"8";"44";"20";"6";"15";"0";"1018";"0";"0";"pioggia "
Napoli;24/5/2021;"22";"17";"30";"12";"56";"17";"11";"22";"0";"1016";"0";"0";"pioggia "
Napoli;25/5/2021;"20";"17";"23";"15";"74";"18";"11";"21";"0";"1019";"0";"0";""
Napoli;26/5/2021;"18";"14";"21";"12";"68";"21";"9";"18";"0";"1018";"0";"0";""
Napoli;27/5/2021;"18";"14";"22";"12";"70";"22";"8";"17";"0";"1016";"0";"0";""
Napoli;28/5/2021;"20";"13";"26";"13";"65";"20";"7";"18";"0";"1017";"0";"0";""
Napoli;29/5/2021;"21";"16";"25";"13";"61";"20";"8";"18";"0";"1016";"0";"0";""
Napoli;30/5/2021;"20";"18";"24";"12";"61";"19";"7";"13";"0";"1016";"0";"0";""
Napoli;31/5/2021;"20";"15";"25";"6";"41";"20";"11";"21";"0";"1016";"0";"0";""
