LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/3/2021;"11";"5";"17";"2";"52";"20";"8";"13";"0";"1027";"0";"0";""
Napoli;2/3/2021;"11";"4";"18";"4";"53";"21";"7";"15";"0";"1030";"0";"0";""
Napoli;3/3/2021;"11";"4";"17";"3";"56";"20";"7";"15";"0";"1031";"0";"0";""
Napoli;4/3/2021;"10";"4";"15";"5";"70";"16";"7";"15";"0";"1025";"0";"0";""
Napoli;5/3/2021;"11";"5";"14";"7";"76";"17";"8";"17";"0";"1019";"0";"0";"pioggia "
Napoli;6/3/2021;"13";"9";"18";"7";"67";"18";"8";"15";"0";"1022";"0";"0";"pioggia "
Napoli;7/3/2021;"13";"9";"16";"7";"68";"19";"8";"15";"0";"1022";"0";"0";""
Napoli;8/3/2021;"13";"11";"16";"8";"74";"17";"8";"15";"0";"1015";"0";"0";"pioggia "
Napoli;9/3/2021;"11";"9";"14";"9";"88";"9";"8";"26";"0";"1010";"0";"0";"pioggia temporale "
Napoli;10/3/2021;"11";"7";"15";"4";"59";"21";"12";"21";"0";"1013";"0";"0";""
Napoli;11/3/2021;"10";"4";"15";"4";"55";"21";"9";"18";"0";"1022";"0";"0";""
Napoli;12/3/2021;"13";"10";"16";"9";"74";"20";"11";"18";"0";"1020";"0";"0";""
Napoli;13/3/2021;"14";"11";"17";"10";"79";"20";"11";"17";"0";"1017";"0";"0";"pioggia "
Napoli;14/3/2021;"12";"10";"15";"7";"71";"20";"16";"28";"0";"1012";"0";"0";"pioggia "
Napoli;15/3/2021;"11";"6";"14";"3";"50";"19";"16";"33";"0";"1009";"0";"0";""
Napoli;16/3/2021;"9";"4";"16";"2";"57";"19";"10";"28";"0";"1012";"0";"0";"pioggia "
Napoli;17/3/2021;"9";"2";"14";"3";"53";"21";"8";"15";"0";"1016";"0";"0";"pioggia "
Napoli;18/3/2021;"9";"5";"12";"2";"56";"20";"12";"18";"0";"1014";"0";"0";""
Napoli;19/3/2021;"7";"2";"11";"2";"60";"20";"12";"22";"0";"1012";"0";"0";"pioggia "
Napoli;20/3/2021;"8";"5";"12";"2";"63";"20";"21";"28";"0";"1011";"0";"0";"pioggia "
Napoli;21/3/2021;"9";"6";"12";"1";"50";"19";"22";"35";"0";"1006";"0";"0";""
Napoli;22/3/2021;"9";"5";"13";"0";"45";"20";"21";"33";"0";"1007";"0";"0";""
Napoli;23/3/2021;"8";"5";"11";"0";"43";"20";"21";"37";"0";"1016";"0";"0";""
Napoli;24/3/2021;"9";"3";"14";"1";"48";"21";"10";"18";"0";"1021";"0";"0";""
Napoli;25/3/2021;"10";"4";"17";"5";"55";"20";"7";"21";"0";"1022";"0";"0";""
Napoli;26/3/2021;"12";"5";"18";"7";"74";"18";"7";"17";"0";"1026";"0";"0";""
Napoli;27/3/2021;"12";"9";"16";"8";"75";"20";"7";"17";"0";"1028";"0";"0";""
Napoli;28/3/2021;"14";"6";"19";"8";"71";"16";"6";"13";"0";"1030";"0";"0";""
Napoli;29/3/2021;"15";"7";"19";"9";"67";"17";"6";"15";"0";"1031";"0";"0";""
Napoli;30/3/2021;"17";"8";"23";"4";"45";"21";"12";"28";"0";"1028";"0";"0";""
Napoli;31/3/2021;"17";"10";"23";"5";"46";"20";"8";"18";"0";"1024";"0";"0";""
