LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/11/2021;"18";"15";"20";"15";"87";"16";"6";"11";"0";"1007";"0";"0";"pioggia "
Napoli;2/11/2021;"18";"14";"20";"13";"73";"18";"15";"31";"0";"1007";"0";"0";"pioggia "
Napoli;3/11/2021;"19";"15";"21";"16";"83";"17";"14";"24";"0";"1008";"0";"0";"pioggia temporale "
Napoli;4/11/2021;"17";"14";"22";"14";"84";"20";"11";"26";"0";"1010";"0";"0";"pioggia "
Napoli;5/11/2021;"16";"14";"19";"11";"74";"21";"8";"17";"0";"1014";"0";"0";"pioggia "
Napoli;6/11/2021;"16";"15";"19";"12";"76";"18";"14";"22";"0";"1016";"0";"0";"pioggia "
Napoli;7/11/2021;"20";"16";"27";"11";"59";"20";"9";"15";"0";"1014";"0";"0";""
Napoli;8/11/2021;"18";"16";"20";"15";"85";"15";"8";"15";"0";"1012";"0";"0";"pioggia temporale "
Napoli;9/11/2021;"18";"16";"21";"15";"84";"19";"10";"18";"0";"1017";"0";"0";"pioggia "
Napoli;10/11/2021;"19";"17";"24";"13";"71";"17";"11";"17";"0";"1022";"0";"0";"pioggia "
Napoli;11/11/2021;"18";"16";"21";"13";"70";"17";"9";"15";"0";"1020";"0";"0";""
Napoli;12/11/2021;"16";"14";"18";"13";"80";"19";"5";"11";"0";"1018";"0";"0";"pioggia "
Napoli;13/11/2021;"16";"13";"19";"13";"87";"16";"5";"17";"0";"1017";"0";"0";"pioggia temporale "
Napoli;14/11/2021;"13";"10";"18";"11";"87";"20";"5";"13";"0";"1015";"0";"0";"pioggia temporale "
Napoli;15/11/2021;"14";"8";"21";"9";"74";"20";"7";"18";"0";"1014";"0";"0";"pioggia "
Napoli;16/11/2021;"16";"13";"20";"12";"83";"18";"7";"13";"0";"1014";"0";"0";"pioggia "
Napoli;17/11/2021;"15";"11";"19";"10";"72";"22";"7";"13";"0";"1015";"0";"0";"pioggia "
Napoli;18/11/2021;"16";"14";"19";"10";"67";"21";"10";"13";"0";"1021";"0";"0";""
Napoli;19/11/2021;"15";"11";"18";"7";"62";"21";"10";"17";"0";"1025";"0";"0";""
Napoli;20/11/2021;"13";"8";"20";"6";"64";"21";"6";"11";"0";"1022";"0";"0";""
Napoli;21/11/2021;"13";"7";"17";"10";"81";"21";"5";"15";"0";"1015";"0";"0";"pioggia "
Napoli;22/11/2021;"13";"11";"15";"12";"94";"14";"5";"8";"0";"1010";"0";"0";"pioggia "
Napoli;23/11/2021;"14";"12";"19";"11";"79";"18";"10";"18";"0";"1014";"0";"0";"pioggia "
Napoli;24/11/2021;"14";"13";"17";"8";"65";"20";"16";"26";"0";"1017";"0";"0";""
Napoli;25/11/2021;"13";"12";"14";"11";"91";"14";"8";"24";"0";"1009";"0";"0";"pioggia temporale "
Napoli;26/11/2021;"13";"9";"16";"10";"83";"14";"14";"33";"0";"1001";"0";"0";"pioggia temporale "
Napoli;27/11/2021;"13";"9";"15";"10";"83";"17";"10";"31";"0";"1001";"0";"0";"pioggia "
Napoli;28/11/2021;"12";"9";"15";"8";"77";"15";"15";"28";"0";"999";"0";"0";"pioggia "
Napoli;29/11/2021;"7";"6";"8";"6";"90";"16";"6";"15";"0";"998";"0";"0";"pioggia temporale "
Napoli;30/11/2021;"7";"3";"12";"3";"65";"21";"6";"15";"0";"1016";"0";"0";"pioggia "
