LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/10/2021;"23";"18";"28";"13";"56";"20";"9";"15";"0";"1020";"0";"0";""
Napoli;2/10/2021;"21";"17";"25";"14";"62";"20";"6";"13";"0";"1019";"0";"0";""
Napoli;3/10/2021;"22";"18";"26";"15";"66";"20";"7";"17";"0";"1019";"0";"0";""
Napoli;4/10/2021;"22";"18";"26";"15";"63";"19";"10";"21";"0";"1020";"0";"0";""
Napoli;5/10/2021;"20";"18";"23";"16";"78";"14";"9";"28";"0";"1018";"0";"0";"pioggia temporale "
Napoli;6/10/2021;"18";"15";"22";"16";"88";"17";"8";"21";"0";"1015";"0";"0";"pioggia "
Napoli;7/10/2021;"16";"13";"21";"13";"81";"18";"6";"18";"0";"1007";"0";"0";"pioggia temporale "
Napoli;8/10/2021;"17";"13";"21";"12";"72";"20";"9";"15";"0";"1011";"0";"0";"pioggia "
Napoli;9/10/2021;"19";"15";"22";"9";"54";"19";"15";"22";"0";"1015";"0";"0";""
Napoli;10/10/2021;"14";"10";"17";"8";"70";"17";"13";"26";"0";"1014";"0";"0";"pioggia "
Napoli;11/10/2021;"13";"10";"18";"7";"70";"19";"7";"11";"0";"1014";"0";"0";"pioggia "
Napoli;12/10/2021;"14";"9";"21";"7";"65";"19";"6";"11";"0";"1014";"0";"0";""
Napoli;13/10/2021;"16";"13";"20";"5";"49";"18";"17";"30";"0";"1013";"0";"0";""
Napoli;14/10/2021;"14";"12";"17";"1";"40";"20";"27";"39";"0";"1016";"0";"0";""
Napoli;15/10/2021;"14";"10";"18";"2";"43";"19";"12";"28";"0";"1013";"0";"0";""
Napoli;16/10/2021;"16";"9";"21";"4";"46";"19";"6";"11";"0";"1015";"0";"0";""
Napoli;17/10/2021;"17";"15";"20";"8";"57";"21";"8";"13";"0";"1018";"0";"0";""
Napoli;18/10/2021;"16";"12";"22";"10";"65";"21";"5";"11";"0";"1022";"0";"0";""
Napoli;19/10/2021;"17";"11";"23";"8";"60";"22";"6";"11";"0";"1027";"0";"0";""
Napoli;20/10/2021;"16";"10";"22";"10";"69";"21";"6";"11";"0";"1027";"0";"0";""
Napoli;21/10/2021;"17";"12";"21";"14";"82";"20";"10";"21";"0";"1021";"0";"0";"pioggia "
Napoli;22/10/2021;"19";"16";"21";"15";"81";"20";"9";"17";"0";"1017";"0";"0";"pioggia "
Napoli;23/10/2021;"18";"12";"23";"14";"79";"20";"6";"11";"0";"1019";"0";"0";""
Napoli;24/10/2021;"19";"17";"20";"11";"62";"20";"23";"37";"0";"1019";"0";"0";""
Napoli;25/10/2021;"17";"16";"19";"9";"59";"21";"20";"26";"0";"1018";"0";"0";"pioggia "
Napoli;26/10/2021;"18";"15";"21";"10";"63";"20";"9";"11";"0";"1018";"0";"0";""
Napoli;27/10/2021;"18";"15";"21";"8";"55";"19";"12";"21";"0";"1020";"0";"0";"pioggia "
Napoli;28/10/2021;"16";"12";"22";"7";"58";"19";"8";"11";"0";"1019";"0";"0";""
Napoli;29/10/2021;"16";"11";"20";"7";"57";"18";"7";"11";"0";"1016";"0";"0";""
Napoli;30/10/2021;"16";"11";"20";"10";"69";"20";"6";"13";"0";"1017";"0";"0";"pioggia "
Napoli;31/10/2021;"17";"13";"23";"13";"78";"18";"5";"17";"0";"1016";"0";"0";"pioggia "
