LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Napoli;1/9/2021;"25";"20";"30";"16";"58";"21";"8";"18";"0";"1018";"0";"0";""
Napoli;2/9/2021;"26";"21";"30";"12";"44";"20";"10";"15";"0";"1020";"0";"0";""
Napoli;3/9/2021;"25";"21";"30";"12";"44";"19";"8";"21";"0";"1018";"0";"0";"pioggia "
Napoli;4/9/2021;"24";"21";"28";"17";"64";"20";"10";"18";"0";"1014";"0";"0";"pioggia "
Napoli;5/9/2021;"23";"20";"29";"17";"68";"20";"8";"13";"0";"1015";"0";"0";""
Napoli;6/9/2021;"25";"20";"30";"12";"44";"18";"12";"21";"0";"1018";"0";"0";""
Napoli;7/9/2021;"25";"20";"30";"10";"39";"18";"10";"18";"0";"1019";"0";"0";""
Napoli;8/9/2021;"24";"19";"29";"12";"48";"18";"9";"18";"0";"1018";"0";"0";"pioggia temporale "
Napoli;9/9/2021;"22";"16";"28";"13";"59";"22";"8";"15";"0";"1017";"0";"0";""
Napoli;10/9/2021;"24";"18";"28";"14";"56";"23";"7";"15";"0";"1016";"0";"0";""
Napoli;11/9/2021;"26";"21";"29";"13";"48";"20";"8";"17";"0";"1014";"0";"0";""
Napoli;12/9/2021;"23";"18";"30";"11";"49";"21";"7";"18";"0";"1014";"0";"0";"pioggia "
Napoli;13/9/2021;"23";"19";"29";"15";"60";"20";"7";"21";"0";"1016";"0";"0";""
Napoli;14/9/2021;"24";"20";"27";"18";"72";"16";"7";"17";"0";"1018";"0";"0";""
Napoli;15/9/2021;"24";"20";"28";"18";"70";"18";"6";"13";"0";"1019";"0";"0";""
Napoli;16/9/2021;"25";"22";"29";"15";"57";"19";"6";"13";"0";"1019";"0";"0";""
Napoli;17/9/2021;"24";"21";"28";"16";"58";"18";"8";"17";"0";"1015";"0";"0";""
Napoli;18/9/2021;"25";"22";"29";"19";"72";"17";"7";"17";"0";"1014";"0";"0";""
Napoli;19/9/2021;"25";"20";"29";"18";"67";"18";"7";"15";"0";"1014";"0";"0";""
Napoli;20/9/2021;"24";"20";"27";"15";"61";"20";"13";"21";"0";"1015";"0";"0";""
Napoli;21/9/2021;"23";"18";"27";"15";"61";"20";"8";"13";"0";"1020";"0";"0";""
Napoli;22/9/2021;"23";"18";"28";"10";"46";"21";"13";"21";"0";"1019";"0";"0";""
Napoli;23/9/2021;"21";"18";"26";"6";"39";"19";"14";"26";"0";"1020";"0";"0";""
Napoli;24/9/2021;"21";"14";"26";"12";"57";"20";"8";"17";"0";"1020";"0";"0";""
Napoli;25/9/2021;"22";"16";"27";"14";"65";"21";"5";"13";"0";"1021";"0";"0";""
Napoli;26/9/2021;"23";"18";"29";"16";"66";"20";"6";"11";"0";"1021";"0";"0";""
Napoli;27/9/2021;"23";"20";"26";"19";"78";"16";"5";"11";"0";"1018";"0";"0";""
Napoli;28/9/2021;"24";"14";"29";"17";"66";"20";"8";"15";"0";"1016";"0";"0";""
Napoli;29/9/2021;"23";"18";"27";"14";"60";"19";"6";"15";"0";"1017";"0";"0";""
Napoli;30/9/2021;"22";"19";"28";"17";"77";"15";"6";"22";"0";"1019";"0";"0";"pioggia temporale "
