LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/8/2021;"31";"27";"34";"19";"52";"20";"9";"35";"0";"1011";"0";"0";""
Palermo;2/8/2021;"28";"26";"31";"23";"73";"21";"26";"42";"0";"1013";"0";"0";""
Palermo;3/8/2021;"31";"26";"38";"18";"54";"20";"19";"39";"0";"1014";"0";"0";""
Palermo;4/8/2021;"33";"26";"40";"15";"40";"21";"20";"37";"0";"1012";"0";"0";""
Palermo;5/8/2021;"28";"25";"32";"21";"68";"20";"16";"37";"0";"1013";"0";"0";""
Palermo;6/8/2021;"27";"23";"29";"19";"63";"20";"11";"17";"0";"1012";"0";"0";""
Palermo;7/8/2021;"29";"23";"34";"18";"52";"20";"11";"26";"0";"1010";"0";"0";""
Palermo;8/8/2021;"31";"26";"38";"19";"52";"21";"16";"35";"0";"1013";"0";"0";""
Palermo;9/8/2021;"30";"26";"34";"22";"63";"20";"12";"28";"0";"1017";"0";"0";""
Palermo;10/8/2021;"32";"26";"39";"19";"57";"20";"15";"28";"0";"1016";"0";"0";""
Palermo;11/8/2021;"32";"28";"39";"21";"59";"20";"14";"28";"0";"1015";"0";"0";""
Palermo;12/8/2021;"28";"26";"31";"26";"86";"19";"15";"33";"0";"1016";"0";"0";""
Palermo;13/8/2021;"29";"25";"31";"25";"80";"19";"12";"30";"0";"1019";"0";"0";""
Palermo;14/8/2021;"29";"25";"34";"22";"70";"20";"15";"31";"0";"1017";"0";"0";""
Palermo;15/8/2021;"28";"24";"30";"23";"77";"21";"12";"22";"0";"1016";"0";"0";""
Palermo;16/8/2021;"28";"24";"32";"19";"59";"21";"6";"13";"0";"1014";"0";"0";""
Palermo;17/8/2021;"31";"27";"33";"17";"48";"18";"28";"41";"0";"1012";"0";"0";""
Palermo;18/8/2021;"27";"26";"29";"21";"71";"20";"15";"28";"0";"1012";"0";"0";""
Palermo;19/8/2021;"27";"25";"29";"21";"71";"21";"10";"21";"0";"1013";"0";"0";""
Palermo;20/8/2021;"27";"25";"30";"21";"67";"21";"16";"28";"0";"1014";"0";"0";""
Palermo;21/8/2021;"27";"24";"29";"21";"67";"22";"20";"30";"0";"1017";"0";"0";""
Palermo;22/8/2021;"27";"25";"29";"21";"68";"21";"16";"24";"0";"1018";"0";"0";""
Palermo;23/8/2021;"26";"22";"29";"20";"67";"21";"10";"18";"0";"1015";"0";"0";""
Palermo;24/8/2021;"29";"24";"34";"17";"52";"19";"11";"22";"0";"1012";"0";"0";""
Palermo;25/8/2021;"28";"26";"30";"20";"62";"20";"13";"21";"0";"1012";"0";"0";""
Palermo;26/8/2021;"28";"27";"31";"22";"70";"21";"20";"39";"0";"1011";"0";"0";""
Palermo;27/8/2021;"26";"25";"28";"20";"68";"20";"20";"31";"0";"1012";"0";"0";""
Palermo;28/8/2021;"27";"25";"28";"20";"68";"19";"21";"33";"0";"1011";"0";"0";""
Palermo;29/8/2021;"26";"23";"27";"18";"61";"21";"18";"31";"0";"1010";"0";"0";""
Palermo;30/8/2021;"25";"21";"28";"16";"56";"19";"9";"15";"0";"1013";"0";"0";""
Palermo;31/8/2021;"26";"22";"28";"18";"62";"20";"10";"13";"0";"1016";"0";"0";""
