LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/4/2021;"15";"10";"18";"11";"76";"20";"9";"21";"0";"1021";"0";"0";""
Palermo;2/4/2021;"16";"11";"20";"11";"76";"20";"11";"22";"0";"1017";"0";"0";"pioggia "
Palermo;3/4/2021;"16";"14";"19";"12";"78";"20";"10";"18";"0";"1011";"0";"0";""
Palermo;4/4/2021;"16";"15";"17";"12";"78";"20";"7";"13";"0";"1010";"0";"0";""
Palermo;5/4/2021;"15";"12";"17";"10";"74";"21";"15";"30";"0";"1013";"0";"0";""
Palermo;6/4/2021;"15";"11";"17";"9";"70";"20";"24";"37";"0";"1010";"0";"0";""
Palermo;7/4/2021;"15";"13";"16";"8";"64";"21";"36";"44";"0";"1012";"0";"0";""
Palermo;8/4/2021;"12";"10";"14";"3";"50";"21";"29";"41";"0";"1024";"0";"0";""
Palermo;9/4/2021;"12";"7";"16";"5";"56";"21";"12";"28";"0";"1027";"0";"0";""
Palermo;10/4/2021;"13";"9";"17";"6";"61";"20";"13";"24";"0";"1023";"0";"0";""
Palermo;11/4/2021;"15";"10";"18";"9";"69";"20";"12";"24";"0";"1020";"0";"0";""
Palermo;12/4/2021;"15";"12";"19";"12";"81";"19";"10";"17";"0";"1019";"0";"0";"pioggia "
Palermo;13/4/2021;"14";"11";"16";"8";"67";"20";"25";"41";"0";"1019";"0";"0";"pioggia "
Palermo;14/4/2021;"13";"9";"16";"6";"63";"21";"15";"31";"0";"1019";"0";"0";""
Palermo;15/4/2021;"14";"12";"16";"8";"70";"21";"7";"17";"0";"1018";"0";"0";"pioggia "
Palermo;16/4/2021;"14";"12";"16";"10";"77";"20";"25";"46";"0";"1011";"0";"0";"pioggia "
Palermo;17/4/2021;"14";"12";"15";"8";"70";"21";"11";"18";"0";"1010";"0";"0";""
Palermo;18/4/2021;"13";"11";"15";"8";"69";"18";"19";"35";"0";"1015";"0";"0";"pioggia "
Palermo;19/4/2021;"13";"11";"15";"8";"68";"20";"27";"39";"0";"1016";"0";"0";"pioggia temporale "
Palermo;20/4/2021;"15";"13";"17";"9";"67";"21";"15";"30";"0";"1018";"0";"0";""
Palermo;21/4/2021;"17";"10";"20";"10";"63";"21";"12";"26";"0";"1016";"0";"0";""
Palermo;22/4/2021;"17";"15";"19";"13";"76";"18";"14";"22";"0";"1015";"0";"0";"pioggia "
Palermo;23/4/2021;"15";"15";"17";"14";"91";"17";"21";"37";"0";"1015";"0";"0";"pioggia "
Palermo;24/4/2021;"16";"14";"17";"12";"81";"19";"21";"30";"0";"1017";"0";"0";"pioggia "
Palermo;25/4/2021;"16";"11";"19";"10";"68";"22";"13";"28";"0";"1018";"0";"0";""
Palermo;26/4/2021;"17";"12";"20";"11";"69";"20";"14";"31";"0";"1012";"0";"0";"pioggia "
Palermo;27/4/2021;"19";"16";"21";"12";"65";"21";"9";"22";"0";"1007";"0";"0";""
Palermo;28/4/2021;"18";"15";"19";"13";"76";"20";"9";"18";"0";"1009";"0";"0";""
Palermo;29/4/2021;"19";"14";"25";"13";"72";"19";"15";"37";"0";"1010";"0";"0";""
Palermo;30/4/2021;"18";"15";"22";"15";"79";"19";"13";"30";"0";"1010";"0";"0";""
