LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/12/2021;"13";"10";"16";"7";"64";"20";"19";"31";"0";"1020";"0";"0";""
Palermo;2/12/2021;"15";"14";"17";"9";"68";"19";"29";"44";"0";"1008";"0";"0";""
Palermo;3/12/2021;"14";"10";"16";"10";"78";"16";"26";"39";"0";"1005";"0";"0";"pioggia "
Palermo;4/12/2021;"15";"14";"16";"9";"66";"20";"25";"41";"0";"1015";"0";"0";"pioggia "
Palermo;5/12/2021;"13";"11";"16";"9";"75";"18";"30";"42";"0";"1009";"0";"0";"pioggia "
Palermo;6/12/2021;"12";"10";"14";"7";"73";"18";"34";"61";"0";"1003";"0";"0";"pioggia temporale "
Palermo;7/12/2021;"14";"12";"16";"8";"66";"21";"34";"48";"0";"1013";"0";"0";"pioggia "
Palermo;8/12/2021;"15";"11";"18";"9";"68";"19";"26";"41";"0";"1011";"0";"0";""
Palermo;9/12/2021;"12";"10";"16";"7";"69";"18";"33";"57";"0";"1008";"0";"0";"pioggia temporale "
Palermo;10/12/2021;"13";"11";"15";"8";"73";"16";"34";"54";"0";"1008";"0";"0";"pioggia "
Palermo;11/12/2021;"13";"11";"14";"8";"71";"13";"46";"61";"0";"1003";"0";"0";"pioggia temporale "
Palermo;12/12/2021;"13";"11";"14";"8";"68";"20";"27";"41";"0";"1016";"0";"0";"pioggia "
Palermo;13/12/2021;"13";"9";"15";"7";"68";"19";"14";"21";"0";"1024";"0";"0";"pioggia "
Palermo;14/12/2021;"15";"14";"15";"11";"77";"19";"17";"24";"0";"1022";"0";"0";""
Palermo;15/12/2021;"14";"11";"16";"8";"68";"19";"12";"18";"0";"1023";"0";"0";""
Palermo;16/12/2021;"12";"9";"15";"7";"74";"21";"8";"17";"0";"1025";"0";"0";""
Palermo;17/12/2021;"13";"10";"15";"8";"69";"19";"14";"22";"0";"1027";"0";"0";"pioggia "
Palermo;18/12/2021;"14";"12";"15";"5";"56";"21";"31";"41";"0";"1025";"0";"0";"pioggia "
Palermo;19/12/2021;"11";"9";"14";"4";"62";"20";"17";"37";"0";"1024";"0";"0";""
Palermo;20/12/2021;"12";"9";"15";"7";"71";"20";"12";"18";"0";"1020";"0";"0";""
Palermo;21/12/2021;"11";"8";"15";"7";"76";"22";"9";"13";"0";"1022";"0";"0";""
Palermo;22/12/2021;"12";"9";"15";"7";"69";"20";"11";"21";"0";"1022";"0";"0";""
Palermo;23/12/2021;"10";"6";"14";"6";"74";"19";"6";"11";"0";"1023";"0";"0";""
Palermo;24/12/2021;"14";"11";"17";"8";"65";"19";"18";"26";"0";"1020";"0";"0";""
Palermo;25/12/2021;"17";"15";"19";"8";"54";"21";"31";"41";"0";"1013";"0";"0";""
Palermo;26/12/2021;"17";"14";"19";"9";"61";"21";"21";"28";"0";"1011";"0";"0";"pioggia "
Palermo;27/12/2021;"15";"14";"16";"13";"83";"21";"19";"28";"0";"1012";"0";"0";""
Palermo;28/12/2021;"15";"14";"16";"13";"86";"13";"21";"48";"0";"1012";"0";"0";"pioggia "
Palermo;29/12/2021;"16";"15";"16";"13";"85";"12";"22";"37";"0";"1013";"0";"0";""
Palermo;30/12/2021;"15";"13";"16";"13";"89";"21";"6";"11";"0";"1017";"0";"0";""
Palermo;31/12/2021;"15";"13";"16";"13";"88";"19";"13";"22";"0";"1025";"0";"0";""
