LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/2/2021;"15";"14";"16";"11";"75";"19";"29";"46";"0";"1004";"0";"0";"pioggia "
Palermo;2/2/2021;"14";"12";"16";"11";"82";"18";"18";"33";"0";"1012";"0";"0";"pioggia "
Palermo;3/2/2021;"13";"9";"16";"9";"76";"20";"8";"17";"0";"1019";"0";"0";""
Palermo;4/2/2021;"16";"11";"20";"10";"70";"20";"10";"21";"0";"1018";"0";"0";""
Palermo;5/2/2021;"20";"13";"24";"5";"39";"20";"23";"42";"0";"1015";"0";"0";""
Palermo;6/2/2021;"23";"18";"26";"2";"24";"21";"31";"46";"0";"1012";"0";"0";""
Palermo;7/2/2021;"20";"13";"25";"9";"47";"18";"28";"48";"0";"1004";"0";"0";"pioggia "
Palermo;8/2/2021;"15";"13";"16";"9";"72";"20";"31";"44";"0";"1006";"0";"0";"pioggia "
Palermo;9/2/2021;"15";"11";"17";"9";"68";"20";"31";"46";"0";"1010";"0";"0";"pioggia temporale "
Palermo;10/2/2021;"17";"12";"20";"9";"59";"19";"31";"44";"0";"1010";"0";"0";"pioggia "
Palermo;11/2/2021;"15";"13";"15";"9";"71";"19";"31";"46";"0";"1015";"0";"0";"pioggia "
Palermo;12/2/2021;"14";"12";"17";"10";"74";"22";"14";"21";"0";"1019";"0";"0";""
Palermo;13/2/2021;"14";"11";"16";"9";"74";"18";"27";"39";"0";"1014";"0";"0";"pioggia temporale "
Palermo;14/2/2021;"9";"6";"12";"5";"63";"19";"33";"50";"0";"1024";"0";"0";"pioggia "
Palermo;15/2/2021;"9";"6";"10";"1";"51";"20";"41";"50";"0";"1032";"0";"0";""
Palermo;16/2/2021;"10";"7";"11";"1";"51";"20";"13";"28";"0";"1031";"0";"0";""
Palermo;17/2/2021;"9";"5";"13";"3";"68";"19";"9";"15";"0";"1025";"0";"0";""
Palermo;18/2/2021;"11";"6";"15";"6";"71";"20";"11";"26";"0";"1024";"0";"0";""
Palermo;19/2/2021;"12";"8";"16";"7";"76";"20";"10";"24";"0";"1025";"0";"0";""
Palermo;20/2/2021;"12";"8";"16";"9";"79";"18";"11";"26";"0";"1025";"0";"0";""
Palermo;21/2/2021;"13";"8";"16";"9";"79";"19";"8";"15";"0";"1024";"0";"0";""
Palermo;22/2/2021;"13";"9";"16";"9";"76";"20";"12";"22";"0";"1028";"0";"0";""
Palermo;23/2/2021;"13";"10";"16";"9";"78";"19";"9";"15";"0";"1033";"0";"0";""
Palermo;24/2/2021;"12";"9";"15";"10";"86";"17";"10";"26";"0";"1033";"0";"0";""
Palermo;25/2/2021;"12";"9";"15";"10";"85";"15";"10";"24";"0";"1030";"0";"0";""
Palermo;26/2/2021;"12";"8";"15";"9";"85";"14";"9";"21";"0";"1028";"0";"0";""
Palermo;27/2/2021;"12";"8";"15";"9";"81";"12";"11";"22";"0";"1023";"0";"0";""
Palermo;28/2/2021;"12";"8";"16";"8";"77";"20";"13";"28";"0";"1024";"0";"0";"pioggia "
