LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/1/2021;"13";"11";"15";"6";"60";"19";"24";"37";"0";"1012";"0";"0";""
Palermo;2/1/2021;"13";"11";"15";"5";"58";"18";"28";"41";"0";"1010";"0";"0";""
Palermo;3/1/2021;"13";"10";"15";"4";"57";"18";"22";"35";"0";"1012";"0";"0";""
Palermo;4/1/2021;"11";"9";"13";"5";"65";"21";"19";"28";"0";"1013";"0";"0";"pioggia "
Palermo;5/1/2021;"13";"11";"15";"4";"55";"20";"31";"42";"0";"1012";"0";"0";""
Palermo;6/1/2021;"15";"13";"16";"6";"57";"21";"27";"41";"0";"1013";"0";"0";""
Palermo;7/1/2021;"17";"13";"20";"8";"59";"21";"20";"41";"0";"1010";"0";"0";""
Palermo;8/1/2021;"16";"12";"19";"11";"74";"20";"22";"39";"0";"1008";"0";"0";"pioggia "
Palermo;9/1/2021;"19";"13";"25";"11";"62";"19";"24";"46";"0";"1007";"0";"0";"pioggia "
Palermo;10/1/2021;"17";"15";"23";"13";"77";"17";"14";"41";"0";"1007";"0";"0";"pioggia "
Palermo;11/1/2021;"13";"9";"15";"9";"76";"20";"13";"24";"0";"1013";"0";"0";"pioggia "
Palermo;12/1/2021;"11";"9";"12";"6";"73";"16";"18";"59";"0";"1015";"0";"0";"pioggia "
Palermo;13/1/2021;"13";"10";"15";"7";"68";"19";"19";"28";"0";"1017";"0";"0";"pioggia "
Palermo;14/1/2021;;;;;;;;;;;;;
Palermo;15/1/2021;"14";"11";"15";"10";"77";"20";"38";"52";"0";"1010";"0";"0";"pioggia "
Palermo;16/1/2021;"12";"9";"13";"5";"64";"19";"23";"41";"0";"1014";"0";"0";""
Palermo;17/1/2021;"12";"8";"15";"6";"69";"15";"27";"54";"0";"1017";"0";"0";"pioggia "
Palermo;18/1/2021;"12";"9";"13";"5";"64";"19";"19";"28";"0";"1020";"0";"0";"pioggia "
Palermo;19/1/2021;"10";"5";"14";"2";"58";"19";"15";"24";"0";"1028";"0";"0";""
Palermo;20/1/2021;"14";"11";"16";"6";"58";"20";"34";"52";"0";"1024";"0";"0";""
Palermo;21/1/2021;"16";"14";"17";"5";"50";"19";"35";"48";"0";"1019";"0";"0";""
Palermo;22/1/2021;"16";"14";"18";"5";"48";"20";"28";"48";"0";"1015";"0";"0";""
Palermo;23/1/2021;"15";"13";"18";"8";"63";"19";"33";"46";"0";"1010";"0";"0";"pioggia "
Palermo;24/1/2021;"15";"14";"16";"9";"67";"18";"44";"61";"0";"1006";"0";"0";"pioggia "
Palermo;25/1/2021;"14";"11";"16";"8";"65";"19";"31";"44";"0";"1011";"0";"0";"pioggia "
Palermo;26/1/2021;"13";"12";"14";"5";"60";"20";"32";"42";"0";"1013";"0";"0";"pioggia "
Palermo;27/1/2021;"12";"10";"13";"4";"59";"20";"17";"30";"0";"1018";"0";"0";"pioggia "
Palermo;28/1/2021;"13";"10";"15";"9";"76";"19";"14";"30";"0";"1017";"0";"0";""
Palermo;29/1/2021;"16";"13";"19";"12";"73";"20";"26";"37";"0";"1014";"0";"0";""
Palermo;30/1/2021;"17";"14";"18";"11";"68";"20";"25";"42";"0";"1009";"0";"0";""
Palermo;31/1/2021;"15";"13";"18";"9";"70";"19";"36";"50";"0";"1001";"0";"0";"pioggia "
