LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/6/2021;"21";"17";"25";"13";"62";"22";"15";"35";"0";"1016";"0";"0";""
Palermo;2/6/2021;"21";"19";"25";"14";"65";"20";"10";"26";"0";"1017";"0";"0";"pioggia "
Palermo;3/6/2021;"21";"18";"24";"18";"79";"21";"12";"28";"0";"1022";"0";"0";""
Palermo;4/6/2021;"22";"19";"25";"17";"77";"20";"13";"30";"0";"1023";"0";"0";""
Palermo;5/6/2021;"23";"20";"27";"15";"63";"20";"12";"28";"0";"1022";"0";"0";"pioggia "
Palermo;6/6/2021;"24";"20";"31";"12";"49";"20";"13";"28";"0";"1017";"0";"0";"pioggia "
Palermo;7/6/2021;"22";"19";"24";"14";"65";"19";"13";"21";"0";"1017";"0";"0";"pioggia temporale "
Palermo;8/6/2021;"21";"18";"23";"17";"76";"19";"8";"18";"0";"1017";"0";"0";""
Palermo;9/6/2021;"22";"19";"23";"17";"75";"19";"11";"21";"0";"1016";"0";"0";""
Palermo;10/6/2021;"22";"20";"24";"18";"76";"19";"9";"17";"0";"1016";"0";"0";""
Palermo;11/6/2021;"23";"19";"24";"18";"77";"19";"10";"17";"0";"1016";"0";"0";""
Palermo;12/6/2021;"23";"19";"24";"18";"76";"21";"9";"15";"0";"1017";"0";"0";""
Palermo;13/6/2021;"23";"19";"25";"18";"76";"20";"12";"24";"0";"1019";"0";"0";""
Palermo;14/6/2021;"23";"20";"26";"17";"67";"20";"12";"24";"0";"1017";"0";"0";""
Palermo;15/6/2021;"24";"21";"26";"16";"64";"19";"19";"33";"0";"1016";"0";"0";""
Palermo;16/6/2021;"23";"18";"26";"15";"63";"20";"18";"31";"0";"1016";"0";"0";""
Palermo;17/6/2021;"23";"18";"27";"17";"70";"18";"13";"28";"0";"1017";"0";"0";""
Palermo;18/6/2021;"24";"21";"26";"18";"71";"18";"12";"28";"0";"1018";"0";"0";""
Palermo;19/6/2021;"24";"22";"28";"20";"76";"19";"12";"24";"0";"1017";"0";"0";""
Palermo;20/6/2021;"26";"22";"31";"19";"66";"20";"10";"39";"0";"1014";"0";"0";""
Palermo;21/6/2021;"28";"25";"36";"18";"56";"20";"13";"31";"0";"1012";"0";"0";""
Palermo;22/6/2021;"27";"24";"35";"21";"72";"19";"12";"28";"0";"1011";"0";"0";""
Palermo;23/6/2021;"27";"23";"31";"21";"72";"17";"10";"39";"0";"1014";"0";"0";""
Palermo;24/6/2021;"27";"24";"31";"22";"76";"18";"10";"39";"0";"1017";"0";"0";""
Palermo;25/6/2021;"28";"24";"38";"21";"68";"19";"11";"21";"0";"1016";"0";"0";""
Palermo;26/6/2021;"26";"24";"29";"23";"84";"17";"16";"33";"0";"1014";"0";"0";""
Palermo;27/6/2021;"27";"24";"32";"23";"79";"21";"14";"28";"0";"1013";"0";"0";""
Palermo;28/6/2021;"26";"25";"28";"24";"84";"18";"11";"22";"0";"1014";"0";"0";""
Palermo;29/6/2021;"27";"24";"32";"23";"80";"21";"10";"24";"0";"1014";"0";"0";""
Palermo;30/6/2021;"26";"24";"29";"23";"84";"19";"14";"26";"0";"1014";"0";"0";""
