LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/7/2021;"27";"24";"28";"22";"77";"21";"25";"35";"0";"1014";"0";"0";""
Palermo;2/7/2021;"26";"22";"29";"19";"68";"19";"9";"17";"0";"1015";"0";"0";""
Palermo;3/7/2021;"27";"24";"29";"19";"63";"17";"16";"28";"0";"1015";"0";"0";""
Palermo;4/7/2021;"29";"21";"37";"17";"53";"19";"13";"28";"0";"1012";"0";"0";""
Palermo;5/7/2021;"27";"26";"28";"19";"64";"21";"15";"26";"0";"1013";"0";"0";""
Palermo;6/7/2021;"27";"24";"30";"20";"66";"18";"20";"35";"0";"1013";"0";"0";""
Palermo;7/7/2021;"27";"23";"30";"23";"80";"21";"11";"26";"0";"1014";"0";"0";""
Palermo;8/7/2021;"28";"25";"34";"22";"74";"20";"14";"33";"0";"1016";"0";"0";""
Palermo;9/7/2021;"27";"25";"28";"24";"83";"20";"14";"24";"0";"1017";"0";"0";""
Palermo;10/7/2021;"26";"25";"28";"19";"67";"22";"23";"33";"0";"1015";"0";"0";""
Palermo;11/7/2021;"26";"24";"28";"19";"67";"21";"13";"17";"0";"1015";"0";"0";""
Palermo;12/7/2021;"28";"23";"34";"18";"57";"19";"12";"31";"0";"1014";"0";"0";""
Palermo;13/7/2021;"30";"26";"39";"16";"47";"20";"19";"39";"0";"1011";"0";"0";""
Palermo;14/7/2021;"26";"24";"27";"19";"66";"18";"20";"26";"0";"1015";"0";"0";""
Palermo;15/7/2021;"25";"23";"27";"17";"62";"20";"13";"21";"0";"1016";"0";"0";""
Palermo;16/7/2021;"25";"22";"27";"18";"68";"20";"17";"30";"0";"1014";"0";"0";""
Palermo;17/7/2021;"25";"24";"26";"19";"69";"20";"19";"26";"0";"1011";"0";"0";""
Palermo;18/7/2021;"25";"20";"27";"19";"71";"18";"21";"44";"0";"1007";"0";"0";"pioggia temporale "
Palermo;19/7/2021;"26";"24";"27";"21";"74";"21";"11";"17";"0";"1009";"0";"0";""
Palermo;20/7/2021;"26";"23";"28";"20";"72";"20";"11";"21";"0";"1013";"0";"0";""
Palermo;21/7/2021;"27";"24";"28";"22";"74";"19";"16";"26";"0";"1017";"0";"0";""
Palermo;22/7/2021;"26";"23";"28";"21";"73";"20";"8";"15";"0";"1017";"0";"0";""
Palermo;23/7/2021;"26";"23";"28";"21";"76";"21";"10";"26";"0";"1015";"0";"0";""
Palermo;24/7/2021;"27";"22";"32";"20";"68";"21";"13";"26";"0";"1014";"0";"0";""
Palermo;25/7/2021;"28";"25";"34";"18";"56";"19";"11";"24";"0";"1013";"0";"0";""
Palermo;26/7/2021;"29";"24";"36";"16";"48";"20";"13";"26";"0";"1014";"0";"0";""
Palermo;27/7/2021;"29";"26";"35";"18";"51";"18";"14";"31";"0";"1016";"0";"0";""
Palermo;28/7/2021;"27";"25";"30";"21";"70";"21";"9";"21";"0";"1016";"0";"0";""
Palermo;29/7/2021;"29";"25";"34";"19";"57";"21";"10";"21";"0";"1014";"0";"0";""
Palermo;30/7/2021;"32";"26";"39";"16";"44";"20";"19";"33";"0";"1012";"0";"0";""
Palermo;31/7/2021;"28";"24";"31";"23";"76";"18";"7";"15";"0";"1011";"0";"0";""
