LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/5/2021;"22";"18";"28";"14";"63";"17";"11";"30";"0";"1012";"0";"0";"pioggia "
Palermo;2/5/2021;"18";"16";"19";"13";"77";"21";"14";"24";"0";"1018";"0";"0";""
Palermo;3/5/2021;"16";"15";"17";"13";"83";"20";"7";"28";"0";"1019";"0";"0";"pioggia "
Palermo;4/5/2021;"17";"13";"20";"14";"81";"19";"9";"22";"0";"1017";"0";"0";""
Palermo;5/5/2021;"19";"16";"22";"12";"67";"21";"12";"24";"0";"1014";"0";"0";"pioggia "
Palermo;6/5/2021;"18";"14";"24";"14";"81";"21";"9";"21";"0";"1016";"0";"0";"pioggia "
Palermo;7/5/2021;"18";"15";"19";"15";"82";"19";"8";"17";"0";"1016";"0";"0";""
Palermo;8/5/2021;"19";"16";"22";"12";"67";"19";"10";"15";"0";"1017";"0";"0";""
Palermo;9/5/2021;"18";"14";"23";"14";"76";"20";"12";"24";"0";"1018";"0";"0";""
Palermo;10/5/2021;"20";"14";"25";"13";"68";"20";"12";"21";"0";"1016";"0";"0";""
Palermo;11/5/2021;"20";"16";"23";"15";"74";"21";"14";"42";"0";"1014";"0";"0";""
Palermo;12/5/2021;"18";"17";"18";"13";"72";"19";"21";"31";"0";"1016";"0";"0";""
Palermo;13/5/2021;"18";"15";"20";"11";"64";"21";"21";"35";"0";"1013";"0";"0";""
Palermo;14/5/2021;"20";"17";"24";"11";"59";"21";"22";"35";"0";"1013";"0";"0";""
Palermo;15/5/2021;"18";"16";"19";"12";"71";"19";"22";"39";"0";"1016";"0";"0";""
Palermo;16/5/2021;"21";"15";"27";"9";"48";"21";"15";"28";"0";"1014";"0";"0";""
Palermo;17/5/2021;"22";"19";"27";"11";"54";"20";"16";"28";"0";"1013";"0";"0";""
Palermo;18/5/2021;"19";"17";"21";"14";"74";"18";"12";"21";"0";"1017";"0";"0";""
Palermo;19/5/2021;"19";"13";"21";"13";"73";"20";"11";"22";"0";"1016";"0";"0";""
Palermo;20/5/2021;"19";"18";"20";"13";"68";"20";"17";"30";"0";"1018";"0";"0";""
Palermo;21/5/2021;"19";"14";"22";"12";"65";"21";"15";"28";"0";"1021";"0";"0";""
Palermo;22/5/2021;"21";"15";"26";"11";"54";"21";"13";"26";"0";"1016";"0";"0";""
Palermo;23/5/2021;"22";"18";"29";"14";"64";"21";"15";"28";"0";"1016";"0";"0";""
Palermo;24/5/2021;"21";"17";"24";"15";"73";"19";"14";"42";"0";"1016";"0";"0";""
Palermo;25/5/2021;"20";"18";"21";"14";"72";"19";"20";"28";"0";"1020";"0";"0";"pioggia "
Palermo;26/5/2021;"20";"18";"22";"8";"47";"20";"21";"24";"0";"1019";"0";"0";""
Palermo;27/5/2021;"20";"17";"23";"14";"71";"19";"16";"30";"0";"1016";"0";"0";"pioggia "
Palermo;28/5/2021;"21";"17";"25";"15";"72";"22";"22";"41";"0";"1015";"0";"0";""
Palermo;29/5/2021;"21";"18";"25";"15";"71";"20";"11";"22";"0";"1016";"0";"0";""
Palermo;30/5/2021;"20";"16";"22";"16";"78";"21";"12";"22";"0";"1016";"0";"0";""
Palermo;31/5/2021;"20";"18";"22";"16";"76";"20";"14";"28";"0";"1016";"0";"0";""
