LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/3/2021;"13";"9";"16";"8";"73";"17";"13";"28";"0";"1027";"0";"0";""
Palermo;2/3/2021;"13";"9";"16";"8";"75";"20";"12";"31";"0";"1029";"0";"0";""
Palermo;3/3/2021;"12";"8";"15";"7";"72";"18";"10";"26";"0";"1030";"0";"0";""
Palermo;4/3/2021;"13";"9";"16";"7";"67";"20";"9";"17";"0";"1025";"0";"0";""
Palermo;5/3/2021;"13";"10";"15";"7";"69";"20";"8";"15";"0";"1019";"0";"0";""
Palermo;6/3/2021;"14";"11";"17";"9";"73";"21";"12";"28";"0";"1021";"0";"0";""
Palermo;7/3/2021;"14";"10";"17";"10";"74";"21";"10";"28";"0";"1021";"0";"0";""
Palermo;8/3/2021;"13";"10";"16";"9";"78";"21";"11";"22";"0";"1014";"0";"0";""
Palermo;9/3/2021;"14";"11";"19";"9";"72";"18";"19";"30";"0";"1012";"0";"0";"pioggia "
Palermo;10/3/2021;"14";"11";"15";"9";"74";"21";"21";"35";"0";"1015";"0";"0";"pioggia "
Palermo;11/3/2021;"14";"11";"15";"6";"61";"21";"14";"26";"0";"1023";"0";"0";""
Palermo;12/3/2021;"14";"10";"18";"6";"62";"21";"20";"33";"0";"1021";"0";"0";""
Palermo;13/3/2021;"15";"13";"17";"9";"69";"20";"15";"30";"0";"1018";"0";"0";""
Palermo;14/3/2021;"14";"10";"15";"10";"77";"20";"19";"54";"0";"1016";"0";"0";"pioggia "
Palermo;15/3/2021;"14";"12";"15";"6";"61";"21";"30";"39";"0";"1014";"0";"0";"pioggia "
Palermo;16/3/2021;"14";"10";"15";"7";"64";"19";"21";"44";"0";"1012";"0";"0";"pioggia "
Palermo;17/3/2021;"13";"11";"15";"3";"47";"20";"12";"26";"0";"1016";"0";"0";"pioggia "
Palermo;18/3/2021;"12";"9";"14";"7";"72";"19";"17";"26";"0";"1012";"0";"0";"pioggia "
Palermo;19/3/2021;"11";"7";"14";"6";"73";"19";"12";"26";"0";"1011";"0";"0";"pioggia "
Palermo;20/3/2021;"12";"10";"14";"10";"86";"19";"10";"28";"0";"1007";"0";"0";"pioggia "
Palermo;21/3/2021;"11";"9";"13";"9";"85";"13";"18";"35";"0";"1003";"0";"0";"pioggia "
Palermo;22/3/2021;"9";"7";"12";"5";"78";"17";"15";"33";"0";"1006";"0";"0";"pioggia grandine "
Palermo;23/3/2021;"11";"8";"12";"3";"57";"19";"36";"54";"0";"1015";"0";"0";"pioggia "
Palermo;24/3/2021;"12";"10";"13";"2";"48";"19";"17";"22";"0";"1022";"0";"0";""
Palermo;25/3/2021;"12";"7";"15";"5";"65";"19";"11";"17";"0";"1023";"0";"0";""
Palermo;26/3/2021;"14";"9";"16";"9";"72";"19";"11";"17";"0";"1027";"0";"0";""
Palermo;27/3/2021;"14";"10";"18";"7";"64";"21";"10";"22";"0";"1027";"0";"0";"pioggia "
Palermo;28/3/2021;"15";"10";"19";"9";"70";"21";"13";"31";"0";"1029";"0";"0";""
Palermo;29/3/2021;"14";"9";"17";"10";"80";"19";"14";"33";"0";"1031";"0";"0";""
Palermo;30/3/2021;"14";"10";"16";"11";"83";"18";"15";"28";"0";"1028";"0";"0";""
Palermo;31/3/2021;"14";"10";"16";"10";"79";"20";"9";"17";"0";"1024";"0";"0";""
